[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	algorithm2	0.522566	0.558206	62	0

[cluster_summary]
dataset	config	code	route_count	p_function_fault	p_threshold
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	627310569	3	6.88338e-15	1
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	904285308	3	4.88498e-15	1

[cluster_wcrt_summary]
dataset	config	code	period_ms	deadline_ms	main_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_fault_wcrt_ms	meets_deadline
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	627310569	10	10	2.63	2.832	2.7112	1	1	10.1732	0
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	904285308	5	5	0.6752	0.7148	0.596	1	1	3.986	1

[route_summary]
dataset	config	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	451908486	0	3	0	2	1	2	2	2	1	1.56816e-15	5.55556e-15	0.3468
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	574077934	0	3	0	2	4	10	10	2	1	2.43936e-15	2.77778e-14	2.63
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	928090276	0	3	0	1	3	20	20	2	1	1.56816e-15	5.55556e-14	2.5268
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	963314774	0	3	0	3	2	100	100	2	1	1.56816e-15	2.77778e-13	4.3864
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1205382420	0	3	0	1	2	1	1	2	1	1.56816e-15	2.77778e-15	0.2772
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1727322922	0	3	0	1	2	10	10	2	1	1.56816e-15	2.77778e-14	1.8496
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2054999896	0	3	0	0	2	100	100	2	1	1.56816e-15	2.77778e-13	3.626
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2618470185	0	3	0	4	3	20	20	2	1	1.56816e-15	5.55556e-14	2.4476
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3855444880	0	3	0	4	2	20	20	2	1	1.56816e-15	5.55556e-14	2.6696
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4092937341	0	3	0	3	2	1000	1000	2	1	1.56816e-15	2.77778e-12	5.9328
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4209254968	0	3	0	1	3	10	10	2	1	1.56816e-15	2.77778e-14	2.5268
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4261097810	0	3	0	2	0	5	5	2	1	1.56816e-15	1.38889e-14	0.5148
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	43910001	0	2	0	4	2	10	10	2	1	1.56816e-15	2.77778e-13	2.6696
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	83144869	0	2	0	0	4	100	100	2	1	1.56816e-15	2.77778e-12	4.624
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	301398390	0	2	0	3	2	10	10	2	1	1.56816e-15	2.77778e-13	2.408
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	495130845	0	2	0	2	0	20	20	2	1	1.56816e-15	5.55556e-13	3.3884
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	606666641	0	2	0	1	2	20	20	2	1	1.56816e-15	5.55556e-13	3.032
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	643637346	0	2	0	4	0	10	10	2	1	1.64736e-15	2.77778e-13	1.9308
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	918728477	0	2	0	1	0	1000	1000	2	1	1.56816e-15	2.77778e-11	5.8536
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1146288808	0	2	0	2	1	100	100	2	1	1.56816e-15	2.77778e-12	4.7428
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1444972920	0	2	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	3.3092
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1493603441	0	2	0	2	3	10	10	2	1	1.73056e-15	2.77778e-13	1.7704
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1735361969	0	2	0	0	4	10	10	2	1	1.73056e-15	2.77778e-13	2.7528
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1771568086	0	2	0	4	0	20	20	2	1	1.64736e-15	5.55556e-13	1.9308
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2061692099	0	2	0	3	4	10	10	2	1	1.64736e-15	2.77778e-13	1.0396
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2105150962	0	2	0	0	4	100	100	2	1	1.56816e-15	2.77778e-12	4.624
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2386479733	0	2	0	1	0	10	10	2	1	1.64736e-15	2.77778e-13	1.7288
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2509435700	0	2	0	4	2	20	20	2	1	1.56816e-15	5.55556e-13	2.6696
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2965207900	0	2	0	0	3	10	10	2	1	1.73056e-15	2.77778e-13	1.398
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2981702680	0	2	0	4	1	10	10	2	1	1.64736e-15	2.77778e-13	2.5684
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3216041206	0	2	0	2	4	20	20	2	1	2.43936e-15	5.55556e-13	2.63
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3274264934	0	2	0	0	1	100	100	2	1	1.56816e-15	2.77778e-12	4.6636
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3350261578	0	2	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	3.3092
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3669929619	0	2	0	4	2	10	10	2	1	1.56816e-15	2.77778e-13	2.6696
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3719879691	0	2	0	0	3	20	20	2	1	1.64736e-15	5.55556e-13	2.7924
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4102731467	0	2	0	3	1	10	10	2	1	1.88496e-15	2.77778e-13	1.608
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4140315631	0	2	0	0	2	5	5	2	1	1.56816e-15	1.38889e-13	0.6356
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	157189317	0	1	0	0	2	50	50	2	1	1.56816e-15	1.38889e-12	3.626
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	216000811	0	1	0	1	2	5	5	2	1	1.56816e-15	1.38889e-13	0.4356
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	277774490	0	1	0	3	1	1000	1000	2	1	1.56816e-15	2.77778e-11	6.012
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	596748705	0	1	0	1	4	10	10	2	1	1.56816e-15	2.77778e-13	1.4792
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	866443803	0	1	0	2	1	20	20	2	1	1.64736e-15	5.55556e-13	3.3488
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	922020646	0	1	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	2.408
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	926964416	0	1	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	3.3092
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	955672303	0	1	0	0	2	10	10	2	1	1.64736e-15	2.77778e-13	1.9724
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	962605062	0	1	0	3	0	10	10	2	1	1.72656e-15	2.77778e-13	1.6476
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1018788787	0	1	0	3	4	100	100	2	1	1.72656e-15	2.77778e-12	3.832
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1040233980	0	1	0	4	1	10	10	2	1	1.64736e-15	2.77778e-13	2.5684
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1456204505	0	1	0	2	3	1000	1000	2	1	1.56816e-15	2.77778e-11	5.9724
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1534885091	0	1	0	1	4	10	10	2	1	1.56816e-15	2.77778e-13	1.4792
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1567166222	0	1	0	2	0	20	20	2	1	1.56816e-15	5.55556e-13	3.3884
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2057991592	0	1	0	2	0	10	10	2	1	1.56816e-15	2.77778e-13	0.5148
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2118130205	0	1	0	0	2	100	100	2	1	1.56816e-15	2.77778e-12	3.626
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2474918491	0	1	0	0	3	10	10	2	1	1.73056e-15	2.77778e-13	1.398
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2607491937	0	1	0	4	1	100	100	2	1	1.56816e-15	2.77778e-12	4.5052
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2863991460	0	1	0	0	3	10	10	2	1	1.64736e-15	2.77778e-13	2.7924
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3172778085	0	1	0	0	2	2	2	2	1	1.56816e-15	5.55556e-14	0.3072
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3370370065	0	1	0	1	0	20	20	2	1	1.64736e-15	5.55556e-13	1.7288
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3461435426	0	1	0	2	4	20	20	2	1	2.43936e-15	5.55556e-13	2.63
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3496591172	0	1	0	4	1	10	10	2	1	1.64736e-15	2.77778e-13	2.5684
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4114386274	0	1	0	4	1	10	10	2	1	1.64736e-15	2.77778e-13	2.5684
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4205950855	0	1	0	2	1	20	20	2	1	1.64736e-15	5.55556e-13	3.3488
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	15154635	0	0	0	0	1	5	5	1	0	4.16e-08	1	0.5564
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	62808135	0	0	0	0	4	20	20	1	0	4.16e-08	1	2.7112
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	89125888	0	0	0	1	4	1000	1000	1	0	3.96e-08	1	4.7824
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	106606146	0	0	0	4	1	20	20	1	0	4.16e-08	1	2.5684
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	109305538	0	0	0	3	4	50	50	1	0	3.96e-08	1	3.5468
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	131191557	0	0	0	3	4	100	100	1	0	4.36e-08	1	3.832
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	150008389	0	0	0	1	4	20	20	1	0	3.96e-08	1	1.4792
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	228523049	0	0	0	3	4	20	20	1	0	4.16e-08	1	1.0396
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	250529172	0	0	0	2	1	2	2	1	0	3.96e-08	1	0.3468
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	277860819	0	0	0	2	0	20	20	1	0	3.96e-08	1	2.9508
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	293948492	0	0	0	0	1	10	10	1	0	4.16e-08	1	0.5564
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	294000755	0	0	0	4	1	1000	1000	1	0	3.96e-08	1	4.9408
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	318280796	0	0	0	3	1	20	20	1	0	4.76e-08	1	1.5684
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	319419472	0	0	0	3	0	10	10	1	0	3.96e-08	1	1.6476
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	387229271	0	0	0	4	3	100	100	1	0	3.96e-08	1	3.5864
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	396952203	0	0	0	0	4	20	20	1	0	4.16e-08	1	2.7528
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	400799953	0	0	0	0	4	10	10	1	0	4.16e-08	1	2.7528
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	406007865	0	0	0	3	0	10	10	1	0	4.36e-08	1	0.8376
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	408724641	0	0	0	1	0	20	20	1	0	4.16e-08	1	1.6892
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	464014652	0	0	0	4	3	20	20	1	0	3.96e-08	1	1.8892
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	476717859	0	0	0	4	1	10	10	1	0	3.96e-08	1	0.596
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	509286032	0	0	0	2	0	1	1	1	0	3.96e-08	1	0.2376
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	518397843	0	0	0	3	0	10	10	1	0	3.96e-08	1	1.6476
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	519322812	0	0	0	4	3	50	50	1	0	3.96e-08	1	3.5864
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	546621314	0	0	0	3	4	20	20	1	0	4.16e-08	1	1.0396
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	591080722	0	0	0	2	1	2	2	1	0	3.96e-08	1	0.3468
