# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E12S120_12ecu_120signals_004.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.45356440000000015	0.45356440000000015	120	30	1
baseline1	0.48180439999999991	0.48180439999999991	120	40	1
baseline2	0.36790994291189327	0.36790959999999989	120	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	90	0.10916928444448196	0.23860000000004788
foundation	B	12	0.026442966666680921	0.071880000000015792
foundation	C	12	0.033292300000015623	0.10316000000001964
foundation	D	6	0.021283266666702699	0.047820000000010056
baseline1	A	90	0.098801982222259888	0.18940000000004034
baseline1	B	12	0.03203996666668283	0.071680000000014843
baseline1	C	12	0.032312633333349695	0.10772000000002321
baseline1	D	6	0.036263066666674469	0.071680000000014843
baseline2	A	90	0.086954915555555568	0.17564000000000005
baseline2	B	12	0.093699133333333393	0.17168000000000003
baseline2	C	12	0.086387933333333347	0.18356000000000006
baseline2	D	6	0.073613066666666657	0.13207999999999995

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	90	3.9799999207622164e-08	4.5599998960320021e-08
foundation	B	12	1.5747599375022262e-15	1.6473599331171859e-15
foundation	C	12	1.5813599371035861e-15	1.6473599331171859e-15
foundation	D	6	1.5945599362799061e-15	1.7265599281751066e-15
baseline1	A	90	3.5266666152022171e-08	4.5599998960320021e-08
baseline1	B	12	1.5816932704098528e-15	1.7305599280087053e-15
baseline1	C	12	1.5952266029188393e-15	1.7305599280087053e-15
baseline1	D	6	1.6236266011037463e-15	1.9009599171181472e-15
baseline2	A	90	8.6350679693067732e-18	1.1102230246251565e-16
baseline2	B	12	0	0
baseline2	C	12	0	0
baseline2	D	6	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	90	0
foundation	B	12	12
foundation	C	12	12
foundation	D	6	6
baseline1	A	90	10
baseline1	B	12	12
baseline1	C	12	12
baseline1	D	6	6
baseline2	A	90	0
baseline2	B	12	0
baseline2	C	12	0
baseline2	D	6	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	959445487367414400	B	1	0	2	1	0	2	1	1.6473599331171859e-15	5.5555555555555549e-14	0.077199996788712394	1.6653345369377348e-15	0.077200000000232194	0.15040000000021791
foundation	1585157839799143331	B	1	0	10	5	11	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.67319997334140369	1.5543122344752192e-15	0.67320000000012215	1.3148000000002753
foundation	18087064896438649172	B	1	0	10	10	11	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.71879997153567965	1.5543122344752192e-15	0.71880000000015798	1.1504000000002179
foundation	18373868655388736662	B	1	0	10	7	11	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.4771999811029769	1.5543122344752192e-15	0.47720000000009577	1.0752000000002226
foundation	5043024638647281855	B	1	0	20	1	6	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.0711999575806861	1.5543122344752192e-15	1.0712000000002035	1.5128000000003112
foundation	5991091353004663368	B	1	0	20	6	11	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	3.894800000000771
foundation	11481906422521121408	B	1	0	20	1	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.16039999364819868	1.5543122344752192e-15	0.16040000000003829	3.0216000000006034
foundation	17510757288831498265	B	1	0	20	3	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	3.3800000000006776
foundation	18339427969395486107	B	1	0	20	9	8	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.27719998902293097	1.5543122344752192e-15	0.2772000000000503	3.4592000000006919
foundation	7412862317008069128	B	1	0	50	3	1	2	1	1.5681599379008662e-15	1.3888888888888889e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	3.9740000000007853
foundation	14921563113233329903	B	1	0	100	3	7	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.1563999542067525	1.5543122344752192e-15	1.1564000000001897	4.4512000000008811
foundation	16046227459766731901	B	1	0	1000	8	1	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	5.9244000000000083
foundation	6790047359464832520	A	0	0	1	2	1	1	0	3.9599999215920021e-08	1	0.15640000000024656	3.95999991686935e-08	0.15640000000024656	0.15640000000024656
foundation	10884364363243243049	A	0	0	1	1	0	1	0	4.1599999134720006e-08	1	0.077200000000232194	4.1599999112129638e-08	0.077200000000232194	0.077200000000232194
foundation	12398933672521647420	A	0	0	1	1	0	1	0	4.1599999134720006e-08	1	0.077200000000232194	4.1599999112129638e-08	0.077200000000232194	0.077200000000232194
foundation	13461241017848925361	A	0	0	1	2	0	1	0	3.9599999215920021e-08	1	0.11680000000023938	3.95999991686935e-08	0.11680000000023938	0.11680000000023938
foundation	18013707207949447399	A	0	0	1	1	0	1	0	4.1599999134720006e-08	1	0.077200000000232194	4.1599999112129638e-08	0.077200000000232194	0.077200000000232194
foundation	11727985265811673394	A	0	0	2	1	2	1	0	3.9599999215920021e-08	1	0.18800000000044292	3.95999991686935e-08	0.18800000000044292	0.18800000000044292
