# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E12S200_12ecu_200signals_003.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.73513719999999794	0.73513719999999794	200	50	1
baseline1	0.76091719999999852	0.76091719999999852	200	77	1
baseline2	0.51909915006526697	0.51909839999999974	200	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	150	0.17716258933351686	0.44408000000028097
foundation	B	20	0.027864379999849455	0.16773999999993522
foundation	C	20	0.026966959999868916	0.1201600000001207
foundation	D	10	0.020547199999955239	0.087420000000017234
baseline1	A	150	0.16148951200009337	0.38186000000007425
baseline1	B	20	0.084503560000075736	0.19440000000023475
baseline1	C	20	0.082923920000049056	0.1666800000002297
baseline1	D	10	0.043582400000058842	0.13316000000002645
baseline2	A	150	0.12294760800000008	0.27980000000000022
baseline2	B	20	0.10699024000000004	0.25604000000000016
baseline2	C	20	0.15888310000000008	0.26000000000000018
baseline2	D	10	0.12422480000000011	0.2758400000000002

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	150	3.9826665872717215e-08	5.3599998563520031e-08
foundation	B	20	1.5681599379008662e-15	1.5681599379008662e-15
foundation	C	20	1.5681599379008662e-15	1.5681599379008662e-15
foundation	D	10	1.600239935939074e-15	1.7305599280087053e-15
baseline1	A	150	3.2671999632781766e-08	5.3599998563520031e-08
baseline1	B	20	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	C	20	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	D	10	1.6176799348333781e-15	1.9009599171181472e-15
baseline2	A	150	1.258252761241844e-17	2.2204460492503131e-16
baseline2	B	20	1.6653345369377347e-17	1.1102230246251565e-16
baseline2	C	20	1.1102230246251566e-17	1.1102230246251565e-16
baseline2	D	10	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	150	0
foundation	B	20	20
foundation	C	20	20
foundation	D	10	10
baseline1	A	150	27
baseline1	B	20	20
baseline1	C	20	20
baseline1	D	10	10
baseline2	A	150	0
baseline2	B	20	0
baseline2	C	20	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	17564098102301239295	C	2	0	10	4	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	3.567600000002642
foundation	1639359107042403210	C	2	0	20	6	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.1859999134348387	1.5543122344752192e-15	2.1860000000004334	4.6968000000009056
foundation	2436016493251127122	C	2	0	20	8	11	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.1291999552819463	1.5543122344752192e-15	1.1291999999982636	3.4488000000026204
foundation	6729768229420323018	C	2	0	20	6	9	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	5.6908000000011043
foundation	9626247785338122062	C	2	0	20	8	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	5.8888000000011402
foundation	11057032655389310169	C	2	0	20	2	4	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	6.5264000000012743
foundation	11186867454409923062	C	2	0	20	4	8	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	5.8096000000011259
foundation	12237376115808366770	C	2	0	20	5	9	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.4031999048356996	1.5543122344752192e-15	2.4032000000024141	3.2479999999986831
foundation	14881256113900975285	C	2	0	20	8	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.3583999858074351	1.5543122344752192e-15	0.35840000000007421	4.5384000000008768
foundation	14990588168138688783	C	2	0	20	1	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	6.9224000000013461
foundation	2880915283392113645	C	2	0	1000	11	2	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	14.638800000000028
foundation	9808564525290865816	C	2	0	1000	10	7	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	14.559600000000028
foundation	17603200056635525535	B	1	0	1	1	0	2	1	1.5681599379008662e-15	2.7777777777777774e-14	0.07759999692569404	1.5543122344752192e-15	0.077599999998653857	0.19360000000159516
foundation	10942721896017602600	B	1	0	5	0	2	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.073599997084472832	1.5543122344752192e-15	0.073599999999032661	0.34000000000202135
foundation	12724101915260607645	B	1	0	5	2	1	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.073599997084472832	1.5543122344752192e-15	0.073599999999032661	0.49840000000205009
foundation	3110731539002155531	B	1	0	10	11	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	1.9260000000023183
foundation	9564734205938115770	B	1	0	10	0	1	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	1.6092000000022608
foundation	11173820140501579950	B	1	0	10	4	6	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.33719998664500067	1.5543122344752192e-15	0.33719999999811989	4.003200000002721
foundation	14785197558172086326	B	1	0	10	10	7	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	0.7360000000020932
foundation	15885196347211175611	B	1	1	10	1	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	0.93400000000212913
foundation	16568166754231261561	B	1	0	10	3	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.2831999491855326	1.5543122344752192e-15	1.2832000000002495	2.4824000000024284
foundation	16803474603932005122	B	1	0	10	8	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	1.8072000000022967
foundation	2031775921809749276	B	1	0	20	5	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	7.3600000000014347
foundation	8690140375809529981	B	1	0	20	4	2	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	3.567600000002642
foundation	10976037670927997766	B	1	0	20	3	1	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.6275999355473574	1.5543122344752192e-15	1.6276000000003137	4.8176000000009367
foundation	12634650622624783547	B	1	0	20	11	1	2	1	1.5681599379008662e-15	5.5555555555555559e-13	3.3547998671486323	1.5543122344752192e-15	3.3547999999987042	3.3696000000026061
foundation	11712523735091722012	B	1	0	50	11	8	2	1	1.5681599379008662e-15	1.3888888888888889e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	7.7956000000015138
foundation	2801727603473424369	B	1	0	100	1	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.31879998737558779	1.5543122344752192e-15	0.31880000000006703	9.025200000001746
foundation	6034193305973104167	B	1	0	100	3	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	8.5104000000016526
foundation	14416993762185248741	B	1	0	100	4	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	8.6292000000016742
foundation	16572409302220609538	B	1	0	100	5	7	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	7.8748000000015281
foundation	7428710966269332068	B	1	0	1000	3	8	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	14.797200000000029
foundation	2529442936023751083	A	0	0	1	1	2	1	0	4.1599999134720006e-08	1	0.074800000001573608	4.1599999112129638e-08	0.074800000001573608	0.074800000001573608
foundation	8441180647431346669	A	0	0	1	2	1	1	0	3.9599999215920021e-08	1	0.31240000000161672	3.95999991686935e-08	0.31240000000161672	0.31240000000161672
foundation	12297743014767354376	A	0	0	1	2	0	1	0	3.9599999215920021e-08	1	0.27280000000160953	3.95999991686935e-08	0.27280000000160953	0.27280000000160953
foundation	14511350065931238509	A	0	0	1	1	2	1	0	4.1599999134720006e-08	1	0.074800000001573608	4.1599999112129638e-08	0.074800000001573608	0.074800000001573608
foundation	18172485229601441497	A	0	0	1	1	2	1	0	4.1599999134720006e-08	1	0.074800000001573608	4.1599999112129638e-08	0.074800000001573608	0.074800000001573608
