# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E8S250_8ecu_250signals_001.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.63292399999999949	0.63292399999999949	250	62	1
baseline1	0.66875999999999958	0.66875999999999958	250	132	1
baseline2	0.46483805039182374	0.46483759999999996	250	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	188	0.11573674680857927	0.35068000000007371
foundation	B	25	0.029634767999984515	0.10336000000002059
foundation	C	25	0.038566064000041297	0.13524000000002728
foundation	D	12	0.03670900000000718	0.087320000000016759
baseline1	A	188	0.10524868936180301	0.36020000000008279
baseline1	B	25	0.045564960000044799	0.18080000000004476
baseline1	C	25	0.043354224000078656	0.18080000000004476
baseline1	D	12	0.058798000000012951	0.16752000000003592
baseline2	A	188	0.10129785744680853	0.2616
baseline2	B	25	0.10021364800000003	0.25408000000000014
baseline2	C	25	0.095376464000000036	0.25408000000000014
baseline2	D	12	0.096445333333333369	0.19804000000000005

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	188	4.0078722599398612e-08	6.1599998102720045e-08
foundation	B	25	1.6536639317882008e-15	3.3017598098186309e-15
foundation	C	25	1.5841599369311379e-15	1.7305599280087053e-15
foundation	D	12	1.5747599375022262e-15	1.6473599331171859e-15
baseline1	A	188	2.5057446923726295e-08	4.5599998960320021e-08
baseline1	B	25	1.7030079282252951e-15	3.7945597662551131e-15
baseline1	C	25	1.6006399359224341e-15	1.7305599280087053e-15
baseline1	D	12	1.5816932704098528e-15	1.7305599280087053e-15
baseline2	A	188	2.0078501509178364e-17	2.2204460492503131e-16
baseline2	B	25	2.6645352591003756e-17	2.2204460492503131e-16
baseline2	C	25	2.6645352591003756e-17	2.2204460492503131e-16
baseline2	D	12	1.8503717077085941e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	188	0
foundation	B	25	25
foundation	C	25	25
foundation	D	12	12
baseline1	A	188	70
baseline1	B	25	25
baseline1	C	25	25
baseline1	D	12	12
baseline2	A	188	0
baseline2	B	25	0
baseline2	C	25	0
baseline2	D	12	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	12902876221207033298	C	2	0	10	7	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.19999999208004596	1.5543122344752192e-15	0.20000000000004547	3.346400000000699
foundation	12965078321703756094	C	2	0	10	6	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.8296000000003687
foundation	14234368782435499654	C	2	0	10	1	7	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.71479997169406062	1.5543122344752192e-15	0.71480000000013888	2.7524000000005913
foundation	15262384608041042297	C	2	0	10	1	5	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.9543999622059538	1.5543122344752192e-15	0.95440000000019154	2.4316000000005147
foundation	18246445937932689556	C	2	0	10	5	0	2	1	1.6473599331171859e-15	2.7777777777777779e-13	0.79399996855775512	1.5543122344752192e-15	0.79400000000015325	2.0356000000004428
foundation	4311771375631588724	C	2	0	20	6	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.0299999592122024	1.5543122344752192e-15	1.0300000000002001	3.7048000000007733
foundation	7451320076674506541	C	2	0	20	1	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.586399937178874	1.5543122344752192e-15	1.5864000000003102	3.3068000000006919
foundation	8449091269606220149	C	2	0	20	6	7	2	1	1.7305599280087053e-15	5.5555555555555559e-13	1.2675999472680866	1.6653345369377348e-15	1.2676000000002432	3.427600000000723
foundation	4539114506911202742	C	2	0	50	0	3	2	1	1.5681599379008662e-15	1.3888888888888889e-12	0.59599997639851876	1.5543122344752192e-15	0.59600000000011732	5.0160000000010427
foundation	9714914580022761274	C	2	0	50	4	1	2	1	1.5681599379008662e-15	1.3888888888888889e-12	0.079199996863694555	1.5543122344752192e-15	0.07920000000001437	5.6516000000011672
foundation	98596932001405002	C	2	0	100	5	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.87519996534225919	1.5543122344752192e-15	0.87520000000017717	6.7288000000013426
foundation	1644618108020737299	C	2	0	100	3	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.906799924491098	1.5543122344752192e-15	1.9068000000003735	6.5308000000013067
foundation	2707296924623470764	C	2	0	100	0	6	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.91879996361566885	1.5543122344752192e-15	0.91880000000014661	6.4060000000013133
foundation	5731573170884542496	C	2	0	100	1	7	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.91279996385329698	1.5543122344752192e-15	0.9128000000001748	7.5644000000015126
foundation	8476452926623334341	C	2	0	100	2	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	6.5704000000013139
foundation	8693990384498743588	C	2	0	100	3	6	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.87919996518382149	1.5543122344752192e-15	0.87920000000013943	5.8892000000012104
foundation	9812174147053182251	C	2	0	100	7	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.7147999320942335	1.5543122344752192e-15	1.7148000000003094	5.9684000000012247
foundation	16522831039497630156	C	2	0	100	7	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.63759997475117558	1.5543122344752192e-15	0.63760000000013406	6.8872000000013713
foundation	17208122485700084874	C	2	0	1000	5	0	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	8.8752000000000137
foundation	15580161656192967228	B	1	0	1	1	2	2	1	1.5681599379008662e-15	2.7777777777777774e-14	0.077199996942259735	1.5543122344752192e-15	0.077199999999379543	0.19600000000087903
foundation	4857110553324375346	B	1	0	2	1	2	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.077199996942259735	1.5543122344752192e-15	0.077199999999379543	0.19600000000087903
foundation	7352917407617417968	B	1	0	2	2	1	2	1	1.6473599331171859e-15	5.5555555555555549e-14	0.15639999349463224	1.6653345369377348e-15	0.15640000000087184	0.19800000000003593
foundation	7625003032456431929	B	1	0	5	2	1	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.19799999215923639	1.5543122344752192e-15	0.19800000000003593	0.35840000000007421
foundation	12454544348486648717	B	1	0	5	0	2	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.11879999529554183	1.5543122344752192e-15	0.11880000000002156	0.47720000000009577
foundation	2512797098345261076	B	1	0	10	7	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.19999999208004596	1.5543122344752192e-15	0.20000000000004547	3.346400000000699
foundation	8968427704822400377	B	1	0	10	1	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.0335999590696483	1.5543122344752192e-15	1.0336000000002059	1.4712000000002945
foundation	12968105851802898744	B	1	0	10	3	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	2.3860000000004788
foundation	14417225965253767312	B	1	0	10	1	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	2.5444000000005076
foundation	15055002789602681587	B	1	0	10	5	1	2	1	1.6473599331171859e-15	2.7777777777777779e-13	0.23959999051189321	1.5543122344752192e-15	0.23960000000005266	2.7880000000005793
foundation	4106827457297765073	B	1	0	20	2	7	2	1	3.3017598098186309e-15	5.5555555555555559e-13	0.45959997168872235	3.3306690738754696e-15	0.45960000000007994	3.9564000000008264
foundation	5170337730800397956	B	1	0	20	3	5	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.31879998737558779	1.5543122344752192e-15	0.31880000000006703	4.5348000000009279
foundation	5676604732455972606	B	1	0	20	2	6	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	4.4556000000009135
foundation	10022004626168317816	B	1	0	20	0	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.9088000000003831
foundation	10036131516762655260	B	1	0	20	1	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.71479997169406062	1.5543122344752192e-15	0.71480000000013888	2.7524000000005913
foundation	14041983256208962984	B	1	0	20	6	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.0299999592122024	1.5543122344752192e-15	1.0300000000002001	3.7048000000007733
foundation	14250847219723587417	B	1	0	20	0	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.9879999212756021	1.5543122344752192e-15	1.9880000000003974	2.5864000000005376
foundation	16316833145686054273	B	1	0	20	0	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.9088000000003831
foundation	17612577336587854318	B	1	0	20	5	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.312799948013389	1.5543122344752192e-15	1.3128000000002658	2.5504000000005362
foundation	3043873421810010848	B	1	0	100	3	5	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.55639997796667151	1.5543122344752192e-15	0.55640000000011014	6.8476000000013642
foundation	6783503748217808826	B	1	0	100	2	5	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	7.8812000000015701
foundation	8100205193495637001	B	1	0	100	1	3	2	1	1.813759922733826e-15	2.7777777777777777e-12	2.4691998972817419	1.7763568394002505e-15	2.4692000000004555	4.9764000000010356
foundation	4412718355532982025	B	1	0	1000	0	5	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.079199996863680344	1.5543122344752192e-15	0.079200000000000159	8.7564000000000135
foundation	11625341676007685478	B	1	0	1000	1	0	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	8.994000000000014
foundation	17615399192300691979	B	1	0	1000	3	7	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.35839998580736226	1.5543122344752192e-15	0.35840000000000138	8.5960000000000125
foundation	591263355902882176	A	0	0	1	0	2	1	0	3.9599999215920021e-08	1	0.11480000000085511	3.95999991686935e-08	0.11480000000085511	0.11480000000085511
foundation	3406732148162429664	A	0	0	1	1	0	1	0	3.9599999215920021e-08	1	0.2752000000008934	3.95999991686935e-08	0.2752000000008934	0.2752000000008934
