# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E5S150_5ecu_150signals_001.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.48297200000000007	0.48297200000000007	150	37	1
baseline1	0.48956799999999989	0.48956799999999989	150	88	1
baseline2	0.33526533846902518	0.33526519999999987	150	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	113	0.079590106194744839	0.31120000000078107
foundation	B	15	0.029684533333401149	0.077200000000232194
foundation	C	15	0.016497360000027109	0.053080000000011299
foundation	D	7	0.024654457142863153	0.061400000000014644
baseline1	A	113	0.065394453097359598	0.27600000000000513
baseline1	B	15	0.044833866666675708	0.11360000000000525
baseline1	C	15	0.017725546666670668	0.074080000000020615
baseline1	D	7	0.019219771428576529	0.076440000000019381
baseline2	A	113	0.061250322123893752	0.26360000000000006
baseline2	B	15	0.064107466666666668	0.14480000000000001
baseline2	C	15	0.046958159999999992	0.084400000000000003
baseline2	D	7	0.044360057142857137	0.10003999999999998

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	113	4.1086724812904005e-08	6.1599998102720045e-08
foundation	B	15	1.6431999330057837e-15	2.3609598852573478e-15
foundation	C	15	1.6595732653279808e-15	2.3609598852573478e-15
foundation	D	7	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	A	113	2.2488495927217637e-08	6.1599998102720045e-08
baseline1	B	15	1.6849599301771331e-15	2.6625598626119082e-15
baseline1	C	15	1.7179732614654742e-15	2.6625598626119082e-15
baseline1	D	7	1.6145599350745345e-15	1.7305599280087053e-15
baseline2	A	113	1.4737473778210044e-17	1.1102230246251565e-16
baseline2	B	15	0	0
baseline2	C	15	7.4014868308343768e-18	1.1102230246251565e-16
baseline2	D	7	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	113	0
foundation	B	15	15
foundation	C	15	15
foundation	D	7	7
baseline1	A	113	51
baseline1	B	15	15
baseline1	C	15	15
baseline1	D	7	7
baseline2	A	113	0
baseline2	B	15	0
baseline2	C	15	0
baseline2	D	7	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	14496881495168280476	B	1	0	100	0	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	2.9864000000006854
foundation	4385149479429449637	A	0	0	1	1	2	1	0	3.9599999215920021e-08	1	0.27160000000077389	3.95999991686935e-08	0.27160000000077389	0.27160000000077389
foundation	6418840825324258131	A	0	0	1	0	1	1	0	3.9599999215920021e-08	1	0.19240000000075952	3.95999991686935e-08	0.19240000000075952	0.19240000000075952
foundation	6938556539859633248	A	0	0	1	1	2	1	0	3.9599999215920021e-08	1	0.27160000000077389	3.95999991686935e-08	0.27160000000077389	0.27160000000077389
foundation	14134220410493575342	A	0	0	1	2	0	1	0	3.9599999215920021e-08	1	0.31120000000078107	3.95999991686935e-08	0.31120000000078107	0.31120000000078107
foundation	2817146375064153046	A	0	0	2	2	1	1	0	3.9599999215920021e-08	1	0.34880000000055134	3.95999991686935e-08	0.34880000000055134	0.34880000000055134
foundation	3285848455993277230	A	0	0	2	1	0	1	0	3.9599999215920021e-08	1	0.10920000000072605	3.95999991686935e-08	0.10920000000072605	0.10920000000072605
foundation	7944921296120324529	A	0	0	2	0	1	1	0	3.9599999215920021e-08	1	0.19240000000075952	3.95999991686935e-08	0.19240000000075952	0.19240000000075952
foundation	16794048277606931684	A	0	0	2	2	0	1	0	3.9599999215920021e-08	1	0.31120000000078107	3.95999991686935e-08	0.31120000000078107	0.31120000000078107
foundation	8282584529339980189	A	0	0	5	1	2	1	0	3.9599999215920021e-08	1	0.60200000000014597	3.95999991686935e-08	0.60200000000014597	0.60200000000014597
foundation	11751747687849977110	A	0	0	5	1	2	1	0	3.9599999215920021e-08	1	0.60200000000014597	3.95999991686935e-08	0.60200000000014597	0.60200000000014597
foundation	351799428300695150	A	0	0	10	2	0	1	0	3.9599999215920021e-08	1	0.039600000000007185	3.95999991686935e-08	0.039600000000007185	0.039600000000007185
foundation	831022920558290478	A	0	0	10	3	4	1	0	3.9599999215920021e-08	1	1.8240000000004102	3.95999991686935e-08	1.8240000000004102	1.8240000000004102
foundation	873730257667149278	A	0	0	10	4	3	1	0	3.9599999215920021e-08	1	1.3804000000002929	3.95999991686935e-08	1.3804000000002929	1.3804000000002929
foundation	1169879613613488786	A	0	0	10	3	0	1	0	3.9599999215920021e-08	1	0.039600000000007185	3.95999991686935e-08	0.039600000000007185	0.039600000000007185
foundation	2572682405062663213	A	0	0	10	1	4	1	0	3.9599999215920021e-08	1	0.07920000000001437	3.95999991686935e-08	0.07920000000001437	0.07920000000001437
foundation	3313812459426099453	A	0	0	10	1	3	1	0	4.1599999134720006e-08	1	1.4220000000003097	4.1599999112129638e-08	1.4220000000003097	1.4220000000003097
foundation	3342029715566661824	A	0	0	10	0	4	1	0	3.9599999215920021e-08	1	0.76040000000017471	3.95999991686935e-08	0.76040000000017471	0.76040000000017471
foundation	3381473414946399704	A	0	0	10	2	4	1	0	4.1599999134720006e-08	1	1.7052000000003886	4.1599999112129638e-08	1.7052000000003886	1.7052000000003886
foundation	3658364012182167427	A	0	0	10	2	4	1	0	4.1599999134720006e-08	1	1.7052000000003886	4.1599999112129638e-08	1.7052000000003886	1.7052000000003886
