# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E12S200_12ecu_200signals_001	foundation	730272955	148	1	2	0	25	134	100	100	0	0.039600000000000003	1	1	100	100	C	2	0	1	11
E12S200_12ecu_200signals_001	foundation	730272955	148	2	2	1	87	148	100	100	7.7916000000014378	0.039600000000000003	1	1	100	100	C	2	0	1	11
E12S200_12ecu_200signals_001	foundation	754972291	166	1	2	0	44	2	1	1	0	0.039600000000000003	1	3	1	1	B	1	0	0	1
E12S200_12ecu_200signals_001	foundation	754972291	166	2	2	1	45	3	1	1	0.15600000000097225	0.039600000000000003	1	2	1	1	B	1	0	0	1
E12S200_12ecu_200signals_001	foundation	777200901	2	1	1	0	133	52	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	8	4
E12S200_12ecu_200signals_001	foundation	798876156	79	1	1	0	173	129	50	50	0	0.061600000000000002	12	2	50	50	A	0	0	7	10
E12S200_12ecu_200signals_001	foundation	827755688	37	1	2	0	93	124	50	50	0	0.039600000000000003	1	1	50	50	C	2	0	4	0
E12S200_12ecu_200signals_001	foundation	827755688	37	2	2	1	98	125	50	50	7.3736000000013746	0.039600000000000003	1	1	50	50	C	2	0	4	0
E12S200_12ecu_200signals_001	foundation	835870038	110	1	1	0	125	50	10	10	1.7280000000021118	0.039600000000000003	1	4	10	10	A	0	0	1	11
E12S200_12ecu_200signals_001	foundation	839506786	12	1	1	0	200	76	10	10	0	0.039600000000000003	1	2	20	20	A	0	0	10	7
E12S200_12ecu_200signals_001	foundation	841937467	20	1	1	0	117	155	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	4	5
