MessageCode	周期	安全等级	异源备份	故障概率上限	故障概率(原本)	故障概率(重打包)
17821044776358836849	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
9845783336421380834	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
12443935818913434348	10	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
6958937394328325012	1	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
363513574727669156	10	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
4941858139042313758	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
6784595156313735910	10	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
13473694018288818480	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
5261445931411742708	100	D	否	1.0000000000e-08	4.3600001387e-10	4.3600001387e-10
16457107008599400349	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
1718088970792244204	20	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
10662038524683549811	10	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
643473153119987860	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
11314338598618421740	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
10164412105335636189	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
9712589589424581968	10	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
17211424019345016733	10	D	否	1.0000000000e-08	3.9600001056e-10	3.9600001056e-10
5250471428333279328	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
12406447138134047860	10	B	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
14252917408771519298	10	B	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
2643110291523439703	100	B	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
1855754612678459788	100	C	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
8794427001457249001	10	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
15246502313306299894	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
5272246808940396554	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
2644290197522711109	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
1335038812153817944	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
12331515597063862763	50	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
9360924561925049639	20	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
9089901615861722999	20	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
15981414712622154261	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
5577507952245476461	1	A	否	1.0000000000e-06	4.5600001553e-10	4.5600001553e-10
7944179585133561344	10	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
11649784686390195505	20	C	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
5190270084407775797	20	C	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
2527590932796859997	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
13284120991504424918	10	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
10820903866074647332	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
12829131078903591727	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
12894097009004141030	10	B	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
17308256193368343596	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
2011063101483079802	10	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
16696296731599774573	20	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
6151532290212844221	10	B	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
15814915523692201012	10	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
17349078478125344007	10	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
17231485606667511022	10	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
4230032913027956932	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
6476368252774129396	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
13145997811059308442	20	A	否	1.0000000000e-06	4.1600001222e-10	4.1600001222e-10
16978502274680300086	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
9486591423785749098	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
12718161978364074746	20	B	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
8947106996046918860	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
13703428898833850134	10	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
6438540017287041772	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
7823757703094811045	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
1428119995792397275	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
2053128839701913305	20	B	否	1.0000000000e-07	4.1600001222e-10	4.1600001222e-10
18197685042083596468	5	A	是	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
17703467082840868241	100	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
9754499526144686958	100	B	否	1.0000000000e-07	3.9600001056e-10	3.9600001056e-10
11035875389407232468	20	A	否	1.0000000000e-06	3.9600001056e-10	3.9600001056e-10
