MessageCode	周期	安全等级	异源备份	故障概率上限	故障概率(原本)	故障概率(重打包)
7411283291098199330	1	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
17699147762010126032	20	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
9486591423785749098	20	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
13333517417744314475	1	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
6958937394328325012	1	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
18197685042083596468	5	A	是	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
15814915523692201012	10	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
10296024032611136327	5	B	否	1.0000000000e-07	9.0009877085e-06	8.1017779729e-11
13473694018288818480	20	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
8794427001457249001	10	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
9712589589424581968	10	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
4230032913027956932	20	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
16457107008599400349	20	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
9360924561925049639	20	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
7422881806727213321	10	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
16978502274680300086	100	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
17231485606667511022	10	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
12406447138134047860	10	B	否	1.0000000000e-07	9.0009877085e-06	8.1017779729e-11
12894097009004141030	10	B	否	1.0000000000e-07	9.0009877085e-06	8.1017779729e-11
16696296731599774573	20	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
1718088970792244204	20	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
244160375644055874	20	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
2644290197522711109	100	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
15609024284938315872	20	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
15238462674379615892	100	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
8021906394822888330	100	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
14868804079859404324	20	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
10662038524683549811	10	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
11937056776688191019	10	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
9089901615861722999	20	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
2053128839701913305	20	B	否	1.0000000000e-07	9.2009838578e-06	8.4658103951e-11
363513574727669156	10	A	否	1.0000000000e-06	9.2009838578e-06	8.4658103951e-11
5830109885831638433	10	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
6476368252774129396	100	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
13703428898833850134	10	A	否	1.0000000000e-06	9.0009877085e-06	8.1017779729e-11
