MessageCode	÷‹∆⁄	∞≤»´µ»º∂	“Ï‘¥±∏∑›	π ’œ∏≈¬ …œœﬁ	π ’œ∏≈¬ (‘≠±æ)	π ’œ∏≈¬ (÷ÿ¥Ú∞¸)
15285108922565637646	10	C	∑Ò	1.0000000000e-07	1.7763568394e-14	8.1934459217e-14
18177649280150231734	10	C	∑Ò	1.0000000000e-07	1.4210854715e-14	4.8516746176e-14
9211472917209484945	1	A	∑Ò	1.0000000000e-06	7.1831788095e-07	6.9640392829e-11
17040610128182417906	10	A	∑Ò	1.0000000000e-06	6.8278716014e-14	3.3295588509e-13
11248478006290880685	2	A	∑Ò	1.0000000000e-06	8.5022739960e-08	6.1497478638e-11
12106618892235347231	1	B	∑Ò	1.0000000000e-07	5.4393131005e-05	6.5415952073e-09
7031111533188588367	20	A	∑Ò	1.0000000000e-06	6.1062266354e-14	2.3281376826e-13
15746209005733356194	1	A	∑Ò	1.0000000000e-06	7.4990859225e-05	3.3904780961e-08
3426591465372159191	1	C	∑Ò	1.0000000000e-07	9.6949268111e-05	1.0868807180e-08
2153376879588050027	10	B	∑Ò	1.0000000000e-07	1.8207657604e-14	4.6296300127e-14
3343619737683237815	20	D	∑Ò	1.0000000000e-08	2.8865798640e-15	1.6542323067e-14
12628763823293528235	5	A	∑Ò	1.0000000000e-06	7.6605388699e-15	3.3664293575e-11
7982193867688249072	10	C	∑Ò	1.0000000000e-07	7.6605388699e-15	3.3664293575e-11
17143076718066059377	20	C	∑Ò	1.0000000000e-07	1.9317880628e-14	1.2334577804e-13
7556947517729908710	10	C	∑Ò	1.0000000000e-07	1.4210854715e-14	4.8516746176e-14
10082478663681177228	10	A	∑Ò	1.0000000000e-06	7.6605388699e-15	3.3664293575e-11
14346435453686078738	10	A	∑Ò	1.0000000000e-06	7.6605388699e-15	3.3664293575e-11
5391746927610745970	20	B	∑Ò	1.0000000000e-07	1.9317880628e-14	1.2334577804e-13
10284099801424913765	10	A	∑Ò	1.0000000000e-06	1.2834178165e-13	3.5837999235e-13
10722206092123013132	10	A	∑Ò	1.0000000000e-06	8.8817841970e-15	5.2515991555e-11
3525261683312587120	10	D	∑Ò	1.0000000000e-08	2.1094237468e-15	1.3211653993e-14
13404865060005169662	5	B	∑Ò	1.0000000000e-07	8.8817841970e-15	5.2515991555e-11
4360969315973290294	10	A	∑Ò	1.0000000000e-06	1.4988010832e-14	7.7160500211e-14
7823967375650788851	5	A	∑Ò	1.0000000000e-06	5.1514348343e-14	3.7081782089e-11
15153149737242604974	100	C	∑Ò	1.0000000000e-07	2.3803181648e-13	8.4487972174e-13
11352029428561326763	20	A	∑Ò	1.0000000000e-06	6.1062266354e-14	2.3281376826e-13
7911602264259075033	5	D	∑Ò	1.0000000000e-08	5.6621374256e-15	2.9310442962e-11
3902901674518042308	10	C	∑Ò	1.0000000000e-07	1.4988010832e-14	7.7160500211e-14
12066909287278150722	10	A	∑Ò	1.0000000000e-06	9.1593399532e-14	3.9990233347e-13
10585835967181818558	10	A	∑Ò	1.0000000000e-06	5.6621374256e-15	2.9310442962e-11
9888756241200632383	10	A	∑Ò	1.0000000000e-06	5.5400128929e-14	1.8618440123e-13
2924822864704839454	10	A	∑Ò	1.0000000000e-06	6.1062266354e-14	2.3281376826e-13
9358299072553527162	20	A	∑Ò	1.0000000000e-06	1.9650947536e-14	1.2045919817e-13
4197285937123864227	20	A	∑Ò	1.0000000000e-06	2.8865798640e-15	1.6542323067e-14
8904056843509994149	10	A	∑Ò	1.0000000000e-06	1.9317880628e-14	3.7414515930e-14
5107546941880496803	20	A	∑Ò	1.0000000000e-06	6.1062266354e-14	2.3281376826e-13
7250493383603507388	10	A	∑Ò	1.0000000000e-06	6.1062266354e-14	2.3281376826e-13
14233695974853985657	10	A	∑Ò	1.0000000000e-06	1.2834178165e-13	3.5837999235e-13
16561498921803460192	10	A	∑Ò	1.0000000000e-06	1.7763568394e-14	8.1934459217e-14
2959818659721057982	10	A	∑Ò	1.0000000000e-06	1.4210854715e-14	4.8516746176e-14
6440880103613651276	10	A	∑Ò	1.0000000000e-06	1.1768364061e-14	5.1736392948e-14
14206508923076099108	10	B	∑Ò	1.0000000000e-07	1.1768364061e-14	5.1736392948e-14
15726040913832430616	10	B	∑Ò	1.0000000000e-07	1.1768364061e-14	5.1736392948e-14
7916350179812449224	20	A	∑Ò	1.0000000000e-06	6.8278716014e-14	3.3295588509e-13
16655208922200964895	20	A	∑Ò	1.0000000000e-06	1.9317880628e-14	1.2334577804e-13
1775151809265549121	20	A	∑Ò	1.0000000000e-06	9.1593399532e-14	3.9990233347e-13
5391072557217364984	10	B	∑Ò	1.0000000000e-07	1.4988010832e-14	7.7160500211e-14
3693126097750555317	20	A	∑Ò	1.0000000000e-06	9.1593399532e-14	3.9990233347e-13
6378711599817446005	10	A	∑Ò	1.0000000000e-06	9.1593399532e-14	3.9990233347e-13
7257085836081051576	20	A	∑Ò	1.0000000000e-06	1.4988010832e-14	7.7160500211e-14
9439664243515238697	10	A	∑Ò	1.0000000000e-06	9.1593399532e-14	3.9990233347e-13
13020695349423697547	10	C	∑Ò	1.0000000000e-07	2.1094237468e-15	1.3211653993e-14
16875807677346482939	10	A	∑Ò	1.0000000000e-06	8.1046280798e-14	1.9118040484e-13
1377447467958708847	10	A	∑Ò	1.0000000000e-06	7.8381745539e-14	3.8036240824e-13
17342770091078830457	10	A	∑Ò	1.0000000000e-06	7.8381745539e-14	3.8036240824e-13
10938597277473671747	100	A	∑Ò	1.0000000000e-06	1.1840528558e-12	4.4935166699e-12
5229862092508307005	20	C	∑Ò	1.0000000000e-07	1.9650947536e-14	1.2045919817e-13
14696944619679967818	20	A	∑Ò	1.0000000000e-06	1.4988010832e-14	7.7160500211e-14
18094384871840911411	20	B	∑Ò	1.0000000000e-07	5.1070259133e-15	1.6653345369e-14
634710370573417418	10	A	∑Ò	1.0000000000e-06	7.9491968563e-14	4.2932324362e-13
2808314613513730194	10	C	∑Ò	1.0000000000e-07	2.8865798640e-15	1.6542323067e-14
11968343772024194406	10	A	∑Ò	1.0000000000e-06	2.8865798640e-15	1.6542323067e-14
4196305343551405874	10	D	∑Ò	1.0000000000e-08	2.9976021665e-15	7.1054273576e-15
9551184803766488808	10	B	∑Ò	1.0000000000e-07	2.2093438190e-14	7.6272321792e-14
1143613445865477901	10	C	∑Ò	1.0000000000e-07	1.9317880628e-14	3.7414515930e-14
11619557692943205112	20	C	∑Ò	1.0000000000e-07	1.9317880628e-14	1.2334577804e-13
9591621425317823071	20	A	∑Ò	1.0000000000e-06	1.9650947536e-14	1.2045919817e-13
16811616149211708604	20	B	∑Ò	1.0000000000e-07	2.1760371283e-14	1.1912693054e-13
245234797074132903	20	C	∑Ò	1.0000000000e-07	2.1760371283e-14	8.9594998087e-14
8522455273793218477	20	A	∑Ò	1.0000000000e-06	2.1760371283e-14	8.9594998087e-14
1177637409153500478	20	A	∑Ò	1.0000000000e-06	1.5321077740e-13	5.5044857561e-13
10602108484363031173	20	A	∑Ò	1.0000000000e-06	1.5321077740e-13	5.5044857561e-13
3859006553607179272	20	A	∑Ò	1.0000000000e-06	5.1070259133e-15	1.6653345369e-14
6694949811003288027	20	A	∑Ò	1.0000000000e-06	5.1070259133e-15	1.6653345369e-14
8010437520335629324	20	D	∑Ò	1.0000000000e-08	5.1070259133e-15	1.6653345369e-14
4515338681211080339	20	A	∑Ò	1.0000000000e-06	1.7319479184e-13	6.5736305288e-13
10236842038882062759	20	A	∑Ò	1.0000000000e-06	1.7319479184e-13	6.5736305288e-13
8996245065853150019	20	A	∑Ò	1.0000000000e-06	1.8596235662e-13	6.0651483835e-13
13433838981762526134	50	B	∑Ò	1.0000000000e-07	1.8407497748e-13	7.7460260428e-13
1880378835788853454	50	A	∑Ò	1.0000000000e-06	1.0472733791e-12	3.9598324619e-12
