MessageCode	周期	安全等级	异源备份	故障概率上限	故障概率(原本)	故障概率(重打包)
5272246808940396554	20	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
10820903866074647332	20	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
11705932661493171956	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
5261445931411742708	100	D	否	1.0000000000e-08	5.6654120306e-07	3.1411250869e-13
6374620848963922463	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
12313685675493271246	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
2802720740935329586	10	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
12443935818913434348	10	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
3587531045283411166	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
643473153119987860	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
13284120991504424918	10	A	否	1.0000000000e-06	5.5443894812e-07	5.5443894812e-07
12654034299875654700	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
7944179585133561344	10	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
17308256193368343596	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
16811061881394398069	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
6151532290212844221	10	B	否	1.0000000000e-07	5.4233654794e-07	2.9412893124e-13
17349078478125344007	10	A	否	1.0000000000e-06	5.5443894812e-07	5.5443894812e-07
4941858139042313758	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
9845783336421380834	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
6253346153538252154	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
1927560474357723674	20	B	否	1.0000000000e-07	5.4233654794e-07	2.9412893124e-13
5961001119850427107	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
14252917408771519298	10	B	否	1.0000000000e-07	5.4233654794e-07	2.9412893124e-13
5427902647304715143	20	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
2527590932796859997	20	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
1267052419081743373	20	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
10164412105335636189	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
5577507952245476461	1	A	否	1.0000000000e-06	5.7864331278e-07	5.7864331278e-07
5250471428333279328	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
8947106996046918860	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
9712589589424581968	10	A	否	1.0000000000e-06	5.5443894812e-07	5.5443894812e-07
8117783671707406005	100	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
1689146473396031361	10	A	否	1.0000000000e-06	5.4233654794e-07	5.4233654794e-07
U 未添加副本:	0.2807760000
U 添加副本:	0.3219800000
MessageCode	周期	安全等级	异源备份	故障概率上限	故障概率(原本)	故障概率(重打包)
6958937394328325012	1	A	否	1.0000000000e-06	7.2305061579e-07	7.2305061579e-07
7411283291098199330	1	A	否	1.0000000000e-06	7.2305061579e-07	7.2305061579e-07
18197685042083596468	5	A	是	1.0000000000e-06	7.2305061579e-07	7.2305061579e-07
15814915523692201012	10	A	否	1.0000000000e-06	7.2305061579e-07	7.2305061579e-07
10296024032611136327	5	B	否	1.0000000000e-07	7.2305061579e-07	5.2280219300e-13
4230032913027956932	20	A	否	1.0000000000e-06	7.2305061579e-07	7.2305061579e-07
11439508600457550971	10	A	否	1.0000000000e-06	7.2305061579e-07	7.2305061579e-07
17211424019345016733	10	D	否	1.0000000000e-08	7.2305061579e-07	5.2280219300e-13
13473694018288818480	20	A	否	1.0000000000e-06	7.2305061579e-07	7.2305061579e-07
