MessageCode	÷‹∆⁄	∞≤»´µ»º∂	“Ï‘¥±∏∑›	π ’œ∏≈¬ …œœﬁ	π ’œ∏≈¬ (‘≠±æ)	π ’œ∏≈¬ (÷ÿ¥Ú∞¸)
1157800958120764625	20	A	∑Ò	1.0000000000e-06	2.2648549702e-14	2.1338486533e-13
10481496808549146667	10	A	∑Ò	1.0000000000e-06	2.2648549702e-14	2.1338486533e-13
7075048339122119822	100	A	∑Ò	1.0000000000e-06	2.3988588893e-12	1.4437784301e-11
9235789862772519371	20	A	∑Ò	1.0000000000e-06	2.2981616610e-14	7.9859452384e-12
551572260083472452	10	A	∑Ò	1.0000000000e-06	2.2870594307e-14	2.1915802506e-13
9990301400724003872	10	C	∑Ò	1.0000000000e-07	2.2870594307e-14	2.1915802506e-13
15680393441647276203	10	A	∑Ò	1.0000000000e-06	2.2870594307e-14	2.1915802506e-13
16530853431776320444	20	A	∑Ò	1.0000000000e-06	2.2870594307e-14	2.1915802506e-13
17975615309911274011	10	A	∑Ò	1.0000000000e-06	1.4133139103e-13	1.4224177391e-12
3706841091534212400	10	B	∑Ò	1.0000000000e-07	2.9420910153e-14	3.4983127506e-13
325269852211735613	20	A	∑Ò	1.0000000000e-06	2.9420910153e-14	2.9110047706e-13
2903136445334486045	20	A	∑Ò	1.0000000000e-06	2.9420910153e-14	2.9110047706e-13
3813316019173596222	100	A	∑Ò	1.0000000000e-06	4.0134562340e-13	8.2457374262e-12
7320282353399262588	10	B	∑Ò	1.0000000000e-07	2.9420910153e-14	2.9110047706e-13
11170900525488657079	10	A	∑Ò	1.0000000000e-06	2.9420910153e-14	2.9110047706e-13
16070779937169116865	10	A	∑Ò	1.0000000000e-06	1.7985612999e-13	1.9076962232e-12
3701172674074812016	10	C	∑Ò	1.0000000000e-07	3.0198066270e-14	4.6185277824e-13
4384020997784617406	10	A	∑Ò	1.0000000000e-06	3.0198066270e-14	4.6185277824e-13
4516600026915307927	20	B	∑Ò	1.0000000000e-07	3.0198066270e-14	4.6185277824e-13
18401433050685232514	20	B	∑Ò	1.0000000000e-07	3.0198066270e-14	4.6185277824e-13
8608483115489864909	100	A	 «	1.0000000000e-06	2.1985634631e-36	3.5778157511e-33
11018730924929351947	100	B	∑Ò	1.0000000000e-07	4.0134562340e-13	8.2457374262e-12
1380090292214226163	20	A	∑Ò	1.0000000000e-06	2.0727863870e-13	8.8173912616e-13
10630223277527397013	10	A	∑Ò	1.0000000000e-06	2.0727863870e-13	8.8173912616e-13
17715743202248958131	20	A	 «	1.0000000000e-06	1.9592443397e-38	5.3446614605e-36
9665734161180598986	10	A	∑Ò	1.0000000000e-06	2.0949908475e-13	5.3442805736e-12
13875328426015257072	20	C	∑Ò	1.0000000000e-07	3.8413716652e-14	4.1833203568e-13
16844969563477731365	20	A	∑Ò	1.0000000000e-06	2.1094237468e-13	2.1090684754e-11
9775550541094542157	20	B	∑Ò	1.0000000000e-07	5.1625370645e-14	4.2077452633e-13
8961731741043823001	20	A	∑Ò	1.0000000000e-06	3.0386804184e-13	1.8769430454e-12
11765157611390787099	20	A	∑Ò	1.0000000000e-06	3.1274982604e-13	2.3294699503e-12
164699193862054166	100	B	∑Ò	1.0000000000e-07	4.1477932200e-13	3.7738701053e-12
7597013053634498443	100	A	 «	1.0000000000e-06	1.0716782456e-35	5.9139374511e-33
12416232745326709135	50	A	∑Ò	1.0000000000e-06	1.9925172623e-12	1.6792234270e-11
643308160758830151	100	A	∑Ò	1.0000000000e-06	2.0571322423e-12	1.4637513424e-11
