MessageCode	÷‹∆⁄	∞≤»´µ»º∂	“Ï‘¥±∏∑›	π ’œ∏≈¬ …œœﬁ	π ’œ∏≈¬ (‘≠±æ)	π ’œ∏≈¬ (÷ÿ¥Ú∞¸)
10616425367556743251	20	A	∑Ò	1.0000000000e-06	3.7858605140e-14	9.9787955676e-12
8980410224220698041	1	C	∑Ò	1.0000000000e-07	7.7783391350e-07	2.8687196350e-08
12871675162351614738	20	A	∑Ò	1.0000000000e-06	2.7533531011e-14	5.0786042038e-12
16461972511759956326	10	C	∑Ò	1.0000000000e-07	2.3425705820e-14	7.0040639955e-12
11410982128470706804	100	D	∑Ò	1.0000000000e-08	8.8040685853e-14	4.7093440259e-12
12311513664838294472	20	A	∑Ò	1.0000000000e-06	1.9773072069e-13	3.2533975514e-12
9177234384819451116	1	A	∑Ò	1.0000000000e-06	5.7426406229e-05	7.6789808555e-08
13315398377266256540	20	A	∑Ò	1.0000000000e-06	3.2218672175e-13	5.0892623449e-12
16294292081562272868	10	B	∑Ò	1.0000000000e-07	1.6986412277e-14	5.7609290853e-17
6851809783037795853	1	C	∑Ò	1.0000000000e-07	7.8230507973e-05	1.8737428008e-08
15709500128519393364	1	A	∑Ò	1.0000000000e-06	1.4879090021e-04	1.4937832081e-08
10937006102049843438	20	A	∑Ò	1.0000000000e-06	3.2052138721e-13	4.8966386501e-12
13181999849960663066	100	A	∑Ò	1.0000000000e-06	8.8040685853e-14	4.7093440259e-12
6948269733630248639	1	A	∑Ò	1.0000000000e-06	1.0039479605e-04	3.5456310131e-08
15419909247054401989	1	A	∑Ò	1.0000000000e-06	1.2391601126e-04	6.0850342172e-11
14582777732628442222	20	C	∑Ò	1.0000000000e-07	3.7858605140e-14	9.9787955676e-12
4185001173711037650	20	A	 «	1.0000000000e-06	1.9519991816e-41	1.0043267331e-34
15831972836344915550	20	A	 «	1.0000000000e-06	1.6167916639e-38	3.1481813773e-35
12751258109919142703	2	A	∑Ò	1.0000000000e-06	1.4593115316e-07	9.6212039889e-09
8671205783924299389	10	A	∑Ò	1.0000000000e-06	2.2226664953e-13	3.4588609754e-10
16049262556127783614	10	C	∑Ò	1.0000000000e-07	3.2751579226e-14	1.6847634399e-12
13799932486567822117	10	A	∑Ò	1.0000000000e-06	2.2226664953e-13	3.4588609754e-10
17752977989039099017	5	A	∑Ò	1.0000000000e-06	5.0437432009e-13	1.4488556033e-07
6654741165359994416	2	A	∑Ò	1.0000000000e-06	1.7210886516e-07	1.5266538932e-08
17631990671037516625	20	A	∑Ò	1.0000000000e-06	2.4491519923e-13	5.0769388693e-12
16095312281214150521	5	A	∑Ò	1.0000000000e-06	2.3747670497e-13	1.3362924345e-07
14156216182189827348	10	A	∑Ò	1.0000000000e-06	3.2751579226e-14	1.6847634399e-12
11401083803255129489	10	A	∑Ò	1.0000000000e-06	1.5154544286e-13	5.3038684555e-12
15591835688267235482	10	A	∑Ò	1.0000000000e-06	2.5202062659e-14	3.7691250121e-10
4388065532729020774	5	C	∑Ò	1.0000000000e-07	3.9535041907e-13	2.6450703511e-14
931642733007352509	20	A	∑Ò	1.0000000000e-06	1.9773072069e-13	3.2533975514e-12
2345342200794240485	20	B	∑Ò	1.0000000000e-07	2.5202062659e-14	3.7691250121e-10
7323562289370036539	10	A	∑Ò	1.0000000000e-06	3.9535041907e-13	1.5662924913e-07
13932630382357606081	10	B	∑Ò	1.0000000000e-07	5.0437432009e-13	5.7609290853e-17
14372190840363509446	20	B	∑Ò	1.0000000000e-07	1.6209256160e-14	3.1380453791e-12
14737094977514752820	10	A	∑Ò	1.0000000000e-06	1.6209256160e-14	3.1380453791e-12
591572388641577372	20	A	∑Ò	1.0000000000e-06	2.2781776465e-13	1.2255751969e-12
14116590813012507763	20	A	∑Ò	1.0000000000e-06	1.6986412277e-14	3.9761927084e-10
17040093311689087803	20	B	∑Ò	1.0000000000e-07	1.6986412277e-14	3.9761927084e-10
14486042891581304471	20	A	∑Ò	1.0000000000e-06	2.3425705820e-14	7.0040639955e-12
7430485267465910012	20	A	∑Ò	1.0000000000e-06	3.5527136788e-15	1.6287193816e-11
15395542859021324072	10	A	∑Ò	1.0000000000e-06	4.4408920985e-15	5.0731829848e-10
9293666002847742371	20	A	∑Ò	1.0000000000e-06	3.5527136788e-15	1.6287193816e-11
11730056773624529289	10	A	∑Ò	1.0000000000e-06	3.5527136788e-15	1.6287193816e-11
12613874399218214754	10	A	∑Ò	1.0000000000e-06	1.5154544286e-13	5.3038684555e-12
12131082354514858779	10	C	 «	1.0000000000e-07	3.2037186141e-42	1.3935724815e-34
16537921476507147167	10	D	∑Ò	1.0000000000e-08	3.5527136788e-15	1.6287193816e-11
15962964598011858268	10	A	∑Ò	1.0000000000e-06	1.9773072069e-13	3.2533975514e-12
17458002546430500598	20	B	∑Ò	1.0000000000e-07	3.5527136788e-15	1.6287193816e-11
12785774599946810210	10	C	∑Ò	1.0000000000e-07	2.3203661215e-14	2.9466562523e-10
3432756315436476974	20	A	∑Ò	1.0000000000e-06	2.2781776465e-13	1.2255751969e-12
1020135231273679867	20	D	 «	1.0000000000e-08	3.9000982650e-43	1.4730668072e-34
2425105196329746585	20	A	∑Ò	1.0000000000e-06	4.4408920985e-15	5.0731829848e-10
16436877968642851941	20	A	∑Ò	1.0000000000e-06	2.7533531011e-14	5.0786042038e-12
9238017839826959738	10	D	∑Ò	1.0000000000e-08	4.9960036108e-15	1.2203016375e-11
18360049443388111672	10	A	∑Ò	1.0000000000e-06	2.7533531011e-14	5.0786042038e-12
2144805737957567068	20	A	∑Ò	1.0000000000e-06	4.9960036108e-15	1.2203016375e-11
9111415165030820882	10	A	∑Ò	1.0000000000e-06	4.9960036108e-15	1.2203016375e-11
11868745812518752603	20	A	∑Ò	1.0000000000e-06	4.9960036108e-15	1.2203016375e-11
1655578828897025192	20	A	∑Ò	1.0000000000e-06	3.0175861809e-13	1.3072729566e-08
192582409713625097	10	A	∑Ò	1.0000000000e-06	1.5154544286e-13	5.3038684555e-12
5882584964954377038	10	A	∑Ò	1.0000000000e-06	1.5154544286e-13	5.3038684555e-12
13917580699062868544	20	B	∑Ò	1.0000000000e-07	3.2751579226e-14	1.6847634399e-12
7724694531840542284	10	A	∑Ò	1.0000000000e-06	1.9773072069e-13	3.2533975514e-12
9932210637837689999	20	A	∑Ò	1.0000000000e-06	1.9773072069e-13	3.2533975514e-12
15576143791047415717	10	A	∑Ò	1.0000000000e-06	2.2781776465e-13	1.2255751969e-12
11466122999314578785	20	A	∑Ò	1.0000000000e-06	3.7858605140e-14	9.9787955676e-12
13267317806167340040	10	A	∑Ò	1.0000000000e-06	3.7858605140e-14	9.9787955676e-12
12160114768624044390	10	A	∑Ò	1.0000000000e-06	2.3214763445e-13	1.9642065752e-12
9507790901075439659	20	A	∑Ò	1.0000000000e-06	3.2218672175e-13	5.0892623449e-12
2570847532086194214	10	A	∑Ò	1.0000000000e-06	2.4003021792e-13	5.8615334808e-12
1802270169581912038	20	A	∑Ò	1.0000000000e-06	2.8976820943e-13	5.0596193901e-12
4986371218052782841	20	A	∑Ò	1.0000000000e-06	2.8976820943e-13	5.0596193901e-12
8438098663585556352	20	A	∑Ò	1.0000000000e-06	2.8976820943e-13	5.0596193901e-12
18340242239003621761	20	A	∑Ò	1.0000000000e-06	2.8976820943e-13	5.0596193901e-12
3915993170542091138	20	A	∑Ò	1.0000000000e-06	2.8266278207e-13	1.3617773575e-11
1203173179935410295	20	A	∑Ò	1.0000000000e-06	3.0275781882e-13	4.7944981318e-12
