[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	0.466014	0.489774	38	1
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	always_on_tmr	0.461754	0.461754	38	1
E5S150_5ecu_150signals_006	E5S150_5ecu_150signals	on_demand_tmr	0.543324	0.555204	38	1
E5S150_5ecu_150signals_006	E5S150_5ecu_150signals	always_on_tmr	0.54192	0.54192	38	1
E5S150_5ecu_150signals_008	E5S150_5ecu_150signals	on_demand_tmr	0.425068	0.43715	38	1
E5S150_5ecu_150signals_008	E5S150_5ecu_150signals	always_on_tmr	0.426331	0.426331	38	1

[foundation_summary]
dataset	config	scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable

[cluster_summary]
dataset	config	scheme	code	route_count	p_function_fault	p_threshold
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	169003188	2	3	2	3	2	10	10	2	1	2.65856e-15	2.77778e-14	1.6692
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	514779683	0	3	1	2	0	10	10	2	1	2.76576e-15	2.77778e-14	0.6734
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	514779683	1	3	2	4	0	10	10	2	1	3.73056e-15	2.77778e-14	2.2948
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	514779683	2	3	2	1	0	10	10	2	1	1.98816e-15	2.77778e-14	1.8886
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	525421466	0	3	0	0	2	10	10	2	1	2.65856e-15	2.77778e-14	2.398
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1222695887	0	3	0	3	1	100	100	2	1	1.73056e-15	2.77778e-13	4.464
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1572477444	0	3	0	2	1	20	20	2	1	1.64736e-15	5.55556e-14	2.739
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1763899469	0	3	0	4	2	100	100	2	1	1.64736e-15	2.77778e-13	3.6934
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1977892870	0	3	0	4	2	20	20	2	1	4.28736e-15	5.55556e-14	1.0346
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	2017661846	0	3	0	2	1	50	50	2	1	2.55936e-15	1.38889e-13	3.4854
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	2036490979	0	3	0	3	0	10	10	2	1	2.22976e-15	2.77778e-14	0.8122
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	2084231108	0	3	0	2	0	1000	1000	2	1	1.73056e-15	2.77778e-12	4.676
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	668560432	0	2	0	1	4	10	10	2	1	3.74136e-15	2.77778e-13	1.7954
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	754582712	0	2	0	2	0	1000	1000	2	1	1.73056e-15	2.77778e-11	4.676
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	995057525	0	2	0	1	3	1000	1000	2	1	1.56816e-15	2.77778e-11	4.8994
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1905133147	0	2	0	4	1	20	20	2	1	2.93216e-15	5.55556e-13	2.7866
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1994592859	0	2	0	0	1	20	20	2	1	3.05536e-15	5.55556e-13	2.8362
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	2149844226	0	2	0	1	0	20	20	2	1	2.26176e-15	5.55556e-13	3.018
