# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E5S250_5ecu_250signals_001	foundation	843270	76	1	2	0	87	39	10	10	0	0.053600000000000002	8	5	10	10	C	2	0	1	3
E5S250_5ecu_250signals_001	foundation	843270	76	2	2	1	127	47	10	10	0	0.053600000000000002	8	5	10	10	C	2	0	1	3
E5S250_5ecu_250signals_001	foundation	1663436	143	1	1	0	102	80	100	100	0	0.045600000000000002	4	3	100	100	A	0	0	4	1
E5S250_5ecu_250signals_001	foundation	6386279	81	1	1	0	23	8	5	5	0	0.0436	3	2	5	5	A	0	0	0	2
E5S250_5ecu_250signals_001	foundation	12084622	51	1	1	0	55	28	10	10	0	0.061600000000000002	12	5	20	20	A	0	0	4	2
E5S250_5ecu_250signals_001	foundation	63403928	166	1	1	0	73	75	100	100	0	0.045600000000000002	4	2	100	100	A	0	0	0	1
E5S250_5ecu_250signals_001	foundation	78348558	180	1	1	0	80	91	1000	1000	0	0.045600000000000002	4	1	1000	1000	A	0	0	4	1
E5S250_5ecu_250signals_001	foundation	84749812	240	1	2	0	66	32	10	10	0	0.069599999999999995	16	8	10	10	D	3	0	0	2
E5S250_5ecu_250signals_001	foundation	84749812	240	2	2	1	110	44	10	10	0	0.069599999999999995	16	7	10	10	D	3	0	0	2
E5S250_5ecu_250signals_001	foundation	107756897	187	1	1	0	66	32	10	10	0	0.069599999999999995	16	8	10	10	A	0	0	0	2
E5S250_5ecu_250signals_001	foundation	159105812	122	1	2	0	50	24	10	10	0	0.053600000000000002	8	4	20	20	C	2	0	0	3
E5S250_5ecu_250signals_001	foundation	159105812	122	2	2	1	89	55	20	20	0	0.069599999999999995	16	6	20	20	C	2	0	0	3
E5S250_5ecu_250signals_001	foundation	186368379	139	1	1	0	99	42	10	10	0	0.069599999999999995	16	7	20	20	A	0	0	4	1
E5S250_5ecu_250signals_001	foundation	193776040	85	1	1	0	15	50	20	20	0	0.045600000000000002	4	2	20	20	A	0	0	0	1
E5S250_5ecu_250signals_001	foundation	194147073	163	1	2	0	1	49	20	20	0	0.047600000000000003	5	4	20	20	C	2	0	3	2
E5S250_5ecu_250signals_001	foundation	194147073	163	2	2	1	41	52	20	20	0	0.049600000000000005	6	4	20	20	C	2	0	3	2
E5S250_5ecu_250signals_001	foundation	261031622	47	1	1	0	26	9	5	5	0	0.0436	3	2	5	5	A	0	0	2	1
E5S250_5ecu_250signals_001	foundation	285314049	199	1	1	0	98	41	10	10	0	0.078600000000000003	20	7	10	10	A	0	0	3	0
E5S250_5ecu_250signals_001	foundation	299970492	106	1	1	0	86	78	100	100	0	0.047600000000000003	5	3	100	100	A	0	0	1	3
E5S250_5ecu_250signals_001	foundation	302799771	137	1	2	0	94	92	1000	1000	0	0.041599999999999998	2	1	1000	1000	C	2	0	0	4
E5S250_5ecu_250signals_001	foundation	302799771	137	2	2	1	109	94	1000	1000	0	0.0436	3	2	1000	1000	C	2	0	0	4
E5S250_5ecu_250signals_001	foundation	303064046	232	1	1	0	74	34	10	10	0	0.053600000000000002	8	7	20	20	A	0	0	2	1
E5S250_5ecu_250signals_001	foundation	312023002	246	1	2	0	18	14	10	10	0	0.061600000000000002	12	6	10	10	D	3	0	1	2
E5S250_5ecu_250signals_001	foundation	312023002	246	2	2	1	19	15	10	10	0	0.047600000000000003	5	3	10	10	D	3	0	1	2
E5S250_5ecu_250signals_001	foundation	319065274	59	1	1	0	7	13	10	10	0	0.061600000000000002	12	5	10	10	A	0	0	3	1
E5S250_5ecu_250signals_001	foundation	323360090	100	1	1	0	59	29	10	10	0	0.061600000000000002	12	6	20	20	A	0	0	4	2
E5S250_5ecu_250signals_001	foundation	391386279	138	1	1	0	22	58	50	50	0	0.049600000000000005	6	3	100	100	A	0	0	4	2
E5S250_5ecu_250signals_001	foundation	407052923	115	1	2	0	4	0	1	1	0	0.069599999999999995	16	7	2	2	B	1	0	2	1
E5S250_5ecu_250signals_001	foundation	407052923	115	2	2	1	32	3	1	1	0	0.061600000000000002	12	5	2	2	B	1	0	2	1
E5S250_5ecu_250signals_001	foundation	426572562	39	1	2	0	15	50	20	20	0	0.045600000000000002	4	2	20	20	B	1	0	0	1
E5S250_5ecu_250signals_001	foundation	426572562	39	2	2	1	37	23	10	10	0	0.047600000000000003	5	3	20	20	B	1	0	0	1
E5S250_5ecu_250signals_001	foundation	433958656	208	1	1	0	18	14	10	10	0	0.061600000000000002	12	6	20	20	A	0	0	1	2
E5S250_5ecu_250signals_001	foundation	563018431	201	1	1	0	21	1	1	1	0	0.045600000000000002	4	2	1	1	A	0	0	1	2
E5S250_5ecu_250signals_001	foundation	576306422	25	1	1	0	51	25	10	10	0	0.061600000000000002	12	6	20	20	A	0	0	2	4
E5S250_5ecu_250signals_001	foundation	587694715	113	1	1	0	37	23	10	10	0	0.047600000000000003	5	3	10	10	A	0	0	0	1
E5S250_5ecu_250signals_001	foundation	597546963	0	1	1	0	18	14	10	10	0	0.061600000000000002	12	6	20	20	A	0	0	1	2
E5S250_5ecu_250signals_001	foundation	598437640	61	1	1	0	90	63	50	50	0	0.045600000000000002	4	3	100	100	A	0	0	1	3
E5S250_5ecu_250signals_001	foundation	624226774	92	1	1	0	60	30	10	10	0	0.08660000000000001	24	4	20	20	A	0	0	3	1
E5S250_5ecu_250signals_001	foundation	632892930	147	1	1	0	35	21	10	10	0	0.0516	7	4	10	10	A	0	0	2	4
E5S250_5ecu_250signals_001	foundation	666248072	194	1	1	0	49	73	100	100	0	0.0516	7	4	100	100	A	0	0	4	0
E5S250_5ecu_250signals_001	foundation	674678242	68	1	1	0	75	62	50	50	0	0.0436	3	2	50	50	A	0	0	3	2
E5S250_5ecu_250signals_001	foundation	680562299	175	1	2	0	0	48	20	20	0	0.061600000000000002	12	4	20	20	B	1	0	2	3
E5S250_5ecu_250signals_001	foundation	680562299	175	2	2	1	118	45	10	10	0	0.078600000000000003	20	6	20	20	B	1	0	2	3
E5S250_5ecu_250signals_001	foundation	685369577	36	1	2	0	34	20	10	10	0	0.0516	7	4	10	10	B	1	0	2	4
E5S250_5ecu_250signals_001	foundation	685369577	36	2	2	1	51	25	10	10	0	0.061600000000000002	12	6	10	10	B	1	0	2	4
E5S250_5ecu_250signals_001	foundation	742707276	72	1	2	0	11	88	1000	1000	0	0.039600000000000003	1	1	1000	1000	D	3	0	2	0
E5S250_5ecu_250signals_001	foundation	742707276	72	2	2	1	14	89	1000	1000	0	0.039600000000000003	1	1	1000	1000	D	3	0	2	0
E5S250_5ecu_250signals_001	foundation	757788468	178	1	2	0	5	12	10	10	0	0.0436	3	2	10	10	B	1	0	1	4
E5S250_5ecu_250signals_001	foundation	757788468	178	2	2	1	69	33	10	10	0	0.061600000000000002	12	7	10	10	B	1	0	1	4
E5S250_5ecu_250signals_001	foundation	781299895	167	1	1	0	89	55	20	20	0	0.069599999999999995	16	6	20	20	A	0	0	0	3
