[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	algorithm2	0.523506	0.523506	62	1

[cluster_summary]
dataset	config	code	route_count	p_function_fault	p_threshold
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	627310569	3	5.21805e-15	1
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	904285308	3	4.88498e-15	1

[route_summary]
dataset	config	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	451908486	0	3	0	2	1	2	2	2	1	1.56816e-15	5.55556e-15	0.3388
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	574077934	0	3	0	2	4	10	10	2	1	2.56256e-15	2.77778e-14	2.5232
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	928090276	0	3	0	1	3	20	20	2	1	1.56816e-15	5.55556e-14	1.9012
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	963314774	0	3	0	3	2	100	100	2	1	1.56816e-15	2.77778e-13	4.4064
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1205382420	0	3	0	1	2	1	1	2	1	1.64736e-15	2.77778e-15	0.1012
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1727322922	0	3	0	1	2	10	10	2	1	1.56816e-15	2.77778e-14	0.7168
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2054999896	0	3	0	0	2	100	100	2	1	1.56816e-15	2.77778e-13	3.3292
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2618470185	0	3	0	4	3	20	20	2	1	1.64736e-15	5.55556e-14	2.844
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3855444880	0	3	0	4	2	20	20	2	1	1.73056e-15	5.55556e-14	1.2892
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4092937341	0	3	0	3	2	1000	1000	2	1	1.56816e-15	2.77778e-12	4.9648
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4209254968	0	3	0	1	3	10	10	2	1	1.56816e-15	2.77778e-14	1.9012
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4261097810	0	3	0	2	0	5	5	2	1	1.56816e-15	1.38889e-14	0.596
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	43910001	0	2	0	4	2	10	10	2	1	1.73056e-15	2.77778e-13	1.2892
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	83144869	0	2	0	0	4	100	100	2	1	1.56816e-15	2.77778e-12	4.5292
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	301398390	0	2	0	3	2	10	10	2	1	1.56816e-15	2.77778e-13	2.02
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	495130845	0	2	0	2	0	20	20	2	1	1.64736e-15	5.55556e-13	2.8044
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	606666641	0	2	0	1	2	20	20	2	1	1.56816e-15	5.55556e-13	2.7252
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	643637346	0	2	0	4	0	10	10	2	1	1.64736e-15	2.77778e-13	0.9664
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	918728477	0	2	0	1	0	1000	1000	2	1	1.56816e-15	2.77778e-11	4.7668
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1146288808	0	2	0	2	1	100	100	2	1	1.56816e-15	2.77778e-12	3.7312
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1444972920	0	2	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	2.9708
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1493603441	0	2	0	2	3	10	10	2	1	1.73056e-15	2.77778e-13	0.8
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1735361969	0	2	0	0	4	10	10	2	1	1.73056e-15	2.77778e-13	2.6064
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	1771568086	0	2	0	4	0	20	20	2	1	1.64736e-15	5.55556e-13	0.9664
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2061692099	0	2	0	3	4	10	10	2	1	1.64736e-15	2.77778e-13	2.42
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2105150962	0	2	0	0	4	100	100	2	1	1.56816e-15	2.77778e-12	4.5292
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2386479733	0	2	0	1	0	10	10	2	1	1.64736e-15	2.77778e-13	1.4932
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2509435700	0	2	0	4	2	20	20	2	1	1.73056e-15	5.55556e-13	1.2892
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2965207900	0	2	0	0	3	10	10	2	1	1.73056e-15	2.77778e-13	1.7408
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	2981702680	0	2	0	4	1	10	10	2	1	1.56816e-15	2.77778e-13	1.7804
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3216041206	0	2	0	2	4	20	20	2	1	2.56256e-15	5.55556e-13	2.5232
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3274264934	0	2	0	0	1	100	100	2	1	1.56816e-15	2.77778e-12	3.9292
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3350261578	0	2	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	2.9708
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3669929619	0	2	0	4	2	10	10	2	1	1.73056e-15	2.77778e-13	1.2892
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	3719879691	0	2	0	0	3	20	20	2	1	1.73056e-15	5.55556e-13	1.7408
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	4102731467	0	2	0	3	1	10	10	2	1	1.64736e-15	2.77778e-13	1.412
