# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 对于 foundation / baseline1，WCRT 为确定性原始 WCRT；对于 baseline2，WCRT 为概率 WCRT 的统计值。
# ASIL 分组里的 wcrt_ratio 表示 WCRT/周期；signal_detail 里的 WCRT 列统一是原始 WCRT（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202648_205012\retry\msg_M1_3ecu_75signals_tab.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
foundation	0.27076800000000001	0.27076800000000001	75	19
baseline1	0.29161199999999993	0.29161199999999993	75	54
baseline2	0.1492840100722479	0.14928399999999997	75	0

# 按 ASIL 分组统计的 WCRT/周期 的 P95 结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	56	0.002737142857142856	0.019800000000000002
foundation	B	8	0.0032959999999999995	0.0083199999999999993
foundation	C	7	0.011757142857142855	0.041599999999999998
foundation	D	4	0.018769999999999998	0.041599999999999998
baseline1	A	56	0.0028292857142857134	0.019800000000000002
baseline1	B	8	0.0034784999999999998	0.0083199999999999993
baseline1	C	7	0.011971428571428572	0.041599999999999998
baseline1	D	4	0.019019999999999999	0.041599999999999998
baseline2	A	56	0.02576664285714287	0.078080000000000011
baseline2	B	8	0.032744500000000003	0.07016
baseline2	C	7	0.047748571428571432	0.095200000000000007
baseline2	D	4	0.068890000000000007	0.095200000000000007

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	56	1.1636999932049272e-08	1.3391999910327171e-08
foundation	B	8	1.3615970240425638e-16	1.5765062201643992e-16
foundation	C	7	1.3181486247625815e-16	1.7211398174152037e-16
foundation	D	4	1.3468712242130343e-16	1.7211398174152037e-16
baseline1	A	56	4.4241429272116288e-09	1.2311999924207329e-08
baseline1	B	8	1.4455049223943016e-16	2.0943878096900196e-16
baseline1	C	7	1.4801115930283851e-16	2.0943878096900196e-16
baseline1	D	4	1.4328932225628118e-16	1.9410062129579012e-16
baseline2	A	56	6.7109016756359906e-15	2.5091040356528538e-14
baseline2	B	8	0	0
baseline2	C	7	1.5860418457763725e-17	1.1102230246251565e-16
baseline2	D	4	1.5668545760454156e-22	6.2674183041816625e-22

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	56	0
foundation	B	8	8
foundation	C	7	7
foundation	D	4	4
baseline1	A	56	35
baseline1	B	8	8
baseline1	C	7	7
baseline1	D	4	4
baseline2	A	56	0
baseline2	B	8	0
baseline2	C	7	0
baseline2	D	4	0

# 每个原始信号的明细指标。WCRT 列统一为原始 WCRT（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms
foundation	1485650330	D	3	1	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777776e-15	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	4251812955	D	3	0	2	0	1	2	1	1.1431886277770274e-16	5.5555555555555552e-15	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
foundation	290648546	D	3	0	5	1	0	2	1	1.7211398174152037e-16	1.388888888888889e-14	0.047600000000000003	1.7211398174152037e-16	0.047600000000000003
foundation	3991608196	D	3	0	10	2	0	2	1	1.2615782258299533e-16	2.7777777777777781e-14	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	3056872340	C	2	0	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777774e-14	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	1516648366	C	2	0	2	1	0	2	1	1.1431886277770274e-16	5.5555555555555549e-14	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
foundation	2888072604	C	2	1	5	0	2	2	1	1.2009254268354555e-16	1.388888888888889e-13	0.039600000000000003	1.2009254268354555e-16	0.039600000000000003
foundation	3362915061	C	2	1	10	2	0	2	1	1.2615782258299533e-16	2.7777777777777779e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	3460769802	C	2	1	10	1	0	2	1	1.7211398174152037e-16	2.7777777777777779e-13	0.047600000000000003	1.7211398174152037e-16	0.047600000000000003
foundation	950242904	C	2	0	20	2	1	2	1	1.3222310247916987e-16	5.5555555555555559e-13	0.041599999999999998	1.3222310247916987e-16	0.041599999999999998
foundation	2551445896	C	2	0	20	0	1	2	1	1.3163990248587786e-16	5.5555555555555559e-13	0.039600000000000003	1.3163990248587786e-16	0.039600000000000003
foundation	1480296070	B	1	1	5	2	1	2	1	1.5041894214804202e-16	1.388888888888889e-13	0.041599999999999998	1.5041894214804202e-16	0.041599999999999998
foundation	358619778	B	1	0	10	1	2	2	1	1.2615782258299533e-16	2.7777777777777779e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	2974949657	B	1	0	10	2	1	2	1	1.3222310247916987e-16	2.7777777777777779e-13	0.041599999999999998	1.3222310247916987e-16	0.041599999999999998
foundation	3739933945	B	1	0	10	2	1	2	1	1.5765062201643992e-16	2.7777777777777779e-13	0.0436	1.5765062201643992e-16	0.0436
foundation	805035513	B	1	0	20	1	2	2	1	1.4435366226169321e-16	5.5555555555555559e-13	0.041599999999999998	1.4435366226169321e-16	0.041599999999999998
foundation	3459441748	B	1	0	20	2	0	2	1	1.2615782258299533e-16	5.5555555555555559e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	1204618577	B	1	0	50	1	0	2	1	1.2009254268354555e-16	1.3888888888888889e-12	0.039600000000000003	1.2009254268354555e-16	0.039600000000000003
foundation	2897250769	B	1	0	100	1	2	2	1	1.3222310247916987e-16	2.7777777777777777e-12	0.041599999999999998	1.3222310247916987e-16	0.041599999999999998
foundation	3047524809	A	0	0	2	1	0	1	0	1.069199994284057e-08	1	0.039600000000000003	1.069199994284057e-08	0.039600000000000003
foundation	869446078	A	0	0	5	1	2	1	0	1.1231999936921088e-08	1	0.041599999999999998	1.1231999936921088e-08	0.041599999999999998
