# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 对于 foundation / baseline1，WCRT 为确定性原始 WCRT；对于 baseline2，WCRT 为概率 WCRT 的统计值。
# ASIL 分组里的 wcrt_ratio 表示 WCRT/周期；signal_detail 里的 WCRT 列统一是原始 WCRT（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202648_205012\retry\msg_M3_4ecu_135signals_tab.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
foundation	0.48301600000000006	0.48301600000000006	135	33
baseline1	0.5030119999999999	0.5030119999999999	135	93
baseline2	0.26809602532399629	0.26809599999999995	135	0

# 按 ASIL 分组统计的 WCRT/周期 的 P95 结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	102	0.0027209019607843136	0.019800000000000002
foundation	B	14	0.0028685714285714287	0.0083199999999999993
foundation	C	13	0.0084784615384615371	0.041599999999999998
foundation	D	6	0.025646666666666665	0.041599999999999998
baseline1	A	102	0.0029318823529411787	0.019800000000000002
baseline1	B	14	0.0036114285714285714	0.0083199999999999993
baseline1	C	13	0.0087246153846153845	0.041599999999999998
baseline1	D	6	0.025746666666666668	0.041599999999999998
baseline2	A	102	0.041667215686274454	0.111
baseline2	B	14	0.047136285714285721	0.086000000000000007
baseline2	C	13	0.074129230769230781	0.18240000000000001
baseline2	D	6	0.11370666666666668	0.18240000000000001

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	102	1.2296117570759849e-08	1.4471999895280609e-08
foundation	B	14	1.4223331371686211e-16	1.7817926161382334e-16
foundation	C	13	1.3020433327167627e-16	1.7817926161382334e-16
foundation	D	6	1.2548714258815914e-16	1.5158534213368129e-16
baseline1	A	102	5.1914118397295846e-09	1.4471999895280609e-08
baseline1	B	14	1.9442554690744176e-16	2.7662341939919932e-16
baseline1	C	13	1.4845400674622572e-16	2.7662341939919932e-16
baseline1	D	6	1.3097894248782832e-16	1.6517390187718504e-16
baseline2	A	102	1.3726492709360637e-14	5.6732396558345499e-14
baseline2	B	14	4.7580986769649563e-17	1.1102230246251565e-16
baseline2	C	13	2.8382584683777955e-15	3.6453270879061277e-14
baseline2	D	6	1.2151090404480009e-14	3.6453270879061277e-14

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	102	0
foundation	B	14	14
foundation	C	13	13
foundation	D	6	6
baseline1	A	102	60
baseline1	B	14	14
baseline1	C	13	13
baseline1	D	6	6
baseline2	A	102	0
baseline2	B	14	0
baseline2	C	13	0
baseline2	D	6	0

# 每个原始信号的明细指标。WCRT 列统一为原始 WCRT（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms
foundation	145291079	D	3	0	1	1	3	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
foundation	1485650330	D	3	1	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777776e-15	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	4063005593	D	3	0	1	2	0	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
foundation	4251812955	D	3	0	2	0	1	2	1	1.1431886277770274e-16	5.5555555555555552e-15	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
foundation	290648546	D	3	0	5	1	0	2	1	1.5158534213368129e-16	1.388888888888889e-14	0.045600000000000002	1.5158534213368129e-16	0.045600000000000002
foundation	3991608196	D	3	0	10	2	0	2	1	1.3222310247916987e-16	2.7777777777777781e-14	0.041599999999999998	1.3222310247916987e-16	0.041599999999999998
foundation	3056872340	C	2	0	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777774e-14	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	1516648366	C	2	0	2	1	0	2	1	1.1431886277770274e-16	5.5555555555555549e-14	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
foundation	1035949382	C	2	0	5	2	1	2	1	1.2615782258299533e-16	1.388888888888889e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	2888072604	C	2	1	5	0	2	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
foundation	3267995113	C	2	0	5	2	3	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
foundation	32603144	C	2	0	10	0	2	2	1	1.1431886277770274e-16	2.7777777777777779e-13	0.039600000000000003	1.1431886277770274e-16	0.039600000000000003
foundation	1673499897	C	2	0	10	0	1	2	1	1.3222310247916987e-16	2.7777777777777779e-13	0.041599999999999998	1.3222310247916987e-16	0.041599999999999998
foundation	3362915061	C	2	1	10	2	0	2	1	1.2586622258627062e-16	2.7777777777777779e-13	0.039600000000000003	1.2586622258627062e-16	0.039600000000000003
foundation	3460769802	C	2	1	10	1	0	2	1	1.5648422203111551e-16	2.7777777777777779e-13	0.041599999999999998	1.5648422203111551e-16	0.041599999999999998
foundation	950242904	C	2	0	20	2	1	2	1	1.7817926161382334e-16	5.5555555555555559e-13	0.045600000000000002	1.7817926161382334e-16	0.045600000000000002
foundation	1592905069	C	2	0	20	2	0	2	1	1.3222310247916987e-16	5.5555555555555559e-13	0.041599999999999998	1.3222310247916987e-16	0.041599999999999998
foundation	2551445896	C	2	0	20	0	1	2	1	1.3222310247916987e-16	5.5555555555555559e-13	0.041599999999999998	1.3222310247916987e-16	0.041599999999999998
foundation	2881154222	C	2	0	20	1	3	2	1	1.2586622258627062e-16	5.5555555555555559e-13	0.039600000000000003	1.2586622258627062e-16	0.039600000000000003
foundation	1480296070	B	1	1	5	2	1	2	1	1.2615782258299533e-16	1.388888888888889e-13	0.041599999999999998	1.2615782258299533e-16	0.041599999999999998
foundation	358619778	B	1	0	10	1	2	2	1	1.3828838237206917e-16	2.7777777777777779e-13	0.041599999999999998	1.3828838237206917e-16	0.041599999999999998
