base_bandwidth_utilization	0.58973159999999891
expected_bandwidth_utilization	0.58973251017159523

rounded_expected_bandwidth_utilization	1.1794631999999976

bandwidth_utilization_p99	0.5897315999999988

[frame_summary]
frame_id	priority	period_ms	deadline_ms	trans_time_ms	expected_retry_count	expected_tx_count	rounded_expected_retry_count	rounded_expected_tx_count	retry_p99	tx_count_p99	expected_wcrt_ms	p_timeout	wcrt_p95_ms
0	11	10	10	0.039600000000000003	5.2080003208128114e-07	1.000000520800032	1	2	0	1	0.520800032081282	0	0.52080000000000004
1	66	20	20	0.039600000000000003	3.4216002176137747e-06	1.0000034216002176	1	2	0	1	3.4216002176137752	0	3.4216000000000015
4	147	1000	1000	0.039600000000000003	7.7896004954185975e-06	1.0000077896004955	1	2	0	1	7.7896004954185978	0	7.7896000000000063
5	12	10	10	0.041599999999999998	5.6240003464384226e-07	1.0000005624000345	1	2	0	1	0.56240003464384236	0	0.56240000000000012
7	108	100	100	0.039600000000000003	5.7660003667176336e-06	1.0000057660003667	1	2	0	1	5.7660003667176296	0	5.7660000000000062
8	13	10	10	0.039600000000000003	6.0200003708320272e-07	1.0000006020000372	1	2	0	1	0.60200003708320249	0	0.60200000000000009
9	109	100	100	0.039600000000000003	5.8056003692361959e-06	1.0000058056003693	1	2	0	1	5.8056003692361902	0	5.8056000000000063
10	14	10	10	0.039600000000000003	6.4160003952256275e-07	1.0000006416000395	1	2	0	1	0.64160003952256273	0	0.64160000000000017
11	67	20	20	0.039600000000000003	3.4612002201323353e-06	1.0000034612002202	1	2	0	1	3.4612002201323362	0	3.4612000000000016
12	110	100	100	0.039600000000000003	5.8452003717547522e-06	1.0000058452003717	1	2	0	1	5.8452003717547507	0	5.8452000000000064
13	0	1	1	0.039600000000000003	8.3200004958720387e-08	1.0000000832000049	1	2	0	1	0.083200004958720306	0	0.083199999999999996
14	6	5	5	0.039600000000000003	3.2280001988448135e-07	1.0000003228000198	1	2	0	1	0.3228000198844812	0	0.32279999999999998
15	15	10	10	0.039600000000000003	6.8120004196192278e-07	1.0000006812000419	1	2	0	1	0.68120004196192263	0	0.68120000000000003
16	16	10	10	0.039600000000000003	7.2080004440128366e-07	1.0000007208000443	1	2	0	1	0.72080004440128287	0	0.72080000000000011
17	17	10	10	0.039600000000000003	7.6040004684064326e-07	1.0000007604000469	1	2	0	1	0.76040004684064288	0	0.76039999999999996
18	18	10	10	0.039600000000000003	8.0000004928000276e-07	1.0000008000000493	1	2	0	1	0.80000004928000312	0	0.80000000000000004
20	111	100	100	0.039600000000000003	5.8848003742733094e-06	1.0000058848003743	1	2	0	1	5.8848003742733104	0	5.8848000000000065
