base_bandwidth_utilization	0.23119519999999996
expected_bandwidth_utilization	0.23119530270596317

rounded_expected_bandwidth_utilization	0.46239040000000003

bandwidth_utilization_p99	0.23119520000000002

[frame_summary]
frame_id	priority	period_ms	deadline_ms	trans_time_ms	expected_retry_count	expected_tx_count	rounded_expected_retry_count	rounded_expected_tx_count	retry_p99	tx_count_p99	expected_wcrt_ms	p_timeout	wcrt_p95_ms
1	6	10	10	0.041599999999999998	3.698000242588814e-07	1.0000003698000242	1	2	0	1	0.36980002425888159	0	0.36980000000000002
2	41	1000	1000	0.041599999999999998	1.9190001892137533e-06	1.0000019190001892	1	2	0	1	1.9190001892137531	0	1.9190000000000007
3	21	20	20	0.039600000000000003	1.0138001822812149e-06	1.0000010138001822	1	2	0	1	1.0138001822812159	0	1.0137999999999998
4	7	10	10	0.039600000000000003	4.0940002685664189e-07	1.0000004094000268	1	2	0	1	0.40940002685664179	0	0.40939999999999999
6	2	2	2	0.041599999999999998	2.0140001240624064e-07	1.0000002014000124	1	2	0	1	0.20140001240624075	0	0.2014
7	8	10	10	0.047600000000000003	4.5700003089320189e-07	1.0000004570000309	1	2	0	1	0.45700003089320212	0	0.45699999999999996
8	22	20	20	0.039600000000000003	1.1346001118715708e-06	1.0000011346001119	1	2	0	1	1.1346001118715709	0	1.1345999999999998
9	31	100	100	0.039600000000000003	1.5090001494535496e-06	1.0000015090001495	1	2	0	1	1.5090001487874258	1.1102230246251565e-16	1.5090000000000001
10	23	20	20	0.041599999999999998	1.1762001159733308e-06	1.000001176200116	1	2	0	1	1.1762001159733311	0	1.1761999999999997
11	9	10	10	0.078600000000000003	5.0660004995076485e-07	1.0000005066000499	1	2	0	1	0.50660004995076491	0	0.50660000000000005
12	10	10	10	0.039600000000000003	5.4620005385532576e-07	1.0000005462000539	1	2	0	1	0.54620005385532522	0	0.54620000000000002
13	32	100	100	0.039600000000000003	1.5486001526919779e-06	1.0000015486001528	1	2	0	1	1.5486001526919755	0	1.5486000000000004
14	33	100	100	0.041599999999999998	1.5902001567937351e-06	1.0000015902001569	1	2	0	1	1.5902001567937356	0	1.5902000000000001
16	11	10	10	0.039600000000000003	5.8580005775988571e-07	1.0000005858000578	1	2	0	1	0.58580005775988586	0	0.5858000000000001
18	12	10	10	0.041599999999999998	6.2740006186164557e-07	1.0000006274000619	1	2	0	1	0.62740006186164599	0	0.62739999999999996
19	13	10	10	0.049600000000000005	6.7700006741834022e-07	1.0000006770000673	1	2	0	1	0.6770000667522077	1.1102230246251565e-16	0.67700000000000005
20	0	1	1	0.041599999999999998	1.2020000740432059e-07	1.0000001202000075	1	2	0	1	0.12020000740432045	0	0.1202
21	34	100	100	0.045600000000000002	1.6318001616726507e-06	1.0000016318001617	1	2	0	1	1.6318001608955068	1.1102230246251565e-16	1.6318000000000001
23	14	10	10	0.049600000000000005	7.2660007164276746e-07	1.0000007266000717	1	2	0	1	0.72660007164276708	0	0.72659999999999991
24	15	10	10	0.039600000000000003	7.6620007554732794e-07	1.0000007662000756	1	2	0	1	0.7662000755473275	0	0.76619999999999999
25	35	100	100	0.039600000000000003	1.671400164800055e-06	1.0000016714001647	1	2	0	1	1.6714001648000565	0	1.6714000000000002
26	24	20	20	0.039600000000000003	1.2158001198778905e-06	1.0000012158001199	1	2	0	1	1.2158001198778914	0	1.2157999999999995
27	36	100	100	0.041599999999999998	1.7130001689018179e-06	1.0000017130001688	1	2	0	1	1.7130001689018171	0	1.7130000000000003
28	16	10	10	0.041599999999999998	8.0780007964908843e-07	1.0000008078000797	1	2	0	1	0.80780007964908762	0	0.80779999999999985
29	25	20	20	0.041599999999999998	1.257400124645785e-06	1.0000012574001247	1	2	0	1	1.2574001239796539	1.1102230246251565e-16	1.2573999999999996
30	26	20	20	0.049600000000000005	1.3030001284758122e-06	1.0000013030001285	1	2	0	1	1.3030001284758124	0	1.3029999999999997
31	30	50	50	0.041599999999999998	1.4694001448828554e-06	1.0000014694001449	1	2	0	1	1.4694001448828542	0	1.4694
32	17	10	10	0.039600000000000003	8.4740008355368417e-07	1.0000008474000837	1	2	0	1	0.84740008355368412	0	0.84739999999999993
33	42	1000	1000	0.041599999999999998	1.9190001892137533e-06	1.0000019190001892	1	2	0	1	1.9190001892137531	0	1.9190000000000007
34	1	1	1	0.039600000000000003	1.598000098436807e-07	1.0000001598000099	1	2	0	1	0.15980000984368062	0	0.1598
35	27	20	20	0.045600000000000002	1.3486001329719726e-06	1.0000013486001329	1	2	0	1	1.3486001329719728	0	1.3485999999999998
36	18	10	10	0.041599999999999998	8.8900008765544678e-07	1.0000008890000875	1	2	0	1	0.8890000876554478	0	0.88899999999999979
38	3	2	2	0.041599999999999998	2.4300001496880091e-07	1.000000243000015	1	2	0	1	0.24300001496880091	0	0.24299999999999999
39	37	100	100	0.039600000000000003	1.7526001728063776e-06	1.0000017526001728	1	2	0	1	1.7526001728063771	0	1.7526000000000004
40	38	100	100	0.041599999999999998	1.7942001769081378e-06	1.0000017942001769	1	2	0	1	1.7942001769081377	0	1.7942000000000005
41	19	10	10	0.045600000000000002	9.3460009215161194e-07	1.0000009346000922	1	2	0	1	0.93460009215161199	0	0.93459999999999988
42	39	100	100	0.041599999999999998	1.8358001810099005e-06	1.000001835800181	1	2	0	1	1.8358001810098985	0	1.8358000000000005
43	4	5	5	0.045600000000000002	2.8860001893216097e-07	1.000000288600019	1	2	0	1	0.2886000189321612	0	0.28859999999999997
44	40	100	100	0.041599999999999998	1.87740018511198e-06	1.0000018774001851	1	2	0	1	1.877400185111979	0	1.8774000000000006
45	5	5	5	0.039600000000000003	3.2820002152992124e-07	1.0000003282000216	1	2	0	1	0.32820002152992145	0	0.32819999999999999
46	28	20	20	0.039600000000000003	1.3882001368765334e-06	1.0000013882001368	1	2	0	1	1.3882001368765333	0	1.3881999999999999
47	29	20	20	0.039600000000000003	1.4278001407810944e-06	1.0000014278001408	1	2	0	1	1.4278001407810939	0	1.4278
48	20	10	10	0.039600000000000003	9.7420017516113915e-07	1.0000009742001752	1	2	0	1	0.97420017516113844	0	0.97419999999999973

[frame_retry_distribution]
frame_id	retry_count	probability
1	0	0.99999963020006843
1	1	3.6979983898911487e-07
1	2	9.263485358992693e-14
1	3	1.9786480470310327e-20
1	4	3.8933089224872533e-27
1	5	7.3064979368816581e-34
2	0	0.99999808100184129
2	1	1.9189961282295066e-06
2	2	2.0304892692608954e-12
2	3	1.9026996065450412e-18
2	4	1.3082319332332786e-24
2	5	7.6241884678438808e-31
2	6	2.6502698667654627e-37
3	0	0.99999898620051386
3	1	1.0137987899290409e-06
3	2	6.9617556040135992e-13
3	3	3.5109027936996596e-19
3	4	1.5037872287844386e-25
3	5	5.7953997730440808e-32
4	0	0.99999959060008381
4	1	4.0939980553504629e-07
4	2	1.1066076017677724e-13
4	3	2.5074263689310185e-20
4	4	5.1719736474744951e-27
4	5	1.0087390981238655e-33
6	0	0.99999979860002031
6	1	2.0139994703180684e-07
6	2	3.2687209389730143e-14
6	3	5.0064811691632709e-21
6	4	7.5352956686491853e-28
6	5	1.1300920050508693e-34
7	0	0.99999954300010452
7	1	4.5699976025786267e-07
7	2	1.3531761986488198e-13
7	3	3.3158073168962781e-20
7	4	7.3286593040716097e-27
7	5	1.5212590508563712e-33
8	0	0.99999886540064364
8	1	1.1345986008121427e-06
8	2	7.5552913378563151e-13
8	3	3.869063972246938e-19
8	4	1.6898701309613429e-25
8	5	6.6351636719457316e-32
9	0	0.99999849100113847
9	1	1.508997574133551e-06
9	2	1.2873257035630119e-12
9	3	8.192102360480339e-19
9	4	4.3357812840734489e-25
9	5	2.0200565133269825e-31
9	6	1.1102230246251565e-16
10	0	0.99999882380069172
10	1	1.176198500581195e-06
10	2	8.0769543071033409e-13
