# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_111242\retry_probability_reports\E5S250_5ecu_250signals.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.56458199999999981	0.56458199999999981	250	60	1
baseline1	0.58590599999999993	0.58590599999999993	250	180	1
baseline2	0.34806655390813385	0.34806639999999994	250	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	190	0.1012723452631946	0.35440000000028249
foundation	B	25	0.11971536000004013	0.26496000000005893
foundation	C	25	0.10317094400004934	0.26100000000005819
foundation	D	10	0.14336320000007405	0.3148000000002753
baseline1	A	190	0.12711786947374287	0.3612000000007356
baseline1	B	25	0.14565728000007064	0.3612000000007356
baseline1	C	25	0.11281417600005852	0.3612000000007356
baseline1	D	10	0.12309640000015831	0.28200000000072123
baseline2	A	190	0.058611486315789496	0.24559999999999998
baseline2	B	25	0.055824639999999988	0.14499999999999993
baseline2	C	25	0.050170031999999996	0.1426
baseline2	D	10	0.073977600000000004	0.20600000000000002

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	190	4.0736841273953585e-08	4.5599998960320021e-08
foundation	B	25	1.6432639332498325e-15	1.988159911328067e-15
foundation	C	25	1.6141119350372375e-15	1.988159911328067e-15
foundation	D	10	1.6251999343890902e-15	1.813759922733826e-15
baseline1	A	190	1.5210527126157833e-08	4.5599998960320021e-08
baseline1	B	25	1.7687999253037466e-15	2.0793599051811871e-15
baseline1	C	25	1.6944639300195606e-15	2.0793599051811871e-15
baseline1	D	10	1.7353599274000658e-15	2.0793599051811871e-15
baseline2	A	190	2.7463411661780187e-17	1.1102230246251565e-16
baseline2	B	25	3.552713678800501e-17	1.1102230246251565e-16
baseline2	C	25	3.552713678800501e-17	1.1102230246251565e-16
baseline2	D	10	3.3306690738754695e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	190	0
foundation	B	25	25
foundation	C	25	25
foundation	D	10	10
baseline1	A	190	120
baseline1	B	25	25
baseline1	C	25	25
baseline1	D	10	10
baseline2	A	190	0
baseline2	B	25	0
baseline2	C	25	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	228681184	B	1	0	10	1	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.0060000000004834	1.5543122344752192e-15	2.0060000000004834	2.0060000000004834
foundation	592088953	B	1	0	10	3	1	2	1	1.6473599331171859e-15	2.7777777777777779e-13	1.037600000000225	1.6653345369377348e-15	1.037600000000225	1.037600000000225
foundation	1909134706	B	1	0	10	3	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.6496000000005893	1.5543122344752192e-15	2.6496000000005893	2.6496000000005893
foundation	2110434002	B	1	0	10	4	3	2	1	1.813759922733826e-15	2.7777777777777779e-13	1.8436000000004356	1.7763568394002505e-15	1.8436000000004356	1.8436000000004356
foundation	2975809013	B	1	0	10	1	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.0060000000004834	1.5543122344752192e-15	2.0060000000004834	2.0060000000004834
foundation	3527482736	B	1	0	10	4	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.7228000000004045	1.5543122344752192e-15	1.7228000000004045	1.7228000000004045
foundation	4088394576	B	1	0	10	2	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.9664000000004762	1.5543122344752192e-15	1.9664000000004762	1.9664000000004762
foundation	78382668	B	1	0	20	2	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.9664000000004762	1.5543122344752192e-15	1.9664000000004762	1.9664000000004762
foundation	949134685	B	1	0	20	4	3	2	1	1.813759922733826e-15	5.5555555555555559e-13	1.8436000000004356	1.7763568394002505e-15	1.8436000000004356	1.8436000000004356
foundation	2746470229	B	1	0	20	3	1	2	1	1.6473599331171859e-15	5.5555555555555559e-13	1.037600000000225	1.6653345369377348e-15	1.037600000000225	1.037600000000225
foundation	2814359803	B	1	0	20	0	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.776400000000649	1.5543122344752192e-15	2.776400000000649	2.776400000000649
foundation	3481988738	B	1	0	20	3	2	2	1	1.7265599281751066e-15	5.5555555555555559e-13	1.8872000000004618	1.6653345369377348e-15	1.8872000000004618	1.8872000000004618
foundation	4004017097	B	1	0	20	1	4	2	1	1.6473599331171859e-15	5.5555555555555559e-13	2.4832000000005792	1.6653345369377348e-15	2.4832000000005792	2.4832000000005792
foundation	4172831405	B	1	0	20	1	0	2	1	1.988159911328067e-15	5.5555555555555559e-13	2.7368000000006418	1.9984014443252818e-15	2.7368000000006418	2.7368000000006418
foundation	77678996	B	1	0	100	0	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	4.7208000000010202	1.5543122344752192e-15	4.7208000000010202	4.7208000000010202
foundation	293479342	B	1	0	100	2	1	2	1	1.7265599281751066e-15	2.7777777777777777e-12	3.8892000000008693	1.6653345369377348e-15	3.8892000000008693	3.8892000000008693
foundation	1385276222	B	1	0	100	2	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.8060000000008358	1.5543122344752192e-15	3.8060000000008358	3.8060000000008358
foundation	1453001967	B	1	0	100	3	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.4496000000007712	1.5543122344752192e-15	3.4496000000007712	3.4496000000007712
foundation	1963303629	B	1	0	100	0	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.410000000000764	1.5543122344752192e-15	3.410000000000764	3.410000000000764
foundation	3516998628	B	1	0	100	4	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.5288000000007855	1.5543122344752192e-15	3.5288000000007855	3.5288000000007855
