[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	0.602421	0.638263	42	1
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	0.572784	0.572784	42	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	0.494407	0.521335	42	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	0.491831	0.491831	42	1
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	0.47168	0.508508	42	1
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	always_on_tmr	0.47275	0.47275	42	1
E5S150_5ecu_150signals_004	E5S150_5ecu_150signals	on_demand_tmr	0.505711	0.562759	42	1
E5S150_5ecu_150signals_004	E5S150_5ecu_150signals	always_on_tmr	0.525017	0.525017	42	1
E5S150_5ecu_150signals_005	E5S150_5ecu_150signals	on_demand_tmr	0.612662	0.68989	43	1
E5S150_5ecu_150signals_005	E5S150_5ecu_150signals	always_on_tmr	0.476306	0.476306	0	0
E5S150_5ecu_150signals_006	E5S150_5ecu_150signals	on_demand_tmr	0.54903	0.566062	42	1
E5S150_5ecu_150signals_006	E5S150_5ecu_150signals	always_on_tmr	0.549392	0.549392	42	1
E5S150_5ecu_150signals_007	E5S150_5ecu_150signals	on_demand_tmr	0.702219	0.715367	42	1
E5S150_5ecu_150signals_007	E5S150_5ecu_150signals	always_on_tmr	0.714531	0.714531	42	1
E5S150_5ecu_150signals_008	E5S150_5ecu_150signals	on_demand_tmr	0.432358	0.46226	42	1
E5S150_5ecu_150signals_008	E5S150_5ecu_150signals	always_on_tmr	0.433481	0.433481	42	1
E5S150_5ecu_150signals_009	E5S150_5ecu_150signals	on_demand_tmr	0.461588	0.525796	42	1
E5S150_5ecu_150signals_009	E5S150_5ecu_150signals	always_on_tmr	0.498868	0.498868	42	1
E5S150_5ecu_150signals_010	E5S150_5ecu_150signals	on_demand_tmr	0.561474	0.630632	43	1
E5S150_5ecu_150signals_010	E5S150_5ecu_150signals	always_on_tmr	0.585574	0.585574	43	1
E5S150_5ecu_150signals_011	E5S150_5ecu_150signals	on_demand_tmr	0.475943	0.604643	42	1
E5S150_5ecu_150signals_011	E5S150_5ecu_150signals	always_on_tmr	0.543293	0.543293	42	1
E5S150_5ecu_150signals_012	E5S150_5ecu_150signals	on_demand_tmr	0.510607	0.530803	42	1
E5S150_5ecu_150signals_012	E5S150_5ecu_150signals	always_on_tmr	0.513419	0.513419	42	1
E5S150_5ecu_150signals_013	E5S150_5ecu_150signals	on_demand_tmr	0.588085	0.618973	42	1
E5S150_5ecu_150signals_013	E5S150_5ecu_150signals	always_on_tmr	0.587615	0.587615	42	1
E5S150_5ecu_150signals_014	E5S150_5ecu_150signals	on_demand_tmr	0.528119	0.565779	42	1
E5S150_5ecu_150signals_014	E5S150_5ecu_150signals	always_on_tmr	0.527875	0.527875	42	1
E5S150_5ecu_150signals_015	E5S150_5ecu_150signals	on_demand_tmr	0.55385	0.583154	42	1
E5S150_5ecu_150signals_015	E5S150_5ecu_150signals	always_on_tmr	0.562242	0.562242	42	1
E5S150_5ecu_150signals_016	E5S150_5ecu_150signals	on_demand_tmr	0.56791	0.583374	42	1
E5S150_5ecu_150signals_016	E5S150_5ecu_150signals	always_on_tmr	0.574428	0.574428	42	1
E5S150_5ecu_150signals_017	E5S150_5ecu_150signals	on_demand_tmr	0.417277	0.436681	42	1
E5S150_5ecu_150signals_017	E5S150_5ecu_150signals	always_on_tmr	0.419133	0.419133	42	1
E5S150_5ecu_150signals_018	E5S150_5ecu_150signals	on_demand_tmr	0.447596	0.489176	42	1
E5S150_5ecu_150signals_018	E5S150_5ecu_150signals	always_on_tmr	0.442236	0.442236	42	1
E5S150_5ecu_150signals_019	E5S150_5ecu_150signals	on_demand_tmr	0.692222	0.727862	42	1
E5S150_5ecu_150signals_019	E5S150_5ecu_150signals	always_on_tmr	0.685442	0.685442	42	1
E5S150_5ecu_150signals_020	E5S150_5ecu_150signals	on_demand_tmr	0.462671	0.504251	42	1
E5S150_5ecu_150signals_020	E5S150_5ecu_150signals	always_on_tmr	0.464401	0.464401	42	1

[foundation_summary]
dataset	config	scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	homo_only_foundation	0.588698	5.9108	34	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	homo_only_foundation	0.485531	5.032	34	1
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	homo_only_foundation	0.45851	4.6734	34	1
E5S150_5ecu_150signals_004	E5S150_5ecu_150signals	homo_only_foundation	0.491517	4.7276	34	1
E5S150_5ecu_150signals_005	E5S150_5ecu_150signals	homo_only_foundation	0.567566	5.6894	35	1
