# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.18892972973013591
A	2	2	0.25216551724185304
A	5	5	0.4571785714286606
A	10	10	1.6633907473311913
A	20	20	1.9953544483988468
A	50	50	3.240722222222663
A	100	100	3.8176802197806476
A	1000	1000	4.642922727272727
B	1	1	0.26850000000048624
B	2	2	0.47120000000052187
B	5	5	0.6431200000001127
B	10	10	1.8930875000002896
B	20	20	2.2931485714289113
B	50	50	3.1022666666670866
B	100	100	3.986491666667097
B	1000	1000	5.09405
C	1	1	0.2588000000002542
C	2	2	0.38312000000021273
C	5	5	0.4270500000000794
C	10	10	1.6750631578949515
C	20	20	1.988650000000314
C	50	50	3.4297000000004516
C	100	100	4.0449500000004734
C	1000	1000	4.547266666666666
D	1	1	0.2811000000000661
D	2	2	0.28995000000023197
D	5	5	0.5400000000000796
D	10	10	1.682747368421336
D	20	20	2.2908555555558037
D	50	50	3.507000000000346
D	100	100	3.952920000000347
D	1000	1000	4.472699999999999
