# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.26920000000119987
A	2	2	0.31667894736953517
A	5	5	0.6385837837848289
A	10	10	2.960613675214929
A	20	20	4.419081632654155
A	50	50	8.01014545454628
A	100	100	11.71874385965031
A	1000	1000	17.324684000000012
B	1	1	0.3730571428579554
B	2	2	0.4661000000002957
B	5	5	0.6891600000010826
B	10	10	3.6965183673483235
B	20	20	5.849664000000813
B	50	50	8.171600000000751
B	100	100	12.427032000001454
B	1000	1000	17.271240000000002
C	1	1	0.28340000000121107
C	2	2	0.3603200000002083
C	5	5	0.6618000000009232
C	10	10	3.465527272728633
C	20	20	5.7571346938783625
C	50	50	8.182000000000698
C	100	100	11.893840000001376
C	1000	1000	17.839800000000007
D	2	2	0.4954666666679586
D	5	5	0.6982000000010373
D	10	10	3.940075000001366
D	20	20	5.554210000000861
D	50	50	8.51705000000105
D	100	100	12.068050000001103
D	1000	1000	17.891228571428577
