# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.10178571428593435
A	2	2	0.16497500000031096
A	5	5	0.25197777777781993
A	10	10	0.6505250000001028
A	20	20	1.2539158878506642
A	50	50	1.7576500000002895
A	100	100	2.149197297297622
A	1000	1000	2.5195066666666674
B	1	1	0.1687333333337051
B	2	2	0.2512000000004946
B	10	10	0.9902307692309259
B	20	20	1.5745555555557946
B	50	50	1.7280000000002929
B	100	100	2.3346444444448355
B	1000	1000	2.4724500000000007
C	1	1	0.1653333333334975
C	2	2	0.14560000000011541
C	5	5	0.2982000000000511
C	10	10	0.8461000000001491
C	20	20	1.397788888889099
C	50	50	1.9300000000001774
C	100	100	2.1936545454549075
D	2	2	0.18600000000026284
D	10	10	0.8472400000001471
D	20	20	1.4425428571431098
D	100	100	2.2519666666670637
D	1000	1000	2.550400000000001
