# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.1698486486488729
A	2	2	0.20345517241404243
A	5	5	0.429450000000086
A	10	10	1.1458704626336078
A	20	20	1.6601409252671169
A	50	50	2.8268666666669855
A	100	100	3.3377945054948324
A	1000	1000	4.109586363636361
B	1	1	0.20347500000013363
B	2	2	0.43500000000033
B	5	5	0.5459200000001033
B	10	10	1.2975937500001944
B	20	20	2.081845714285953
B	50	50	2.6533000000003995
B	100	100	3.3488166666669983
B	1000	1000	4.5431
C	1	1	0.21893333333366627
C	2	2	0.34620000000033996
C	5	5	0.3794500000001051
C	10	10	1.3188947368422652
C	20	20	2.0676722222224697
C	50	50	2.9840500000002663
C	100	100	3.6470083333336922
C	1000	1000	3.825233333333332
D	1	1	0.1741000000002373
D	2	2	0.3722000000000574
D	5	5	0.5121333333334519
D	10	10	1.3826947368422948
D	20	20	2.2616777777780297
D	50	50	3.0774000000001536
D	100	100	3.3535800000003233
D	1000	1000	4.321999999999998
