# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.17216216216238192
A	2	2	0.2185200000002708
A	5	5	0.3995500000000689
A	10	10	1.4038007168460513
A	20	20	2.3640560885611728
A	50	50	3.929162962963456
A	100	100	4.757335195531345
A	1000	1000	5.9266622222222205
B	1	1	0.20788000000022572
B	2	2	0.3159000000004255
B	5	5	0.4484000000000634
B	10	10	1.611485714285922
B	20	20	3.0929658536589155
B	100	100	5.042972727273278
B	1000	1000	5.810955555555554
C	1	1	0.25460000000042377
C	2	2	0.3248800000001772
C	5	5	0.45253333333336104
C	10	10	1.602443902439202
C	20	20	3.031421621621991
C	50	50	4.201500000000493
C	100	100	5.088290909091636
C	1000	1000	5.915239999999998
D	1	1	0.18426666666713723
D	2	2	0.45260000000035916
D	5	5	0.36480000000001667
D	10	10	1.7212133333335415
D	20	20	2.9488857142860736
D	50	50	4.687600000000941
D	100	100	5.218011764706603
D	1000	1000	5.9933999999999985
