# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.22967346938838135
A	2	2	0.2773850000007002
A	5	5	0.509977272727593
A	10	10	2.196273214286067
A	20	20	3.3019304843309203
A	50	50	5.488653333334011
A	100	100	6.809437931035312
A	1000	1000	8.417304166666666
B	1	1	0.3478666666672486
B	2	2	0.33420000000057826
B	5	5	0.6304000000005013
B	10	10	3.2067213114758433
B	20	20	4.3487076923082855
B	50	50	6.50675000000053
B	100	100	7.518755555556513
B	1000	1000	8.210425
C	1	1	0.2578666666674205
C	2	2	0.2693500000004718
C	5	5	0.539600000000064
C	10	10	2.3318080000003123
C	20	20	3.786056000000524
C	50	50	5.515650000000875
C	100	100	7.172868965518141
C	1000	1000	9.50997777777778
D	1	1	0.27830000000119526
D	2	2	0.3240500000006392
D	5	5	0.587000000000117
D	10	10	2.5119913043482427
D	20	20	3.750790000000518
D	50	50	6.138800000000316
D	100	100	7.3216500000008535
D	1000	1000	9.260679999999999
