# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.10792173913062073
A	2	2	0.17943000000025996
A	5	5	0.33808000000009314
A	10	10	0.8004791666668254
A	20	20	1.211964324324528
A	50	50	1.8559500000002842
A	100	100	2.3575808000003398
A	1000	1000	2.87468275862069
B	1	1	0.19125000000007109
B	2	2	0.2864000000004353
B	5	5	0.27060000000005857
B	10	10	0.9580320000001575
B	20	20	1.488514285714527
B	50	50	1.8396000000001511
B	100	100	2.4837714285718158
B	1000	1000	2.7793666666666677
C	1	1	0.11870000000005199
C	2	2	0.2342000000002488
C	5	5	0.3939000000001016
C	10	10	0.9191913043479708
C	20	20	1.5109928571431612
C	100	100	2.4363500000003384
C	1000	1000	3.1093499999999996
D	1	1	0.20980000000042764
D	2	2	0.26640000000028863
D	5	5	0.3657000000000963
D	10	10	0.9915600000001575
D	20	20	1.3239625000002135
D	50	50	1.9408000000005359
D	100	100	2.3576400000003104
D	1000	1000	3.0238000000000005
