# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.1079739130437657
A	2	2	0.20070000000024776
A	5	5	0.32380000000009657
A	10	10	1.0465989583335171
A	20	20	1.3669535135137287
A	50	50	2.0849625000003265
A	100	100	2.5214560000003545
A	1000	1000	3.049103448275863
B	1	1	0.1841500000002334
B	2	2	0.2855200000005425
B	5	5	0.2924000000000717
B	10	10	1.280440000000151
B	20	20	1.659438095238378
B	50	50	2.052733333333587
B	100	100	2.7621142857147203
B	1000	1000	3.0018000000000007
C	1	1	0.16380000000009431
C	2	2	0.24120000000065525
C	5	5	0.3969000000000875
C	10	10	1.2152086956523291
C	20	20	1.327464285714558
C	100	100	2.647475000000348
C	1000	1000	3.2898499999999995
D	1	1	0.2604000000008
D	2	2	0.2870000000002335
D	5	5	0.4083000000000965
D	10	10	1.2044800000001878
D	20	20	1.2753875000001913
D	50	50	2.447200000000862
D	100	100	2.5214800000004516
D	1000	1000	3.5482
