# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.11004285714305431
A	2	2	0.1509384615385539
A	5	5	0.2479000000000724
A	10	10	0.6803317460319024
A	20	20	0.9836267857145157
A	50	50	1.492533333333635
A	100	100	1.7020493506496717
A	1000	1000	2.002280000000001
B	1	1	0.17560000000025866
B	2	2	0.20093333333363717
B	5	5	0.3249333333334145
B	10	10	0.841320000000231
B	20	20	1.1522133333335394
B	50	50	1.4306000000002541
B	100	100	1.8336363636366804
B	1000	1000	2.033600000000001
C	1	1	0.13868000000025243
C	2	2	0.19385000000011843
C	5	5	0.3124000000001009
C	10	10	0.8382615384617181
C	20	20	1.18575000000029
C	100	100	1.7996571428574353
C	1000	1000	2.1352000000000015
D	10	10	0.6934333333335209
D	20	20	1.2177714285716417
D	100	100	1.7882800000003385
D	1000	1000	1.9769000000000014
