# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.10968461538490058
A	2	2	0.16684615384649357
A	5	5	0.26124705882358595
A	10	10	0.9794879120880674
A	20	20	1.8364839779008288
A	50	50	2.74875555555595
A	100	100	3.1867830508479176
A	1000	1000	3.7299874999999996
B	1	1	0.18800000000035766
B	2	2	0.24260000000026594
B	5	5	0.2656000000000631
B	10	10	0.9989391304349501
B	20	20	2.135648000000299
B	50	50	2.7646000000003426
B	100	100	3.3486083333338335
B	1000	1000	3.8068999999999997
C	1	1	0.15560000000022
C	2	2	0.2512000000003809
C	5	5	0.36260000000009995
C	10	10	1.0887000000001725
C	20	20	2.121206896552047
C	100	100	3.389985714286228
C	1000	1000	3.822533333333333
D	1	1	0.16760000000010677
D	2	2	0.25130000000027053
D	10	10	1.0947466666668446
D	20	20	2.0273066666669632
D	100	100	3.4297000000004942
D	1000	1000	3.7840666666666665
