# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.18531020408204907
A	2	2	0.23393500000048548
A	5	5	0.45549090909118933
A	10	10	1.8092666666669703
A	20	20	2.8209008547012826
A	50	50	4.934313333333999
A	100	100	6.079602586207688
A	1000	1000	7.331395833333331
B	1	1	0.22883333333390965
B	2	2	0.242600000000607
B	5	5	0.4870666666670805
B	10	10	2.1750950819675565
B	20	20	3.72856410256465
B	50	50	4.9247500000006
B	100	100	6.35354814814897
B	1000	1000	7.558975
C	1	1	0.1746000000003649
C	2	2	0.22705000000044606
C	5	5	0.5076000000000249
C	10	10	2.085996000000331
C	20	20	3.7706920000005324
C	50	50	5.197650000000721
C	100	100	6.4495517241388045
C	1000	1000	7.502822222222221
D	1	1	0.3011000000005595
D	2	2	0.3049000000002675
D	5	5	0.5439000000000647
D	10	10	1.9619826086960088
D	20	20	3.718820000000477
D	50	50	5.233500000000504
D	100	100	6.638866666667586
D	1000	1000	7.271119999999996
