# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.20526086956542275
A	2	2	0.24741111111138142
A	5	5	0.4461666666667424
A	10	10	1.4423709677421666
A	20	20	1.8547910979231241
A	50	50	3.3231866666671164
A	100	100	4.157082727273264
A	1000	1000	5.321135849056604
B	1	1	0.27710000000021945
B	2	2	0.3060000000003053
B	5	5	0.4642333333333732
B	10	10	1.6125050000002688
B	20	20	2.4741920000003677
B	100	100	4.170912500000519
B	1000	1000	5.29416
C	1	1	0.28730000000010775
C	2	2	0.3181000000006975
C	5	5	0.5532000000001024
C	10	10	1.595525000000245
C	20	20	2.5018730769234137
C	50	50	3.7124000000005646
C	100	100	4.231907142857709
C	1000	1000	5.362279999999999
D	1	1	0.24980000000024916
D	2	2	0.2821000000002698
D	5	5	0.4990000000000805
D	10	10	1.7786222222224712
D	20	20	2.4069619047622703
D	50	50	3.4100000000005366
D	100	100	4.269210000000589
D	1000	1000	5.2490000000000006
