# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.3353890410963213
A	2	2	0.3972823529416142
A	5	5	0.7310264150947123
A	10	10	4.303337001898052
A	20	20	4.677322417154593
A	50	50	7.820854166668163
A	100	100	8.975541210376251
A	1000	1000	14.579482500000003
B	1	1	0.48218000000076433
B	2	2	0.454140000000231
B	5	5	0.8877142857142957
B	10	10	4.762861971831353
B	20	20	5.6930515151525105
B	50	50	8.062425000001284
B	100	100	9.579295454547257
B	1000	1000	17.438688888888898
C	1	1	0.38090000000024915
C	2	2	0.4458000000009392
C	5	5	0.834075000000218
C	10	10	3.8417151515155314
C	20	20	4.769827160494473
C	50	50	8.081000000001685
C	100	100	9.162275000001475
C	1000	1000	17.05848333333333
D	1	1	0.3893333333339797
D	2	2	0.32286666666721625
D	5	5	0.7753500000002664
D	10	10	4.349063157895503
D	20	20	4.396612121212594
D	50	50	7.9514000000006035
D	100	100	9.047726315790914
D	1000	1000	16.75834285714286
