# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.10877142857162068
A	2	2	0.16908750000030537
A	5	5	0.24766666666671078
A	10	10	0.6387765625001087
A	20	20	1.2307158878506617
A	50	50	1.739025000000261
A	100	100	2.136354054054385
A	1000	1000	2.495800000000001
B	1	1	0.12080000000042901
B	2	2	0.2583000000005029
B	10	10	0.829061538461662
B	20	20	1.4205333333335313
B	50	50	1.6664000000002943
B	100	100	1.970400000000331
B	1000	1000	2.4227500000000006
C	1	1	0.17093333333358865
C	2	2	0.16600000000033788
C	5	5	0.254600000000039
C	10	10	0.7412714285715489
C	20	20	1.4797000000002072
C	50	50	1.9200000000002433
C	100	100	2.128763636363989
D	2	2	0.1384000000002743
D	10	10	0.896880000000101
D	20	20	1.4900000000002283
D	100	100	2.1349666666670353
D	1000	1000	2.6176000000000013
