# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.33108307692443567
A	2	2	0.38182727272871947
A	5	5	0.6200333333345808
A	10	10	3.268783080261931
A	20	20	4.832511392406644
A	50	50	7.79633488372201
A	100	100	11.335768707484526
A	1000	1000	17.6132929577465
B	1	1	0.49032000000081266
B	2	2	0.48424000000226963
B	5	5	0.8772000000045258
B	10	10	4.709285245903127
B	20	20	5.35848135593434
B	50	50	7.849550000000583
B	100	100	13.041764705883878
B	1000	1000	18.04167500000001
C	1	1	0.38380000000113706
C	2	2	0.41283333333446254
C	5	5	0.7030500000013689
C	10	10	3.5876875000016017
C	20	20	4.735313333334885
C	50	50	7.884225000000942
C	100	100	11.851336842106786
C	1000	1000	21.181685714285752
D	1	1	0.49190000000367684
D	2	2	0.3577600000007095
D	5	5	0.6572000000002131
D	10	10	3.492011764707879
D	20	20	4.625881481482575
D	50	50	9.854400000002784
D	100	100	13.370458823531091
D	1000	1000	15.859857142857148
