# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.24882769230826401
A	2	2	0.3327863636370046
A	5	5	0.5257333333334605
A	10	10	2.5086559652931086
A	20	20	3.8409227848105556
A	50	50	6.7481395348845234
A	100	100	8.353665986395429
A	1000	1000	11.669056338028172
B	1	1	0.3527200000004814
B	2	2	0.38008000000099856
B	5	5	0.7116666666672534
B	10	10	2.9809770491806082
B	20	20	4.692267796610751
B	50	50	6.711175000000864
B	100	100	8.675878431373436
B	1000	1000	12.718775000000011
C	1	1	0.2875000000006729
C	2	2	0.45613333333396994
C	5	5	0.624750000000049
C	10	10	3.03643750000033
C	20	20	4.918650000000644
C	50	50	6.958650000000792
C	100	100	9.121010526316642
C	1000	1000	12.19508571428572
D	1	1	0.40615000000099144
D	2	2	0.4020800000003053
D	5	5	0.622480000000045
D	10	10	2.834164705882561
D	20	20	4.759400000000674
D	50	50	7.748800000000756
D	100	100	9.457317647059595
D	1000	1000	11.302657142857152
