# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.2676341463420246
A	2	2	0.3348140350882843
A	5	5	0.6563724137934532
A	10	10	2.46417098976146
A	20	20	3.1919432055753654
A	50	50	5.662915384616381
A	100	100	6.86826736292537
A	1000	1000	9.020825
B	1	1	0.34490000000071175
B	2	2	0.3871800000006715
B	5	5	0.8139777777780868
B	10	10	3.1727308641979497
B	20	20	3.9082084507048513
B	50	50	6.1059400000007376
B	100	100	7.108877551021548
B	1000	1000	9.28744
C	1	1	0.2904400000005449
C	2	2	0.3999111111117727
C	5	5	0.7383500000004908
C	10	10	2.9331739130438796
C	20	20	3.655013483146642
C	50	50	6.020657142857966
C	100	100	7.498812500001148
C	1000	1000	10.25564
D	1	1	0.3560000000004114
D	2	2	0.369750000000872
D	5	5	0.6680400000002049
D	10	10	2.85960000000037
D	20	20	3.3927611111116107
D	50	50	6.021400000000767
D	100	100	7.222550000001024
D	1000	1000	8.645628571428572
