# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.3356615384633156
A	2	2	0.3779806451628977
A	5	5	0.7105333333347021
A	10	10	4.185025762713958
A	20	20	5.620504255321342
A	50	50	10.588814814816764
A	100	100	17.375649740935476
A	1000	1000	27.502516279069777
B	1	1	0.48408571428672076
B	2	2	0.484700000001169
B	5	5	0.8909500000016699
B	10	10	5.432810000002124
B	20	20	6.47473488372347
B	50	50	9.622600000000574
B	100	100	20.311520000003437
B	1000	1000	28.03665714285716
C	1	1	0.3561500000017883
C	2	2	0.37916000000201533
C	5	5	0.8212000000014337
C	10	10	4.752017647061009
C	20	20	5.4140744186069805
C	50	50	12.357466666668662
C	100	100	18.38082222222499
C	1000	1000	29.560720000000025
D	2	2	0.5166000000024837
D	5	5	0.8625000000017167
D	10	10	4.493695238097241
D	20	20	6.166000000002594
D	50	50	9.6994666666673
D	100	100	15.282160000002534
D	1000	1000	31.479280000000028
