# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.18087567567604648
A	2	2	0.22708666666705415
A	5	5	0.426512500000068
A	10	10	1.596620071684797
A	20	20	2.5623660516608484
A	50	50	4.096562962963508
A	100	100	5.0436212290509195
A	1000	1000	6.136200000000001
B	1	1	0.2633200000005672
B	2	2	0.33350000000044844
B	5	5	0.48220000000005925
B	10	10	2.5565542857146233
B	20	20	3.336419512195605
B	100	100	5.46430909090966
B	1000	1000	6.133199999999999
C	1	1	0.2530000000004179
C	2	2	0.3366800000003428
C	5	5	0.44666666666668436
C	10	10	1.7856292682928758
C	20	20	2.8458918918922516
C	50	50	4.5095000000006
C	100	100	5.134236363637094
C	1000	1000	6.1921599999999986
D	1	1	0.24666666666723813
D	2	2	0.4636000000001559
D	5	5	0.36480000000001667
D	10	10	1.800493333333603
D	20	20	2.6528285714289703
D	50	50	4.833200000000772
D	100	100	5.3748941176477505
D	1000	1000	6.4677999999999995
