# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.27671250000047043
A	2	2	0.32538695652223676
A	5	5	0.6103652173916715
A	10	10	2.9718600858372985
A	20	20	3.574753610503683
A	50	50	5.87832888888954
A	100	100	7.22067181208133
A	1000	1000	9.218571794871796
B	1	1	0.3954000000004747
B	2	2	0.4481666666671463
B	5	5	0.7437200000003485
B	10	10	3.48958840579746
B	20	20	3.5334451612907563
B	50	50	6.802866666666962
B	100	100	7.6628277777786735
B	1000	1000	7.795072727272728
C	1	1	0.2964666666670439
C	2	2	0.40025714285773767
C	5	5	0.6954800000006373
C	10	10	3.0082588235297796
C	20	20	3.6342942857147
C	50	50	6.054525000000805
C	100	100	7.032570212766682
C	1000	1000	8.665399999999996
D	1	1	0.42740000000025447
D	2	2	0.21320000000036998
D	5	5	0.7369500000001636
D	10	10	2.801376470588614
D	20	20	3.3151032258068334
D	50	50	5.0197500000009825
D	100	100	6.563663157895486
D	1000	1000	9.668879999999998
