# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.24822173913081888
A	2	2	0.2707277777781318
A	5	5	0.5266111111114279
A	10	10	2.2430053763444153
A	20	20	2.560029673590878
A	50	50	4.043266666667222
A	100	100	5.087897272727969
A	1000	1000	6.363184905660375
B	1	1	0.36393333333366124
B	2	2	0.40760000000031776
B	5	5	0.5913666666670849
B	10	10	2.4631250000003817
B	20	20	2.9524880000004576
B	100	100	5.044306250000661
B	1000	1000	6.39032
C	1	1	0.3199000000003078
C	2	2	0.3399000000003838
C	5	5	0.552366666666965
C	10	10	2.1043700000003382
C	20	20	2.4350923076926323
C	50	50	4.4822444444451115
C	100	100	5.103928571429266
C	1000	1000	6.221119999999998
D	1	1	0.28970000000006735
D	2	2	0.3280000000004577
D	5	5	0.5848000000002003
D	10	10	2.2756777777781028
D	20	20	2.4459333333336715
D	50	50	3.6920000000006894
D	100	100	5.1590000000007
D	1000	1000	6.508600000000001
