# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.09087142857158373
A	2	2	0.13970769230776148
A	5	5	0.2442000000000673
A	10	10	0.6072047619048708
A	20	20	0.9299750000001552
A	50	50	1.4479111111113587
A	100	100	1.6505688311690798
A	1000	1000	1.9551333333333345
B	1	1	0.14560000000017226
B	2	2	0.2058666666667174
B	5	5	0.29720000000005103
B	10	10	0.6859466666667837
B	20	20	1.1907733333335273
B	50	50	1.3550000000001319
B	100	100	1.7308000000002566
B	1000	1000	1.9640000000000015
C	1	1	0.1528400000001498
C	2	2	0.1866000000000767
C	5	5	0.3130666666667518
C	10	10	0.7168923076924373
C	20	20	1.215275000000215
C	100	100	1.6937428571430846
C	1000	1000	1.9409000000000014
D	10	10	0.6636666666667755
D	20	20	1.1521142857144793
D	100	100	1.7566400000003
D	1000	1000	2.0682000000000014
