base_bandwidth_utilization	0.4888844
expected_bandwidth_utilization	0.48888502280753093

rounded_expected_bandwidth_utilization	0.97776880000000077

bandwidth_utilization_p99	0.48888440000000039

[frame_summary]
frame_id	priority	period_ms	deadline_ms	trans_time_ms	expected_retry_count	expected_tx_count	rounded_expected_retry_count	rounded_expected_tx_count	retry_p99	tx_count_p99	expected_wcrt_ms	p_timeout	wcrt_p95_ms
0	10	10	10	0.039600000000000003	4.9120003025792202e-07	1.0000004912000302	1	2	0	1	0.49120003025792192	0	0.49120000000000008
1	11	10	10	0.039600000000000003	5.3080003269728205e-07	1.0000005308000326	1	2	0	1	0.53080003269728215	0	0.53080000000000016
2	12	10	10	0.039600000000000003	5.704000351366425e-07	1.0000005704000352	1	2	0	1	0.57040003513664228	0	0.57040000000000013
3	125	1000	1000	0.039600000000000003	6.4096004717466038e-06	1.0000064096004717	1	2	0	1	6.4096004717466002	0	6.4096000000000055
4	55	20	20	0.039600000000000003	2.6712001645459306e-06	1.0000026712001646	1	2	0	1	2.6712001645459331	0	2.6712000000000029
6	56	20	20	0.039600000000000003	2.7108001669852941e-06	1.000002710800167	1	2	0	1	2.7108001669852935	0	2.710800000000003
7	13	10	10	0.039600000000000003	6.1000003824213709e-07	1.0000006100000383	1	2	0	1	0.61000003757600352	1.1102230246251565e-16	0.6100000000000001
8	14	10	10	0.041599999999999998	6.5160004013856164e-07	1.0000006516000401	1	2	0	1	0.65160004013856243	0	0.65159999999999996
10	15	10	10	0.039600000000000003	6.912000425779222e-07	1.0000006912000425	1	2	0	1	0.69120004257792278	0	0.69120000000000004
11	92	100	100	0.0436	4.5464003353922231e-06	1.0000045464003353	1	2	0	1	4.5464003346150799	1.1102230246251565e-16	4.5464000000000047
12	16	10	10	0.039600000000000003	7.3080004501728287e-07	1.0000007308000449	1	2	0	1	0.73080004501728268	0	0.73079999999999989
13	93	100	100	0.039600000000000003	4.586000337529629e-06	1.0000045860003375	1	2	0	1	4.5860003375296303	0	4.5860000000000056
14	94	100	100	0.039600000000000003	4.625600341221348e-06	1.0000046256003412	1	2	0	1	4.6256003404442012	1.1102230246251565e-16	4.6256000000000057
