# Signal deterministic-WCRT CDF pooling summary.
# Pooling method: merge all signal threshold_wcrt_ms samples from all datasets under the same config.

config	scheme	sample_count	min_wcrt_ms	p50_wcrt_ms	p95_wcrt_ms	max_wcrt_ms
E5S50_5ecu_50signals	foundation	500	0.05040000000025202	0.8740000000001942	1.8772000000000015	2.2828000000000017
E5S50_5ecu_50signals	baseline1	500	0.045200000000193086	0.9350000000004002	1.9212000000003968	2.324800000000002
E5S80_5ecu_80signals	foundation	800	0.05280000000010432	1.293800000000033	2.7808000000003403	3.3666
E5S80_5ecu_80signals	baseline1	800	0.05980000000022301	1.4650000000001455	2.950800000000868	3.5482
E5S120_5ecu_120signals	foundation	1200	0.06920000000036453	1.6980000000004338	3.9008000000005723	4.8906
E5S120_5ecu_120signals	baseline1	1200	0.06780000000094333	2.0008000000003676	4.593799999999999	5.727200000000001
E5S150_5ecu_150signals	foundation	1500	0.0822000000001708	1.9322000000002504	4.930399999999998	6.5444
E5S150_5ecu_150signals	baseline1	1500	0.10400000000015552	2.802800000000218	6.376599999999996	7.615400000000002
E5S200_5ecu_200signals	foundation	2000	0.07700000000022555	2.7564000000002125	6.858800000000003	9.660800000000004
E5S200_5ecu_200signals	baseline1	2000	0.08700000000033015	3.744200000000262	8.69760000000116	17.985800000000005
E5S250_5ecu_250signals	foundation	2500	0.08080000000006748	3.601000000000454	7.9662000000026865	17.02779999999999
E5S250_5ecu_250signals	baseline1	2250	0.0979999999999972	4.966999999999997	9.946200000000003	18.773400000000013
E8S50_8ecu_50signals	foundation	500	0.0674000000000774	1.1652000000001408	2.4272000000004823	2.7580000000000005
E8S50_8ecu_50signals	baseline1	500	0.06840000000022428	1.21120000000019	2.4456000000005815	2.7740000000000005
E8S80_8ecu_80signals	foundation	800	0.05300000000067939	1.695800000000247	3.651400000000649	4.0192
E8S80_8ecu_80signals	baseline1	800	0.060400000000242926	1.7048000000003185	3.72040000000095	4.2752
E8S120_8ecu_120signals	foundation	1200	0.068000000000211	2.4444000000003143	5.777	6.952399999999994
E8S120_8ecu_120signals	baseline1	1200	0.07860000000073342	2.6512000000005287	5.966599999999999	7.361599999999992
E8S150_8ecu_150signals	foundation	1500	0.0600000000000005	2.8618000000003576	7.335599999999996	8.656599999999997
E8S150_8ecu_150signals	baseline1	1500	0.07440000000042346	3.4778000000002294	7.792800000000398	16.581400000000013
E8S200_8ecu_200signals	foundation	2000	0.08460000000002488	3.8952000000000275	9.719600000000003	17.575199999999974
E8S200_8ecu_200signals	baseline1	2000	0.0786000000004492	4.755400000000236	17.572800000000026	37.87960000000019
E8S250_8ecu_250signals	foundation	1500	0.09120000000314121	4.692000000001599	17.010400000000015	19.43520000000001
E8S250_8ecu_250signals	baseline1	1250	0.1080000000011978	6.025400000004083	19.95520000000147	50.01420000000013
