# Average WCRT by config and scheme, derived from ASIL-T-D grouped tables.

ecu_count	signal_count	scheme	avg_wcrt_ms
5	50	foundation	0.9815072818129676
5	50	baseline1	1.0238045311583273
5	80	foundation	1.2653538655223042
5	80	baseline1	1.4017577267363381
5	120	foundation	1.851102865085522
5	120	baseline1	2.1181900417722765
5	150	foundation	2.203348004390651
5	150	baseline1	2.6580231249794415
5	200	foundation	2.943464930456119
5	200	baseline1	3.733791039293833
5	250	foundation	3.7788726567035367
5	250	baseline1	5.554542572461192
8	50	foundation	1.1701317420880888
8	50	baseline1	1.2083027310345942
8	80	foundation	1.6798868011169545
8	80	baseline1	1.7375600300012377
8	120	foundation	2.520757949823978
8	120	baseline1	2.66281919116429
8	150	foundation	3.1699937169321646
8	150	baseline1	3.6840906191280194
8	200	foundation	4.580706078508307
8	200	baseline1	6.140048498374748
8	250	foundation	6.200329195746623
8	250	baseline1	8.998582482904364
