# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E5S50_5ecu_50signals_001	foundation	823019	23	1	1	0	40	20	10	10	0	0.039600000000000003	1	2	20	20	A	0	0	4	3
E5S50_5ecu_50signals_001	foundation	46529824	39	1	2	0	6	23	20	20	0	0.039600000000000003	1	2	20	20	B	1	0	2	4
E5S50_5ecu_50signals_001	foundation	46529824	39	2	2	1	13	12	10	10	0	0.039600000000000003	1	4	20	20	B	1	0	2	4
E5S50_5ecu_50signals_001	foundation	59486285	12	1	2	0	8	10	10	10	0	0.039600000000000003	1	2	10	10	B	1	0	2	3
E5S50_5ecu_50signals_001	foundation	59486285	12	2	2	1	28	17	10	10	0	0.039600000000000003	1	1	10	10	B	1	0	2	3
E5S50_5ecu_50signals_001	foundation	115494885	9	1	1	0	13	12	10	10	0	0.039600000000000003	1	4	20	20	A	0	0	2	4
E5S50_5ecu_50signals_001	foundation	249062567	19	1	2	0	2	0	1	1	0	0.039600000000000003	1	1	1	1	C	2	0	0	1
E5S50_5ecu_50signals_001	foundation	249062567	19	2	2	1	3	1	1	1	0	0.039600000000000003	1	1	1	1	C	2	0	0	1
E5S50_5ecu_50signals_001	foundation	327448223	34	1	1	0	19	15	10	10	0	0.039600000000000003	1	3	10	10	A	0	0	1	0
E5S50_5ecu_50signals_001	foundation	333718847	29	1	1	0	48	37	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	1	4
E5S50_5ecu_50signals_001	foundation	378270622	49	1	1	0	13	12	10	10	0	0.039600000000000003	1	4	10	10	A	0	0	2	4
E5S50_5ecu_50signals_001	foundation	503850647	36	1	1	0	19	15	10	10	0	0.039600000000000003	1	3	10	10	A	0	0	1	0
E5S50_5ecu_50signals_001	foundation	597944719	11	1	1	0	5	9	10	10	0	0.039600000000000003	1	3	20	20	A	0	0	0	1
E5S50_5ecu_50signals_001	foundation	632843880	10	1	1	0	45	5	2	2	0	0.039600000000000003	1	1	2	2	A	0	0	2	0
E5S50_5ecu_50signals_001	foundation	685956522	26	1	1	0	26	25	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	4	0
E5S50_5ecu_50signals_001	foundation	883007304	45	1	1	0	51	27	20	20	0	0.041599999999999998	2	1	20	20	A	0	0	3	0
E5S50_5ecu_50signals_001	foundation	960578645	7	1	1	0	42	21	10	10	0	0.039600000000000003	1	2	20	20	A	0	0	0	4
E5S50_5ecu_50signals_001	foundation	1010456893	5	1	1	0	7	30	100	100	0	0.039600000000000003	1	2	100	100	A	0	0	0	1
E5S50_5ecu_50signals_001	foundation	1104613694	31	1	1	0	8	10	10	10	0	0.039600000000000003	1	2	10	10	A	0	0	2	3
E5S50_5ecu_50signals_001	foundation	1462439579	28	1	2	0	15	31	100	100	0	0.039600000000000003	1	1	100	100	D	3	0	0	3
E5S50_5ecu_50signals_001	foundation	1462439579	28	2	2	1	46	36	100	100	0	0.039600000000000003	1	1	100	100	D	3	0	0	3
E5S50_5ecu_50signals_001	foundation	1670588295	40	1	1	0	35	4	2	2	0	0.039600000000000003	1	1	2	2	A	0	0	2	1
E5S50_5ecu_50signals_001	foundation	1756405664	37	1	1	0	36	19	10	10	0	0.039600000000000003	1	2	20	20	A	0	0	2	1
E5S50_5ecu_50signals_001	foundation	1775452876	30	1	1	0	47	26	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	1	4
E5S50_5ecu_50signals_001	foundation	1900032503	6	1	1	0	22	32	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	3	4
E5S50_5ecu_50signals_001	foundation	1940123095	44	1	1	0	36	19	10	10	0	0.039600000000000003	1	2	10	10	A	0	0	2	1
E5S50_5ecu_50signals_001	foundation	1947942967	22	1	1	0	16	13	10	10	0	0.039600000000000003	1	2	10	10	A	0	0	3	1
E5S50_5ecu_50signals_001	foundation	1952021660	35	1	2	0	18	14	10	10	0	0.039600000000000003	1	2	10	10	B	1	0	1	2
E5S50_5ecu_50signals_001	foundation	1952021660	35	2	2	1	39	8	5	5	0	0.039600000000000003	1	2	10	10	B	1	0	1	2
E5S50_5ecu_50signals_001	foundation	2315497312	41	1	1	0	44	39	1000	1000	0	0.039600000000000003	1	1	1000	1000	A	0	0	4	1
E5S50_5ecu_50signals_001	foundation	2352731911	14	1	2	0	31	28	50	50	0	0.039600000000000003	1	2	100	100	B	1	0	0	2
E5S50_5ecu_50signals_001	foundation	2352731911	14	2	2	1	33	34	100	100	0	0.039600000000000003	1	1	100	100	B	1	0	0	2
E5S50_5ecu_50signals_001	foundation	2381033674	25	1	1	0	34	18	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	4	2
E5S50_5ecu_50signals_001	foundation	2584214471	46	1	1	0	31	28	50	50	0	0.039600000000000003	1	2	50	50	A	0	0	0	2
E5S50_5ecu_50signals_001	foundation	2719530712	8	1	2	0	6	23	20	20	0	0.039600000000000003	1	2	20	20	C	2	0	2	4
E5S50_5ecu_50signals_001	foundation	2719530712	8	2	2	1	13	12	10	10	0	0.039600000000000003	1	4	20	20	C	2	0	2	4
E5S50_5ecu_50signals_001	foundation	2853919926	27	1	2	0	30	2	1	1	0	0.039600000000000003	1	1	1	1	C	2	0	0	2
E5S50_5ecu_50signals_001	foundation	2853919926	27	2	2	1	32	3	1	1	0	0.039600000000000003	1	1	1	1	C	2	0	0	2
E5S50_5ecu_50signals_001	foundation	2975347992	13	1	1	0	25	33	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	0	4
E5S50_5ecu_50signals_001	foundation	3024909092	3	1	1	0	21	24	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	3	4
