# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202653_15533\retry_probability_reports\E8S80_8ecu_80signals_006.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.34523319999999985	0.34523319999999985	80	20	1
baseline1	0.35771320000000006	0.35771320000000006	80	30	1
baseline2	0.26483057309552022	0.26483040000000002	80	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	60	0.07357375333336337	0.15240000000034115
foundation	B	8	0.091584000000014196	0.14112000000002353
foundation	C	8	0.08048240000004904	0.15380000000002383
foundation	D	4	0.081125900000010923	0.13398000000001672
baseline1	A	60	0.0801108333333512	0.17480000000017526
baseline1	B	8	0.1130505000000096	0.16532000000001404
baseline1	C	8	0.088270750000027667	0.17480000000017526
baseline1	D	4	0.065254600000005089	0.12162000000000717
baseline2	A	60	0.065048786666666664	0.1608
baseline2	B	8	0.059298500000000004	0.12171999999999997
baseline2	C	8	0.062211349999999999	0.12627999999999995
baseline2	D	4	0.051483000000000008	0.089500000000000024

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	60	4.4866665637426674e-08	6.9599997577920062e-08
foundation	B	8	1.9200599133901068e-15	3.3017598098186309e-15
foundation	C	8	1.7632599257384259e-15	1.988159911328067e-15
foundation	D	4	1.8385599209831061e-15	2.0793599051811871e-15
baseline1	A	60	3.6899999563446657e-08	6.9599997577920062e-08
baseline1	B	8	2.0148599057921869e-15	3.7945597662551131e-15
baseline1	C	8	1.8653599189311866e-15	2.2657598921498278e-15
baseline1	D	4	1.8603599195791862e-15	2.0793599051811871e-15
baseline2	A	60	2.9605947323337507e-17	2.2204460492503131e-16
baseline2	B	8	5.5511151231257827e-17	1.1102230246251565e-16
baseline2	C	8	4.163336342344337e-17	2.2204460492503131e-16
baseline2	D	4	2.7755575615628914e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	60	0
foundation	B	8	8
foundation	C	8	8
foundation	D	4	4
baseline1	A	60	10
baseline1	B	8	8
baseline1	C	8	8
baseline1	D	4	4
baseline2	A	60	0
baseline2	B	8	0
baseline2	C	8	0
baseline2	D	4	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	1912298311	D	3	0	20	4	7	2	1	1.813759922733826e-15	5.5555555555555561e-14	1.7936000000002537	1.7763568394002505e-15	1.7936000000002537	1.7936000000002537
foundation	2182195772	D	3	0	20	6	5	2	1	2.0793599051811871e-15	5.5555555555555561e-14	2.6796000000003346	2.1094237467877974e-15	2.6796000000003346	2.6796000000003346
foundation	2912154881	D	3	0	20	7	2	2	1	1.7305599280087053e-15	5.5555555555555561e-14	1.9384000000002857	1.6653345369377348e-15	1.9384000000002857	1.9384000000002857
foundation	428049859	D	3	0	1000	2	0	2	1	1.7305599280087053e-15	2.7777777777777777e-12	3.9236	1.6653345369377348e-15	3.9236	3.9236
foundation	246717001	C	2	0	1	1	0	2	1	1.988159911328067e-15	2.7777777777777774e-14	0.10880000000031487	1.9984014443252818e-15	0.10880000000031487	0.10880000000031487
foundation	1939486731	C	2	0	10	6	0	2	1	1.8969599172925461e-15	2.7777777777777779e-13	1.5380000000002383	1.8873791418627661e-15	1.5380000000002383	1.5380000000002383
foundation	1724309666	C	2	0	20	1	2	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.348800000000324	1.5543122344752192e-15	2.348800000000324	2.348800000000324
foundation	3306075808	C	2	0	20	6	4	2	1	1.8969599172925461e-15	5.5555555555555559e-13	2.0196000000003096	1.8873791418627661e-15	2.0196000000003096	2.0196000000003096
foundation	3386733407	C	2	0	20	2	6	2	1	1.7265599281751066e-15	5.5555555555555559e-13	2.3884000000003311	1.7763568394002505e-15	2.3884000000003311	2.3884000000003311
foundation	2630609470	C	2	0	100	1	3	2	1	1.7305599280087053e-15	2.7777777777777777e-12	3.5572000000005346	1.6653345369377348e-15	3.5572000000005346	3.5572000000005346
foundation	2186847187	C	2	0	1000	7	0	2	1	1.5681599379008662e-15	2.7777777777777777e-11	3.8820000000000001	1.5543122344752192e-15	3.8820000000000001	3.8820000000000001
foundation	2851044892	C	2	0	1000	4	3	2	1	1.7305599280087053e-15	2.7777777777777777e-11	3.9651999999999998	1.6653345369377348e-15	3.9651999999999998	3.9651999999999998
foundation	947935206	B	1	0	10	2	0	2	1	3.3017598098186309e-15	2.7777777777777779e-13	1.2052000000002181	3.3306690738754696e-15	1.2052000000002181	1.2052000000002181
foundation	1149581525	B	1	0	10	2	7	2	1	1.8969599172925461e-15	2.7777777777777779e-13	1.2508000000001971	1.8873791418627661e-15	1.2508000000001971	1.2508000000001971
foundation	4042337429	B	1	0	10	1	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.4112000000002354	1.5543122344752192e-15	1.4112000000002354	1.4112000000002354
foundation	4209316198	B	1	0	10	3	7	2	1	2.0793599051811871e-15	2.7777777777777779e-13	0.93360000000012633	2.1094237467877974e-15	0.93360000000012633	0.93360000000012633
foundation	3721336736	B	1	0	20	4	6	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.4676000000003455	1.5543122344752192e-15	2.4676000000003455	2.4676000000003455
foundation	4290148588	B	1	0	50	5	3	2	1	1.5681599379008662e-15	1.3888888888888889e-12	2.8004000000003657	1.5543122344752192e-15	2.8004000000003657	2.8004000000003657
foundation	1982477845	B	1	0	100	6	0	2	1	1.6473599331171859e-15	2.7777777777777777e-12	3.6800000000005753	1.6653345369377348e-15	3.6800000000005753	3.6800000000005753
foundation	4261142148	B	1	0	100	0	2	2	1	1.7305599280087053e-15	2.7777777777777777e-12	3.6404000000005681	1.6653345369377348e-15	3.6404000000005681	3.6404000000005681
