# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202653_15533\retry_probability_reports\E5S120_5ecu_120signals_008.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.4153451999999998	0.4153451999999998	120	31	1
baseline1	0.48631919999999995	0.48631919999999995	120	79	1
baseline2	0.28738616143179418	0.28738599999999997	120	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	90	0.068052955555567549	0.26520000000010668
foundation	B	12	0.081617833333339815	0.17280000000001791
foundation	C	12	0.091352300000022188	0.21960000000012769
foundation	D	6	0.10525966666669291	0.21960000000012769
baseline1	A	90	0.10258644444444925	0.27240000000006148
baseline1	B	12	0.13056350000000114	0.25304000000000071
baseline1	C	12	0.11990466666667519	0.33400000000006003
baseline1	D	6	0.12091833333334495	0.33400000000006003
baseline2	A	90	0.06171188888888883	0.28539999999999999
baseline2	B	12	0.053575166666666674	0.13603999999999999
baseline2	C	12	0.07752966666666665	0.19619999999999999
baseline2	D	6	0.078785999999999995	0.19619999999999999

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	90	5.2988887419881087e-08	1.025999947366202e-07
foundation	B	12	2.2440932242476945e-15	3.1785598200935101e-15
foundation	C	12	2.238093226469561e-15	2.8729598460093496e-15
foundation	D	6	1.852266596786018e-15	2.6625598626119082e-15
baseline1	A	90	2.6040001075473667e-08	7.859999691102008e-08
baseline1	B	12	4.0497763214446552e-15	1.8117157561430457e-14
baseline1	C	12	3.5196163946176427e-15	1.8117157561430457e-14
baseline1	D	6	2.4381332369220713e-15	3.7945597662551131e-15
baseline2	A	90	4.9343245538895848e-18	1.1102230246251565e-16
baseline2	B	12	0	0
baseline2	C	12	0	0
baseline2	D	6	1.8503717077085941e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	90	0
foundation	B	12	12
foundation	C	12	12
foundation	D	6	7
baseline1	A	90	46
baseline1	B	12	12
baseline1	C	12	14
baseline1	D	6	7
baseline2	A	90	0
baseline2	B	12	0
baseline2	C	12	0
baseline2	D	6	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	3470974534	A	0	0	5	1	0	1	0	4.3599999049520024e-08	1	0.37680000000000291	4.3599999055565775e-08	0.37680000000000291	0.37680000000000291
foundation	40049952	A	0	0	10	2	1	1	0	4.7599998867120025e-08	1	0.28160000000002583	4.7599998831415746e-08	0.28160000000002583	0.28160000000002583
foundation	139209770	A	0	0	10	4	3	1	0	5.1599998668720023e-08	1	0.6268000000001166	5.159999871828802e-08	0.6268000000001166	0.6268000000001166
foundation	698714325	A	0	0	10	2	0	1	0	4.5599998960320021e-08	1	0.52560000000005402	4.5599998999001912e-08	0.52560000000005402	0.52560000000005402
foundation	920378084	A	0	0	10	0	1	1	0	5.1599998668720023e-08	1	0.33320000000003347	5.159999871828802e-08	0.33320000000003347	0.33320000000003347
foundation	947350951	A	0	0	10	2	1	1	0	6.1599998102720045e-08	1	0.48000000000001819	6.1599998102401798e-08	0.48000000000001819	0.48000000000001819
foundation	1407859699	A	0	0	10	0	1	1	0	5.3599998563520031e-08	1	0.68040000000007694	5.3599998550701855e-08	0.68040000000007694	0.68040000000007694
foundation	1605461567	A	0	0	10	4	1	1	0	6.9599997577920062e-08	1	1.325200000000109	6.9599997543079439e-08	1.325200000000109	1.325200000000109
foundation	1626712559	A	0	0	10	4	1	1	0	6.9599997577920062e-08	1	1.325200000000109	6.9599997543079439e-08	1.325200000000109	1.325200000000109
foundation	1952368384	A	0	0	10	1	4	1	0	4.3599999049520024e-08	1	1.6128000000001066	4.3599999055565775e-08	1.6128000000001066	1.6128000000001066
foundation	2008650676	A	0	0	10	1	3	1	0	4.5599998960320021e-08	1	1.5692000000001372	4.5599998999001912e-08	1.5692000000001372	1.5692000000001372
foundation	2056426463	A	0	0	10	1	0	1	0	6.9599997577920062e-08	1	1.7280000000001792	6.9599997543079439e-08	1.7280000000001792	1.7280000000001792
foundation	2235029889	A	0	0	10	1	3	1	0	4.5599998960320021e-08	1	1.5692000000001372	4.5599998999001912e-08	1.5692000000001372	1.5692000000001372
foundation	2287388621	A	0	0	10	2	3	1	0	4.1599999134720006e-08	1	0.8728000000000975	4.1599999112129638e-08	0.8728000000000975	0.8728000000000975
foundation	2352605903	A	0	0	10	2	3	1	0	4.1599999134720006e-08	1	0.8728000000000975	4.1599999112129638e-08	0.8728000000000975	0.8728000000000975
foundation	2430047904	A	0	0	10	1	2	1	0	4.3599999049520024e-08	1	0.83120000000008076	4.3599999055565775e-08	0.83120000000008076	0.83120000000008076
foundation	2626236481	A	0	0	10	2	0	1	0	4.9599998769920027e-08	1	0.57520000000010896	4.9599998774851883e-08	0.57520000000010896	0.57520000000010896
foundation	2659267286	A	0	0	10	2	0	1	0	4.9599998769920027e-08	1	0.57520000000010896	4.9599998774851883e-08	0.57520000000010896	0.57520000000010896
foundation	3020320763	A	0	0	10	0	3	1	0	4.1599999134720006e-08	1	1.0216000000000918	4.1599999112129638e-08	1.0216000000000918	1.0216000000000918
foundation	3329394729	A	0	0	10	4	1	1	0	6.9599997577920062e-08	1	1.325200000000109	6.9599997543079439e-08	1.325200000000109	1.325200000000109
foundation	3379433376	A	0	0	10	4	3	1	0	6.1599998102720045e-08	1	0.74200000000007549	6.1599998102401798e-08	0.74200000000007549	0.74200000000007549
foundation	3496950476	A	0	0	10	4	1	1	0	6.9599997577920062e-08	1	1.325200000000109	6.9599997543079439e-08	1.325200000000109	1.325200000000109
foundation	3510519932	A	0	0	10	4	2	1	0	4.1599999134720006e-08	1	0.41840000000001965	4.1599999112129638e-08	0.41840000000001965	0.41840000000001965
foundation	3612761212	A	0	0	10	1	2	1	0	4.5599998960320021e-08	1	0.78760000000011132	4.5599998999001912e-08	0.78760000000011132	0.78760000000011132
foundation	3713790884	A	0	0	10	4	3	1	0	5.1599998668720023e-08	1	0.6268000000001166	5.159999871828802e-08	0.6268000000001166	0.6268000000001166
foundation	3946757945	A	0	0	10	0	1	1	0	5.3599998563520031e-08	1	0.68040000000007694	5.3599998550701855e-08	0.68040000000007694	0.68040000000007694
foundation	4051406359	A	0	0	10	4	3	1	0	6.1599998102720045e-08	1	0.74200000000007549	6.1599998102401798e-08	0.74200000000007549	0.74200000000007549
foundation	29941151	A	0	0	20	3	2	1	0	1.025999947366202e-07	1	1.9178000000001703	1.0259999472239656e-07	1.9178000000001703	1.9178000000001703
foundation	111197401	A	0	0	20	2	4	1	0	3.9599999215920021e-08	1	2.00100000000009	3.95999991686935e-08	2.00100000000009	2.00100000000009
foundation	915292185	A	0	0	20	1	0	1	0	6.9599997577920062e-08	1	1.7280000000001792	6.9599997543079439e-08	1.7280000000001792	1.7280000000001792
