# Average bandwidth-utilization data used for plotting.

config	ecu_count	signal_count	scheme	avg_bandwidth_utilization
E5S50_5ecu_50signals	5	50	foundation	0.24964683999999998
E5S50_5ecu_50signals	5	50	baseline1	0.26442484
E5S50_5ecu_50signals	5	50	baseline2	0.18521590257906645
E5S80_5ecu_80signals	5	80	foundation	0.32468144
E5S80_5ecu_80signals	5	80	baseline1	0.34758204
E5S80_5ecu_80signals	5	80	baseline2	0.23850358105109654
E5S120_5ecu_120signals	5	120	foundation	0.4608478599999999
E5S120_5ecu_120signals	5	120	baseline1	0.50959406
E5S120_5ecu_120signals	5	120	baseline2	0.3367410915805274
E5S150_5ecu_150signals	5	150	foundation	0.51399476
E5S150_5ecu_150signals	5	150	baseline1	0.5869027600000002
E5S150_5ecu_150signals	5	150	baseline2	0.3743136082550403
E5S200_5ecu_200signals	5	200	foundation	0.62156956
E5S200_5ecu_200signals	5	200	baseline1	0.7114635
E5S200_5ecu_200signals	5	200	baseline2	0.45374647555659886
E5S250_5ecu_250signals	5	250	foundation	0.7240376799999999
E5S250_5ecu_250signals	5	250	baseline1	0.8429622222222223
E5S250_5ecu_250signals	5	250	baseline2	0.5278423564079846
E8S50_8ecu_50signals	8	50	foundation	0.2687638
E8S50_8ecu_50signals	8	50	baseline1	0.2757257999999999
E8S50_8ecu_50signals	8	50	baseline2	0.21029328915535878
E8S80_8ecu_80signals	8	80	foundation	0.35506006000000007
E8S80_8ecu_80signals	8	80	baseline1	0.36147926
E8S80_8ecu_80signals	8	80	baseline2	0.2857011527767651
E8S120_8ecu_120signals	8	120	foundation	0.5096268800000001
E8S120_8ecu_120signals	8	120	baseline1	0.53261248
E8S120_8ecu_120signals	8	120	baseline2	0.3863841005065314
E8S150_8ecu_150signals	8	150	foundation	0.5923952799999999
E8S150_8ecu_150signals	8	150	baseline1	0.6481094800000001
E8S150_8ecu_150signals	8	150	baseline2	0.46058124219766333
E8S200_8ecu_200signals	8	200	foundation	0.7275661999999997
E8S200_8ecu_200signals	8	200	baseline1	0.8134695999999998
E8S200_8ecu_200signals	8	200	baseline2	0.5340081917157905
E8S250_8ecu_250signals	8	250	foundation	0.8141826999999999
E8S250_8ecu_250signals	8	250	baseline1	0.9029513199999999
E8S250_8ecu_250signals	8	250	baseline2	0.6150479623494532
