# Signal deterministic-WCRT CDF pooling summary.
# Pooling method: merge all signal threshold_wcrt_ms samples from all datasets under the same config.

config	scheme	sample_count	min_wcrt_ms	p50_wcrt_ms	p95_wcrt_ms	max_wcrt_ms
E5S50_5ecu_50signals	foundation	500	0.069200000000194	0.7544000000001461	1.7048000000003185	1.9048000000000014
E5S50_5ecu_50signals	baseline1	500	0.069200000000194	0.7920000000001437	1.7088000000003376	1.9088000000000016
E5S80_5ecu_80signals	foundation	800	0.06920000000042137	0.9168000000001939	2.386000000000479	2.6652000000000027
E5S80_5ecu_80signals	baseline1	800	0.05160000000029186	1.037600000000225	2.4236000000000026	2.6792000000000025
E5S120_5ecu_120signals	foundation	1200	0.05360000000024456	1.352400000000273	3.0040000000005875	3.661200000000005
E5S120_5ecu_120signals	baseline1	1200	0.05560000000042464	1.5328000000004067	3.2480000000000038	3.681200000000005
E5S150_5ecu_150signals	foundation	1500	0.0596000000003869	1.4956000000003087	3.5388000000007196	4.608000000000007
E5S150_5ecu_150signals	baseline1	1500	0.07200000000068485	1.6916000000002782	3.7320000000000038	4.693600000000007
E5S200_5ecu_200signals	foundation	2000	0.05960000000021637	1.6852000000004068	3.929200000000833	5.661600000000007
E5S200_5ecu_200signals	baseline1	2000	0.07160000000061473	1.9808000000004995	4.476400000001092	5.777200000000003
E5S250_5ecu_250signals	foundation	2500	0.05560000000025411	1.8756000000004178	4.760800000000005	6.7392000000000065
E5S250_5ecu_250signals	baseline1	2500	0.06760000000019772	2.6464000000003693	5.800800000000004	7.604400000000005
E8S50_8ecu_50signals	foundation	500	0.069200000000194	0.9108000000001653	2.0216000000000016	2.4988000000000024
E8S50_8ecu_50signals	baseline1	500	0.069200000000194	0.9128000000001748	2.021600000000376	2.4988000000000024
E8S80_8ecu_80signals	foundation	800	0.069200000000194	1.469200000000285	3.2908000000006155	3.805600000000005
E8S80_8ecu_80signals	baseline1	800	0.069200000000194	1.5088000000002921	3.334400000000004	3.809600000000005
E8S120_8ecu_120signals	foundation	1200	0.069200000000194	1.9624000000003434	4.845200000000007	5.9304000000000086
E8S120_8ecu_120signals	baseline1	1200	0.069200000000194	2.322800000000427	4.920800000000006	6.013600000000009
E8S150_8ecu_150signals	foundation	1500	0.069200000000194	2.496800000000462	5.984000000001117	7.414400000000011
E8S150_8ecu_150signals	baseline1	1500	0.06920000000076243	2.650000000000489	6.451200000001165	7.870000000000011
E8S200_8ecu_200signals	foundation	2000	0.0732000000002131	2.790000000000532	7.378400000001193	9.433200000000015
E8S200_8ecu_200signals	baseline1	2000	0.04960000000045284	2.980800000000613	7.527200000000008	9.483200000000014
E8S250_8ecu_250signals	foundation	2500	0.06560000000052923	3.362800000000732	8.699200000001724	14.554400000000033
E8S250_8ecu_250signals	baseline1	2500	0.06400000000076034	3.7336000000009335	9.353200000000014	16.79680000000004
E12S50_12ecu_50signals	foundation	500	0.069200000000194	1.190000000000225	2.4236000000000026	2.734400000000003
E12S50_12ecu_50signals	baseline1	500	0.069200000000194	1.1960000000002537	2.4572000000000025	2.734400000000003
E12S80_12ecu_80signals	foundation	800	0.069200000000194	1.7444000000003257	3.764000000000692	4.518400000000006
E12S80_12ecu_80signals	baseline1	800	0.069200000000194	1.7444000000003257	3.803600000000005	4.597600000000006
E12S120_12ecu_120signals	foundation	1200	0.069200000000194	2.6968000000005077	5.9144000000000085	6.869200000000012
E12S120_12ecu_120signals	baseline1	1200	0.069200000000194	2.7324000000004958	5.954000000000009	6.877200000000011
E12S150_12ecu_150signals	foundation	1500	0.069200000000194	3.267200000000571	7.435600000000011	9.425200000000013
E12S150_12ecu_150signals	baseline1	1500	0.069200000000194	3.4180000000006316	7.629600000000011	9.790800000000013
E12S200_12ecu_200signals	foundation	2000	0.07120000000088567	3.976400000000865	9.688400000000016	15.864800000000029
E12S200_12ecu_200signals	baseline1	2000	0.07320000000095206	4.431200000002605	9.926400000001934	16.78960000000003
E12S250_12ecu_250signals	foundation	2500	0.07600000000212503	4.738400000000979	16.92960000000003	19.01280000000003
E12S250_12ecu_250signals	baseline1	2500	0.06560000000291666	5.588800000000013	18.764000000000035	38.49360000000008
