# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_121049\retry_probability_reports\E5S200_5ecu_200signals_065.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.41640400000000005	0.41640400000000005	200	50	1
baseline1	0.44445600000000013	0.44445600000000013	200	136	1
baseline2	0.31495294884066594	0.31495279999999998	200	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	150	0.07259551200001492	0.23200000000000465
foundation	B	20	0.07047148000001599	0.17644000000004212
foundation	C	20	0.080553520000014686	0.19240000000000457
foundation	D	10	0.10449600000002475	0.16852000000004069
baseline1	A	150	0.086093645333385788	0.23800000000056798
baseline1	B	20	0.089146300000022188	0.19548000000004889
baseline1	C	20	0.09111596000007402	0.23800000000056798
baseline1	D	10	0.095505200000024562	0.17172000000004459
baseline2	A	150	0.057554565333333321	0.222
baseline2	B	20	0.048094199999999997	0.12795999999999996
baseline2	C	20	0.059220220000000011	0.18240000000000001
baseline2	D	10	0.062510799999999991	0.12399999999999997

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	150	4.0906665825562587e-08	6.1599998102720045e-08
foundation	B	20	1.6831999300691703e-15	2.4393598765683887e-15
foundation	C	20	1.6045999356666102e-15	1.813759922733826e-15
foundation	D	10	1.632719933959842e-15	1.813759922733826e-15
baseline1	A	150	1.7242667315652218e-08	4.5599998960320021e-08
baseline1	B	20	1.8064799212264982e-15	3.7945597662551131e-15
baseline1	C	20	1.6537599323816662e-15	2.4601598779760682e-15
baseline1	D	10	1.6501599328549462e-15	1.9009599171181472e-15
baseline2	A	150	1.0362081563168128e-17	1.1102230246251565e-16
baseline2	B	20	1.1102230246251566e-17	1.1102230246251565e-16
baseline2	C	20	1.6653345369377347e-17	1.1102230246251565e-16
baseline2	D	10	1.1102230246251566e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	150	0
foundation	B	20	20
foundation	C	20	20
foundation	D	10	10
baseline1	A	150	86
baseline1	B	20	20
baseline1	C	20	20
baseline1	D	10	10
baseline2	A	150	0
baseline2	B	20	0
baseline2	C	20	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	3749028501	C	2	0	20	0	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.63760000000013406	1.5543122344752192e-15	0.63760000000013406	0.63760000000013406
foundation	2063219161	C	2	0	50	4	1	2	1	1.5681599379008662e-15	1.3888888888888889e-12	2.691200000000606	1.5543122344752192e-15	2.691200000000606	2.691200000000606
foundation	185722582	C	2	0	100	0	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.5904000000007841	1.5543122344752192e-15	3.5904000000007841	3.5904000000007841
foundation	484672901	C	2	0	100	1	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.4280000000007362	1.5543122344752192e-15	3.4280000000007362	3.4280000000007362
foundation	737996344	C	2	0	100	4	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.0080000000006635	1.5543122344752192e-15	3.0080000000006635	3.0080000000006635
foundation	1124015068	C	2	0	100	1	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.7944000000007918	1.5543122344752192e-15	3.7944000000007918	3.7944000000007918
foundation	1620710050	C	2	0	100	3	4	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.834000000000799	1.5543122344752192e-15	3.834000000000799	3.834000000000799
foundation	1699062353	C	2	1	100	3	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.2872000000007233	1.5543122344752192e-15	3.2872000000007233	3.2872000000007233
foundation	3858397782	C	2	0	100	4	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.2476000000007161	1.5543122344752192e-15	3.2476000000007161	3.2476000000007161
foundation	3552150920	C	2	0	1000	2	3	2	1	1.5681599379008662e-15	2.7777777777777777e-11	4.390400000000005	1.5543122344752192e-15	4.390400000000005	4.390400000000005
foundation	2165545836	B	1	0	5	2	0	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.31880000000006703	1.5543122344752192e-15	0.31880000000006703	0.31880000000006703
foundation	263227661	B	1	0	10	4	1	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.83960000000018908	1.5543122344752192e-15	0.83960000000018908	0.83960000000018908
foundation	378320504	B	1	0	10	0	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.63760000000013406	1.5543122344752192e-15	0.63760000000013406	0.63760000000013406
foundation	2850947097	B	1	0	10	4	0	2	1	1.6473599331171859e-15	2.7777777777777779e-13	1.0000000000002274	1.5543122344752192e-15	1.0000000000002274	1.0000000000002274
foundation	3085968503	B	1	0	10	3	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.5208000000003494	1.5543122344752192e-15	1.5208000000003494	1.5208000000003494
foundation	3376535303	B	1	0	10	2	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.7644000000004212	1.5543122344752192e-15	1.7644000000004212	1.7644000000004212
foundation	3985061472	B	1	0	10	4	0	2	1	1.6473599331171859e-15	2.7777777777777779e-13	1.0000000000002274	1.5543122344752192e-15	1.0000000000002274	1.0000000000002274
foundation	4080361309	B	1	0	10	2	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.31880000000006703	1.5543122344752192e-15	0.31880000000006703	0.31880000000006703
foundation	102888835	B	1	0	20	0	1	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.6456000000003996	1.5543122344752192e-15	1.6456000000003996	1.6456000000003996
foundation	757816083	B	1	0	20	2	3	2	1	1.7305599280087053e-15	5.5555555555555559e-13	1.4020000000003279	1.6653345369377348e-15	1.4020000000003279	1.4020000000003279
