# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_121049\retry_probability_reports\E5S150_5ecu_150signals_046.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.385436	0.385436	150	37	1
baseline1	0.42517599999999994	0.42517599999999994	150	99	1
baseline2	0.26083371690063217	0.26083359999999994	150	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	113	0.069218523893860406	0.15944000000004052
foundation	B	15	0.084689893333386251	0.19520000000028404
foundation	C	15	0.080086613333385459	0.17540000000028044
foundation	D	7	0.06548508571430138	0.10336000000002059
baseline1	A	113	0.088062913274391433	0.1953200000000436
baseline1	B	15	0.10040578666672399	0.19540000000026225
baseline1	C	15	0.082245306666714424	0.18124000000004231
baseline1	D	7	0.064939714285728714	0.095440000000019148
baseline2	A	113	0.054955323893805343	0.14280000000000001
baseline2	B	15	0.050144879999999996	0.11647999999999996
baseline2	C	15	0.053937439999999996	0.13080000000000003
baseline2	D	7	0.038602342857142855	0.068159999999999998

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	113	4.1299114182758881e-08	6.1599998102720045e-08
foundation	B	15	1.6695465978069784e-15	2.4393598765683887e-15
foundation	C	15	1.6225599345474793e-15	1.9009599171181472e-15
foundation	D	7	1.6134170780244774e-15	1.6473599331171859e-15
baseline1	A	113	1.8279646664479965e-08	4.7599998867120025e-08
baseline1	B	15	1.7945065882387011e-15	3.7945597662551131e-15
baseline1	C	15	1.6677332650294634e-15	2.0793599051811871e-15
baseline1	D	7	1.660959932248203e-15	1.7305599280087053e-15
baseline2	A	113	8.8424842669260254e-18	1.1102230246251565e-16
baseline2	B	15	1.4802973661668754e-17	1.1102230246251565e-16
baseline2	C	15	7.4014868308343768e-18	1.1102230246251565e-16
baseline2	D	7	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	113	0
foundation	B	15	15
foundation	C	15	15
foundation	D	7	7
baseline1	A	113	62
baseline1	B	15	15
baseline1	C	15	15
baseline1	D	7	7
baseline2	A	113	0
baseline2	B	15	0
baseline2	C	15	0
baseline2	D	7	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	202219306	D	3	0	5	1	2	2	1	1.5681599379008662e-15	1.388888888888889e-14	0.51680000000010295	1.5543122344752192e-15	0.51680000000010295	0.51680000000010295
foundation	435104099	D	3	0	20	0	1	2	1	1.6473599331171859e-15	5.5555555555555561e-14	1.7152000000004364	1.6653345369377348e-15	1.7152000000004364	1.7152000000004364
foundation	2800501793	D	3	0	20	4	3	2	1	1.6473599331171859e-15	5.5555555555555561e-14	1.6340000000004125	1.6653345369377348e-15	1.6340000000004125	1.6340000000004125
foundation	3429268343	D	3	0	20	0	3	2	1	1.6473599331171859e-15	5.5555555555555561e-14	1.2140000000003397	1.5543122344752192e-15	1.2140000000003397	1.2140000000003397
foundation	3703629888	D	3	0	20	2	0	2	1	1.6473599331171859e-15	5.5555555555555561e-14	1.9528000000004795	1.6653345369377348e-15	1.9528000000004795	1.9528000000004795
foundation	4096950511	D	3	0	100	3	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.5568000000005782	1.5543122344752192e-15	2.5568000000005782	2.5568000000005782
foundation	325913310	D	3	0	1000	4	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.6676000000000046	1.5543122344752192e-15	3.6676000000000046	3.6676000000000046
foundation	491053426	C	2	0	2	2	1	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.35080000000056089	1.5543122344752192e-15	0.35080000000056089	0.35080000000056089
foundation	2715737345	C	2	0	2	0	2	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.27160000000054652	1.5543122344752192e-15	0.27160000000054652	0.27160000000054652
foundation	889143632	C	2	0	10	0	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.2536000000003469	1.5543122344752192e-15	1.2536000000003469	1.2536000000003469
foundation	4157473141	C	2	0	10	0	3	2	1	1.6473599331171859e-15	2.7777777777777779e-13	1.2140000000003397	1.5543122344752192e-15	1.2140000000003397	1.2140000000003397
foundation	4256110203	C	2	0	10	1	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.5944000000004053	1.5543122344752192e-15	1.5944000000004053	1.5944000000004053
foundation	714492064	C	2	0	20	4	3	2	1	1.6473599331171859e-15	5.5555555555555559e-13	1.6340000000004125	1.6653345369377348e-15	1.6340000000004125	1.6340000000004125
foundation	1547773180	C	2	0	20	1	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.7548000000004436	1.5543122344752192e-15	1.7548000000004436	1.7548000000004436
foundation	2140043763	C	2	0	20	1	4	2	1	1.9009599171181472e-15	5.5555555555555559e-13	0.84360000000020818	1.8873791418627661e-15	0.84360000000020818	0.84360000000020818
foundation	3382992119	C	2	0	20	1	2	2	1	1.813759922733826e-15	5.5555555555555559e-13	1.6756000000004292	1.7763568394002505e-15	1.6756000000004292	1.6756000000004292
foundation	3647237667	C	2	0	20	0	3	2	1	1.6473599331171859e-15	5.5555555555555559e-13	1.2140000000003397	1.5543122344752192e-15	1.2140000000003397	1.2140000000003397
foundation	1182556800	C	2	0	100	0	4	2	1	1.5681599379008662e-15	2.7777777777777777e-12	3.4300000000007458	1.5543122344752192e-15	3.4300000000007458	3.4300000000007458
foundation	1571669256	C	2	0	100	2	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.95280000000065	1.5543122344752192e-15	2.95280000000065	2.95280000000065
