# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# ASIL 分组里的 wcrt_ratio 表示 WCRT/周期；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202649_155345\retry_probability_reports\M6_5ecu_225signals.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
foundation	0.75070799999999982	0.75070799999999982	225	55
baseline1	0.80505200000000021	0.80505200000000021	225	150
baseline2	0.43099607188468009	0.43099599999999999	225	0

# 按 ASIL 分组统计的 WCRT/周期 的 P95 结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	170	0.10015585882353036	0.35840000000000388
foundation	B	24	0.028825333333333553	0.098240000000000549
foundation	C	21	0.059660000000000532	0.16444000000000186
foundation	D	10	0.097484000000000584	0.16239999999999988
baseline1	A	170	0.099120988235295179	0.39116000000000495
baseline1	B	24	0.062852833333334537	0.18980000000000316
baseline1	C	21	0.071956190476192589	0.14736000000000188
baseline1	D	10	0.08898400000000585	0.1943600000000032
baseline2	A	170	0.070117082352941076	0.17603999999999997
baseline2	B	24	0.074148333333333316	0.17999999999999999
baseline2	C	21	0.10467714285714286	0.19439999999999999
baseline2	D	10	0.15592800000000001	0.27359999999999995

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	170	1.2588352860213723e-08	1.8791999823430371e-08
foundation	B	24	1.4114849230717383e-16	1.7905406160210802e-16
foundation	C	21	1.4047954802959916e-16	1.7905406160210802e-16
foundation	D	10	1.296278625160448e-16	1.5823382200910208e-16
baseline1	A	170	5.6922353517354071e-09	1.8791999823430371e-08
baseline1	B	24	1.5864206194743703e-16	2.7662341939919932e-16
baseline1	C	21	1.5005513638997257e-16	2.7662341939919932e-16
baseline1	D	10	1.3035103050249407e-16	1.6517390187718504e-16
baseline2	A	170	5.1876803506529004e-14	2.2759572004815709e-13
baseline2	B	24	4.6259292692714853e-18	1.1102230246251565e-16
baseline2	C	21	1.7464435944755384e-15	3.6453270879061277e-14
baseline2	D	10	2.1871962600529186e-14	3.6453270879061277e-14

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	170	0
foundation	B	24	24
foundation	C	21	21
foundation	D	10	10
baseline1	A	170	95
baseline1	B	24	24
baseline1	C	21	21
baseline1	D	10	10
baseline2	A	170	0
baseline2	B	24	0
baseline2	C	21	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms
foundation	145291079	D	3	0	1	1	3	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.16239999826361912	1.1102230246251565e-16	0.16239999999999988
foundation	614685431	D	3	0	1	4	2	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.16239999826361912	1.1102230246251565e-16	0.16239999999999988
foundation	1485650330	D	3	1	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777776e-15	0.079599999105932934	1.1102230246251565e-16	0.079600000000000115
foundation	1778470101	D	3	0	1	2	0	2	1	1.3857998236863647e-16	2.7777777777777776e-15	0.12559999852143811	1.1102230246251565e-16	0.12560000000000127
foundation	3618917042	D	3	1	1	3	0	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.081999999123257644	1.1102230246251565e-16	0.082000000000001627
foundation	4063005593	D	3	0	1	2	0	2	1	1.3857998236863647e-16	2.7777777777777776e-15	0.12559999852143811	1.1102230246251565e-16	0.12560000000000127
foundation	2486704225	D	3	0	2	1	2	2	1	1.2615782258299533e-16	5.5555555555555552e-15	0.079599999105932934	1.1102230246251565e-16	0.079600000000000115
foundation	4251812955	D	3	0	2	0	1	2	1	1.1431886277770274e-16	5.5555555555555552e-15	0.07799999916602697	1.1102230246251565e-16	0.078000000000002956
foundation	290648546	D	3	0	5	1	0	2	1	1.5823382200910208e-16	1.388888888888889e-14	0.73079999100239268	2.2204460492503131e-16	0.73080000000000211
foundation	3991608196	D	3	0	10	2	0	2	1	1.5129374213727148e-16	2.7777777777777781e-14	0.12279999855439644	1.1102230246251565e-16	0.12279999999999802
foundation	3056872340	C	2	0	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777774e-14	0.079599999105932934	1.1102230246251565e-16	0.079600000000000115
foundation	1516648366	C	2	0	2	1	0	2	1	1.1431886277770274e-16	5.5555555555555549e-14	0.07799999916602697	1.1102230246251565e-16	0.078000000000002956
foundation	1035949382	C	2	0	5	2	1	2	1	1.2586622258627062e-16	1.388888888888889e-13	0.12679999864425379	1.1102230246251565e-16	0.12679999999999936
foundation	2081522424	C	2	0	5	0	2	2	1	1.2009254268354555e-16	1.388888888888889e-13	0.52679999436745606	1.1102230246251565e-16	0.52680000000000149
foundation	2888072604	C	2	1	5	0	2	2	1	1.2009254268354555e-16	1.388888888888889e-13	0.52679999436745606	1.1102230246251565e-16	0.52680000000000149
foundation	3267995113	C	2	0	5	2	3	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.37639999597553514	1.1102230246251565e-16	0.37640000000000384
foundation	4232437735	C	2	0	5	3	1	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.083199999110427109	1.1102230246251565e-16	0.083200000000001495
foundation	32603144	C	2	0	10	0	2	2	1	1.6254950191091379e-16	2.7777777777777779e-13	0.95879998923076937	1.1102230246251565e-16	0.95880000000001075
foundation	1673499897	C	2	0	10	0	1	2	1	1.6488230188093269e-16	2.7777777777777779e-13	1.6443999797541664	2.2204460492503131e-16	1.6444000000000187
foundation	2056195474	C	2	0	10	0	2	2	1	1.2009254268354555e-16	2.7777777777777779e-13	0.52679999436745606	1.1102230246251565e-16	0.52680000000000149
foundation	2996300767	C	2	0	10	4	2	2	1	1.7782934157049557e-16	2.7777777777777779e-13	0.69359998846404858	2.2204460492503131e-16	0.69360000000000355
