# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# ASIL 分组里的 wcrt_ratio 表示 WCRT/周期；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202649_155345\retry_probability_reports\M5_5ecu_200signals.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
foundation	0.6424639999999997	0.6424639999999997	200	49
baseline1	0.68396800000000013	0.68396800000000013	200	135
baseline2	0.36960805362932658	0.36960799999999994	200	0

# 按 ASIL 分组统计的 WCRT/周期 的 P95 结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	151	0.072267523178808662	0.28088000000000191
foundation	B	21	0.023436571428571577	0.10360000000000084
foundation	C	19	0.032670526315790635	0.12480000000000047
foundation	D	9	0.08614222222222595	0.16440000000000055
baseline1	A	151	0.069018781456954101	0.29672000000000337
baseline1	B	21	0.0521001904761908	0.14316000000000101
baseline1	C	19	0.053349473684210121	0.13072000000000089
baseline1	D	9	0.081337777777772402	0.16732000000000086
baseline2	A	151	0.066017377483443745	0.15659999999999999
baseline2	B	21	0.058077142857142855	0.13695999999999994
baseline2	C	19	0.098835789473684196	0.23399999999999999
baseline2	D	9	0.13988	0.23399999999999999

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	151	1.2651735017401196e-08	1.8791999823430371e-08
foundation	B	21	1.4472024509841167e-16	1.7817926161382334e-16
foundation	C	19	1.3526802030345668e-16	1.7817926161382334e-16
foundation	D	9	1.3132886248697173e-16	1.5823382200910208e-16
baseline1	A	151	5.5752318624802237e-09	1.8791999823430371e-08
baseline1	B	21	1.8728551274269757e-16	2.7662341939919932e-16
baseline1	C	19	1.5568922827323805e-16	2.7662341939919932e-16
baseline1	D	9	1.2917750252652108e-16	1.5158534213368129e-16
baseline2	A	151	3.9225429379968281e-14	1.6198153929281034e-13
baseline2	B	21	6.8728092000604931e-17	2.2204460492503131e-16
baseline2	C	19	1.9478095995459925e-15	3.6453270879061277e-14
baseline2	D	9	2.0264153047632567e-14	3.6453270879061277e-14

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	151	0
foundation	B	21	21
foundation	C	19	19
foundation	D	9	9
baseline1	A	151	86
baseline1	B	21	21
baseline1	C	19	19
baseline1	D	9	9
baseline2	A	151	0
baseline2	B	21	0
baseline2	C	19	0
baseline2	D	9	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms
foundation	738246068	A	0	0	10	3	4	1	0	1.069199994284057e-08	1	2.7580000000000311	1.0691999952072706e-08	2.7580000000000311
foundation	984584757	A	0	0	10	1	2	1	0	1.4471999895280609e-08	1	0.18840000000000146	1.4471999931764401e-08	0.18840000000000146
foundation	1016692647	A	0	0	10	2	1	1	0	1.2311999924207329e-08	1	0.5367999999999995	1.2311999975089805e-08	0.5367999999999995
foundation	1017974888	A	0	0	10	1	0	1	0	1.285199991741305e-08	1	0.75080000000000524	1.2851999908747302e-08	0.75080000000000524
foundation	1031911855	A	0	1	10	0	1	1	0	1.1231999936921088e-08	1	1.4460000000000122	1.1231999885730204e-08	1.4460000000000122
foundation	1041098508	A	0	0	10	1	2	1	0	1.4471999895280609e-08	1	0.18840000000000146	1.4471999931764401e-08	0.18840000000000146
foundation	1066414348	A	0	0	10	1	0	1	0	1.285199991741305e-08	1	0.10120000000000573	1.2851999908747302e-08	0.10120000000000573
foundation	1078766928	A	0	0	10	3	2	1	0	1.1231999936921088e-08	1	1.9040000000000248	1.1231999885730204e-08	1.9040000000000248
foundation	1098593361	A	0	0	10	2	1	1	0	1.069199994284057e-08	1	0.17440000000000566	1.0691999952072706e-08	0.17440000000000566
foundation	1305036828	A	0	0	10	1	3	1	0	1.1231999936921088e-08	1	1.8228000000000222	1.1231999885730204e-08	1.8228000000000222
foundation	1482500791	A	0	0	10	3	0	1	0	1.3931999902949688e-08	1	2.5856000000000279	1.3931999887084601e-08	2.5856000000000279
foundation	1559628402	A	0	0	10	1	3	1	0	1.1231999936921088e-08	1	1.8228000000000222	1.1231999885730204e-08	1.8228000000000222
foundation	1820145391	A	0	0	10	1	0	1	0	1.285199991741305e-08	1	0.10120000000000573	1.2851999908747302e-08	0.10120000000000573
foundation	1826914532	A	0	0	10	0	2	1	0	1.3391999910327171e-08	1	1.6364000000000161	1.3391999953427103e-08	1.6364000000000161
foundation	1898761066	A	0	0	10	2	1	1	0	1.4471999895280609e-08	1	1.9576000000000278	1.4471999931764401e-08	1.9576000000000278
foundation	2010054352	A	0	0	10	1	3	1	0	1.1231999936921088e-08	1	1.8228000000000222	1.1231999885730204e-08	1.8228000000000222
foundation	2010944987	A	0	0	10	2	0	1	0	1.069199994284057e-08	1	1.4044000000000096	1.0691999952072706e-08	1.4044000000000096
foundation	2063315710	A	0	1	10	1	2	1	0	1.4471999895280609e-08	1	0.18840000000000146	1.4471999931764401e-08	0.18840000000000146
foundation	2135113717	A	0	0	10	2	1	1	0	1.4471999895280609e-08	1	1.9576000000000278	1.4471999931764401e-08	1.9576000000000278
foundation	2152536909	A	0	0	10	0	2	1	0	1.1771999930710009e-08	1	0.36480000000000956	1.1771999930410004e-08	0.36480000000000956
foundation	2255395839	A	0	0	10	0	1	1	0	1.1231999936921088e-08	1	1.4460000000000122	1.1231999885730204e-08	1.4460000000000122
foundation	2277457209	A	0	0	10	0	2	1	0	1.069199994284057e-08	1	0.8300000000000054	1.0691999952072706e-08	0.8300000000000054
foundation	2601566917	A	0	0	10	0	2	1	0	1.1771999930710009e-08	1	0.36480000000000956	1.1771999930410004e-08	0.36480000000000956
foundation	2740226219	A	0	1	10	2	0	1	0	1.1771999930710009e-08	1	0.085200000000000387	1.1771999930410004e-08	0.085200000000000387
foundation	2901499394	A	0	0	10	2	1	1	0	1.1771999930710009e-08	1	0.61600000000000321	1.1771999930410004e-08	0.61600000000000321
foundation	3252159522	A	0	0	10	2	0	1	0	1.285199991741305e-08	1	1.0464000000000127	1.2851999908747302e-08	1.0464000000000127
foundation	3383887645	A	0	0	10	0	1	1	0	1.4471999895280609e-08	1	0.053600000000002979	1.4471999931764401e-08	0.053600000000002979
foundation	3478806365	A	0	0	10	1	2	1	0	1.2311999924207329e-08	1	1.5452000000000155	1.2311999975089805e-08	1.5452000000000155
foundation	3576772521	A	0	0	10	3	2	1	0	1.1231999936921088e-08	1	1.9040000000000248	1.1231999885730204e-08	1.9040000000000248
foundation	3630986227	A	0	0	10	0	3	1	0	1.069199994284057e-08	1	1.8624000000000223	1.0691999952072706e-08	1.8624000000000223
foundation	3657638704	A	0	0	10	1	2	1	0	1.4471999895280609e-08	1	0.18840000000000146	1.4471999931764401e-08	0.18840000000000146
foundation	3697508707	A	0	0	10	2	1	1	0	1.2311999924207329e-08	1	0.5367999999999995	1.2311999975089805e-08	0.5367999999999995
foundation	3929062766	A	0	0	10	3	2	1	0	1.1231999936921088e-08	1	1.9040000000000248	1.1231999885730204e-08	1.9040000000000248
foundation	3960706723	A	0	1	10	3	1	1	0	1.069199994284057e-08	1	0.38240000000000407	1.0691999952072706e-08	0.38240000000000407
