# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# ASIL 分组里的 wcrt_ratio 表示 WCRT/周期；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202649_155345\retry_probability_reports\M2_3ecu_105signals.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
foundation	0.36066000000000015	0.36066000000000015	105	26
baseline1	0.37641600000000008	0.37641600000000008	105	75
baseline2	0.19619601407242143	0.19619600000000001	105	0

# 按 ASIL 分组统计的 WCRT/周期 的 P95 结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	79	0.030984000000000522	0.12360000000000326
foundation	B	11	0.012543636363636585	0.026160000000000495
foundation	C	10	0.026814000000000678	0.081200000000002603
foundation	D	5	0.044168000000005071	0.081200000000002603
baseline1	A	79	0.019497063291139427	0.11528000000000134
baseline1	B	11	0.013742545454545646	0.069360000000000352
baseline1	C	10	0.023167999999998589	0.069360000000000352
baseline1	D	5	0.038424000000000687	0.062400000000017997
baseline2	A	79	0.030226329113924061	0.0872
baseline2	B	11	0.03819527272727273	0.085999999999999993
baseline2	C	10	0.054854	0.095200000000000007
baseline2	D	5	0.095344000000000012	0.1348

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	79	1.2182126507503466e-08	1.4471999895280609e-08
foundation	B	11	1.4524966950501249e-16	1.7036438176447859e-16
foundation	C	10	1.3358195844629897e-16	1.7036438176447859e-16
foundation	D	5	1.3170988647684447e-16	1.6517390187718504e-16
baseline1	A	79	4.8394937389652987e-09	1.4471999895280609e-08
baseline1	B	11	1.6644633819158956e-16	2.0943878096900196e-16
baseline1	C	10	1.4789951817156206e-16	2.0943878096900196e-16
baseline1	D	5	1.4009630231357447e-16	1.9410062129579012e-16
baseline2	A	79	6.8215475462411514e-15	2.8976820942716586e-14
baseline2	B	11	2.0185873175002847e-17	1.1102230246251565e-16
baseline2	C	10	3.3306753412937735e-17	1.1102230246251565e-16
baseline2	D	5	7.2906543011606213e-15	3.6453270879061277e-14

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	79	0
foundation	B	11	11
foundation	C	10	10
foundation	D	5	5
baseline1	A	79	49
baseline1	B	11	11
baseline1	C	10	10
baseline1	D	5	5
baseline2	A	79	0
baseline2	B	11	0
baseline2	C	10	0
baseline2	D	5	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms
foundation	1485650330	D	3	1	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777776e-15	0.081199999087964228	1.1102230246251565e-16	0.081200000000002603
foundation	4063005593	D	3	0	1	2	0	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.057999999379885155	1.1102230246251565e-16	0.058000000000021146
foundation	4251812955	D	3	0	2	0	1	2	1	1.1431886277770274e-16	5.5555555555555552e-15	0.039599999576596885	1.1102230246251565e-16	0.03960000000000008
foundation	290648546	D	3	0	5	1	0	2	1	1.6517390187718504e-16	1.388888888888889e-14	0.047599999388247563	1.1102230246251565e-16	0.047600000000002751
foundation	3991608196	D	3	0	10	2	0	2	1	1.3857998236863647e-16	2.7777777777777781e-14	0.52319999384089966	1.1102230246251565e-16	0.52320000000000988
foundation	3056872340	C	2	0	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777774e-14	0.081199999087964228	1.1102230246251565e-16	0.081200000000002603
foundation	1516648366	C	2	0	2	1	0	2	1	1.1431886277770274e-16	5.5555555555555549e-14	0.039599999576596885	1.1102230246251565e-16	0.03960000000000008
foundation	1035949382	C	2	0	5	2	1	2	1	1.2009254268354555e-16	1.388888888888889e-13	0.041599999532751335	1.1102230246251565e-16	0.041600000000002524
foundation	2888072604	C	2	1	5	0	2	2	1	1.2009254268354555e-16	1.388888888888889e-13	0.29519999684372999	1.1102230246251565e-16	0.29520000000000834
foundation	1673499897	C	2	0	10	0	1	2	1	1.3163990248587786e-16	2.7777777777777779e-13	0.039599999576596885	1.1102230246251565e-16	0.03960000000000008
foundation	3362915061	C	2	1	10	2	0	2	1	1.3857998236863647e-16	2.7777777777777779e-13	0.52319999384089966	1.1102230246251565e-16	0.52320000000000988
foundation	3460769802	C	2	1	10	1	0	2	1	1.4435366226169321e-16	2.7777777777777779e-13	0.047599999388247563	1.1102230246251565e-16	0.047600000000002751
foundation	950242904	C	2	0	20	2	1	2	1	1.7036438176447859e-16	5.5555555555555559e-13	0.21199999750433937	2.2204460492503131e-16	0.2120000000000033
foundation	1592905069	C	2	0	20	2	0	2	1	1.3857998236863647e-16	5.5555555555555559e-13	0.52319999384089966	1.1102230246251565e-16	0.52320000000000988
foundation	2551445896	C	2	0	20	0	1	2	1	1.3163990248587786e-16	5.5555555555555559e-13	0.039599999576596885	1.1102230246251565e-16	0.03960000000000008
foundation	1480296070	B	1	1	5	2	1	2	1	1.2009254268354555e-16	1.388888888888889e-13	0.041599999532751335	1.1102230246251565e-16	0.041600000000002524
foundation	358619778	B	1	0	10	1	2	2	1	1.5648422203111551e-16	2.7777777777777779e-13	0.22199999690709735	1.1102230246251565e-16	0.22200000000000131
foundation	526552833	B	1	1	10	2	1	2	1	1.7036438176447859e-16	2.7777777777777779e-13	0.21199999750433937	2.2204460492503131e-16	0.2120000000000033
foundation	2974949657	B	1	0	10	2	1	2	1	1.7036438176447859e-16	2.7777777777777779e-13	0.21199999750433937	2.2204460492503131e-16	0.2120000000000033
foundation	3739933945	B	1	0	10	2	1	2	1	1.6254950191091379e-16	2.7777777777777779e-13	0.041599999532751335	1.1102230246251565e-16	0.041600000000002524
foundation	805035513	B	1	0	20	1	2	2	1	1.5648422203111551e-16	5.5555555555555559e-13	0.22199999690709735	1.1102230246251565e-16	0.22200000000000131
