# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# ASIL 分组里的 wcrt_ratio 表示 WCRT/周期；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202649_155345\retry_probability_reports\M4_4ecu_170signals.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
foundation	0.52388800000000002	0.52388800000000002	170	42
baseline1	0.54697999999999991	0.54697999999999991	170	110
baseline2	0.29505603418248572	0.2950560000000001	170	0

# 按 ASIL 分组统计的 WCRT/周期 的 P95 结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	128	0.05122481250000039	0.18344000000000166
foundation	B	18	0.0096328888888889547	0.058040000000000445
foundation	C	16	0.017969999999999584	0.05999999999998451
foundation	D	8	0.044289999999996922	0.068399999999989802
baseline1	A	128	0.039207031250000239	0.15096000000000204
baseline1	B	18	0.011182444444444573	0.026960000000000407
baseline1	C	16	0.032933749999999831	0.085200000000000387
baseline1	D	8	0.077250000000010477	0.14080000000002713
baseline2	A	128	0.048072374999999966	0.13679999999999998
baseline2	B	18	0.056874444444444422	0.11456
baseline2	C	16	0.077738749999999968	0.15479999999999999
baseline2	D	8	0.11681999999999999	0.19439999999999999

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	128	1.2645281168134538e-08	1.8791999823430371e-08
foundation	B	18	1.4618102220958e-16	1.8657734145098039e-16
foundation	C	16	1.3502610741466712e-16	1.8657734145098039e-16
foundation	D	8	1.3107128249336765e-16	1.5823382200910208e-16
baseline1	A	128	6.0960937978898794e-09	1.8791999823430371e-08
baseline1	B	18	1.438223022565998e-16	2.0943878096900196e-16
baseline1	C	16	1.5033875211707355e-16	2.0943878096900196e-16
baseline1	D	8	1.3273340246306133e-16	1.6517390187718504e-16
baseline2	A	128	2.7870934726781371e-14	1.113553693699032e-13
baseline2	B	18	1.8503717077085941e-17	1.1102230246251565e-16
baseline2	C	16	2.2852683238452371e-15	3.6453270879061277e-14
baseline2	D	8	2.2783294299413298e-14	3.6453270879061277e-14

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	128	0
foundation	B	18	18
foundation	C	16	16
foundation	D	8	8
baseline1	A	128	68
baseline1	B	18	18
baseline1	C	16	16
baseline1	D	8	8
baseline2	A	128	0
baseline2	B	18	0
baseline2	C	16	0
baseline2	D	8	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms
foundation	145291079	D	3	0	1	1	3	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.066799999285789266	1.1102230246251565e-16	0.066800000000014848
foundation	1485650330	D	3	1	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777776e-15	0.059999999326064521	1.1102230246251565e-16	0.05999999999998451
foundation	1778470101	D	3	0	1	2	0	2	1	1.3857998236863647e-16	2.7777777777777776e-15	0.068399999194785024	1.1102230246251565e-16	0.068399999999989802
foundation	4063005593	D	3	0	1	2	0	2	1	1.3857998236863647e-16	2.7777777777777776e-15	0.068399999194785024	1.1102230246251565e-16	0.068399999999989802
foundation	2486704225	D	3	0	2	1	2	2	1	1.2615782258299533e-16	5.5555555555555552e-15	0.059999999326064521	1.1102230246251565e-16	0.05999999999998451
foundation	4251812955	D	3	0	2	0	1	2	1	1.1431886277770274e-16	5.5555555555555552e-15	0.057599999384148677	1.1102230246251565e-16	0.057600000000007867
foundation	290648546	D	3	0	5	1	0	2	1	1.5823382200910208e-16	1.388888888888889e-14	0.051599999336837343	1.1102230246251565e-16	0.051600000000000534
foundation	3991608196	D	3	0	10	2	0	2	1	1.3222310247916987e-16	2.7777777777777781e-14	0.21599999745724913	1.1102230246251565e-16	0.21600000000000108
foundation	3056872340	C	2	0	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777774e-14	0.059999999326064521	1.1102230246251565e-16	0.05999999999998451
foundation	1516648366	C	2	0	2	1	0	2	1	1.1431886277770274e-16	5.5555555555555549e-14	0.059599999362767123	1.1102230246251565e-16	0.059600000000010311
foundation	1035949382	C	2	0	5	2	1	2	1	1.2009254268354555e-16	1.388888888888889e-13	0.045599999487821119	1.1102230246251565e-16	0.045600000000000307
foundation	2888072604	C	2	1	5	0	2	2	1	1.2586622258627062e-16	1.388888888888889e-13	0.21799999743370757	1.1102230246251565e-16	0.21800000000000352
foundation	3267995113	C	2	0	5	2	3	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.053599999426911786	1.1102230246251565e-16	0.053600000000002979
foundation	4232437735	C	2	0	5	3	1	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.13279999858010558	1.1102230246251565e-16	0.13280000000000314
foundation	32603144	C	2	0	10	0	2	2	1	1.2586622258627062e-16	2.7777777777777779e-13	0.21799999743370757	1.1102230246251565e-16	0.21800000000000352
foundation	1673499897	C	2	0	10	0	1	2	1	1.5648422203111551e-16	2.7777777777777779e-13	0.041599999532751335	1.1102230246251565e-16	0.041600000000002524
foundation	3362915061	C	2	1	10	2	0	2	1	1.2009254268354555e-16	2.7777777777777779e-13	0.38439999568242583	1.1102230246251565e-16	0.38440000000000651
foundation	3460769802	C	2	1	10	1	0	2	1	1.5823382200910208e-16	2.7777777777777779e-13	0.051599999336837343	1.1102230246251565e-16	0.051600000000000534
foundation	4150613546	C	2	0	10	2	3	2	1	1.1431886277770274e-16	2.7777777777777779e-13	0.053599999426911786	1.1102230246251565e-16	0.053600000000002979
foundation	950242904	C	2	0	20	2	1	2	1	1.8657734145098039e-16	5.5555555555555559e-13	0.049599999335756824	2.2204460492503131e-16	0.049600000000000005
foundation	1592905069	C	2	0	20	2	0	2	1	1.3857998236863647e-16	5.5555555555555559e-13	0.21599999745724913	1.1102230246251565e-16	0.21600000000000108
