# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202653_161330\retry_probability_reports\E5S150_5ecu_150signals_009.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.41130159999999999	0.41130159999999999	150	37	1
baseline1	0.47052759999999988	0.47052759999999988	150	105	1
baseline2	0.30555139676728987	0.30555119999999997	150	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	113	0.080651072566384971	0.19440000000008695
foundation	B	15	0.08086250666667448	0.16944000000001438
foundation	C	15	0.087550320000009119	0.173800000000017
foundation	D	7	0.1132427428571654	0.23600000000010368
baseline1	A	113	0.12077069557523107	0.32480000000009568
baseline1	B	15	0.079221920000002444	0.24240000000000067
baseline1	C	15	0.10503830666666944	0.25768000000000058
baseline1	D	7	0.14376814285715842	0.32480000000009568
baseline2	A	113	0.074907417699115048	0.30940000000000001
baseline2	B	15	0.045667679999999988	0.13537999999999997
baseline2	C	15	0.055465560000000004	0.15065999999999996
baseline2	D	7	0.097436714285714252	0.30940000000000001

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	113	5.4467255047583716e-08	1.3459999094142041e-07
foundation	B	15	4.1731329068374822e-15	2.7755555375924159e-14
foundation	C	15	2.9755198308760327e-15	5.3345596047091223e-15
foundation	D	7	2.2647313191735528e-15	3.1785598200935101e-15
baseline1	A	113	2.1946904266101456e-08	1.3459999094142041e-07
baseline1	B	15	4.5748395400589887e-15	2.7755555375924159e-14
baseline1	C	15	4.1084930493006496e-15	1.0526758919954492e-14
baseline1	D	7	2.6839312854499895e-15	3.7945597662551131e-15
baseline2	A	113	2.3579958045136068e-17	2.2204460492503131e-16
baseline2	B	15	7.4014868308343768e-18	1.1102230246251565e-16
baseline2	C	15	2.2204460492503132e-17	2.2204460492503131e-16
baseline2	D	7	1.5860328923216521e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	113	0
foundation	B	15	15
foundation	C	15	15
foundation	D	7	7
baseline1	A	113	68
baseline1	B	15	15
baseline1	C	15	15
baseline1	D	7	7
baseline2	A	113	0
baseline2	B	15	0
baseline2	C	15	0
baseline2	D	7	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	410413066	D	3	0	1	0	1	2	1	1.9801599116848663e-15	2.7777777777777776e-15	0.23600000000010368	1.9984014443252818e-15	0.23600000000010368	0.23600000000010368
foundation	2583405183	D	3	0	10	4	0	2	1	1.813759922733826e-15	2.7777777777777781e-14	1.3212000000001467	1.7763568394002505e-15	1.3212000000001467	1.3212000000001467
foundation	3873673984	D	3	0	10	1	2	2	1	2.2617598923402276e-15	2.7777777777777781e-14	1.6528000000001271	2.3314683517128287e-15	1.6528000000001271	1.6528000000001271
foundation	224773666	D	3	0	20	0	3	2	1	2.5593598704963882e-15	5.5555555555555561e-14	2.0356000000002155	2.55351295663786e-15	2.0356000000002155	2.0356000000002155
foundation	3922030607	D	3	0	20	2	0	2	1	1.9801599116848663e-15	5.5555555555555561e-14	2.3964000000002557	1.9984014443252818e-15	2.3964000000002557	2.3964000000002557
foundation	729005901	D	3	0	100	1	3	2	1	3.1785598200935101e-15	2.7777777777777779e-13	3.3178000000003181	3.219646771412954e-15	3.3178000000003181	3.3178000000003181
foundation	3548317883	D	3	0	1000	1	0	2	1	2.0793599051811871e-15	2.7777777777777777e-12	4.5212000000000012	2.1094237467877974e-15	4.5212000000000012	4.5212000000000012
foundation	2270197346	C	2	0	5	2	0	2	1	1.9801599116848663e-15	1.388888888888889e-13	0.36280000000004975	1.9984014443252818e-15	0.36280000000004975	0.36280000000004975
foundation	407358336	C	2	0	10	3	2	2	1	2.4561598781744679e-15	2.7777777777777779e-13	0.77360000000010132	2.4424906541753444e-15	0.77360000000010132	0.77360000000010132
foundation	2605942372	C	2	0	10	3	1	2	1	3.4521597942512721e-15	2.7777777777777779e-13	1.4524000000001251	3.4416913763379853e-15	1.4524000000001251	1.4524000000001251
foundation	2696658275	C	2	0	10	4	1	2	1	1.9009599171181472e-15	2.7777777777777779e-13	1.7380000000001701	1.8873791418627661e-15	1.7380000000001701	1.7380000000001701
foundation	160081411	C	2	0	20	1	3	2	1	3.3017598098186309e-15	5.5555555555555559e-13	0.67440000000010514	3.3306690738754696e-15	0.67440000000010514	0.67440000000010514
foundation	202497533	C	2	0	20	1	4	2	1	2.6625598626119082e-15	5.5555555555555559e-13	2.5332000000002495	2.6645352591003757e-15	2.5332000000002495	2.5332000000002495
foundation	762584366	C	2	0	20	3	0	2	1	2.2617598923402276e-15	5.5555555555555559e-13	2.5788000000002285	2.2204460492503131e-15	2.5788000000002285	2.5788000000002285
foundation	952611335	C	2	0	20	0	4	2	1	2.5625598677719077e-15	5.5555555555555559e-13	1.9244000000002188	2.55351295663786e-15	1.9244000000002188	1.9244000000002188
foundation	1637650604	C	2	0	20	4	2	2	1	3.7945597662551131e-15	5.5555555555555559e-13	1.9860000000002174	3.7747582837255322e-15	1.9860000000002174	1.9860000000002174
foundation	1980171338	C	2	0	20	3	1	2	1	3.4521597942512721e-15	5.5555555555555559e-13	1.4524000000001251	3.4416913763379853e-15	1.4524000000001251	1.4524000000001251
foundation	2154917036	C	2	0	20	4	2	2	1	3.7945597662551131e-15	5.5555555555555559e-13	1.9860000000002174	3.7747582837255322e-15	1.9860000000002174	1.9860000000002174
foundation	3150100943	C	2	0	20	2	3	2	1	2.9321598399040697e-15	5.5555555555555559e-13	2.3072000000002504	2.886579864025407e-15	2.3072000000002504	2.3072000000002504
foundation	396575552	C	2	0	100	1	3	2	1	3.1785598200935101e-15	2.7777777777777777e-12	3.3178000000003181	3.219646771412954e-15	3.3178000000003181	3.3178000000003181
