# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽默认只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
algorithm2	0.523506	0.523506	62	1

[cluster_summary]
code	route_count	p_function_fault	p_threshold
627310569	3	5.21805e-15	1
904285308	3	4.88498e-15	1

[route_summary]
code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
451908486	0	3	0	2	1	2	2	2	1	1.56816e-15	5.55556e-15	0.3388
574077934	0	3	0	2	4	10	10	2	1	2.56256e-15	2.77778e-14	2.5232
928090276	0	3	0	1	3	20	20	2	1	1.56816e-15	5.55556e-14	1.9012
963314774	0	3	0	3	2	100	100	2	1	1.56816e-15	2.77778e-13	4.4064
1205382420	0	3	0	1	2	1	1	2	1	1.64736e-15	2.77778e-15	0.1012
1727322922	0	3	0	1	2	10	10	2	1	1.56816e-15	2.77778e-14	0.7168
2054999896	0	3	0	0	2	100	100	2	1	1.56816e-15	2.77778e-13	3.3292
2618470185	0	3	0	4	3	20	20	2	1	1.64736e-15	5.55556e-14	2.844
3855444880	0	3	0	4	2	20	20	2	1	1.73056e-15	5.55556e-14	1.2892
4092937341	0	3	0	3	2	1000	1000	2	1	1.56816e-15	2.77778e-12	4.9648
4209254968	0	3	0	1	3	10	10	2	1	1.56816e-15	2.77778e-14	1.9012
4261097810	0	3	0	2	0	5	5	2	1	1.56816e-15	1.38889e-14	0.596
43910001	0	2	0	4	2	10	10	2	1	1.73056e-15	2.77778e-13	1.2892
83144869	0	2	0	0	4	100	100	2	1	1.56816e-15	2.77778e-12	4.5292
301398390	0	2	0	3	2	10	10	2	1	1.56816e-15	2.77778e-13	2.02
495130845	0	2	0	2	0	20	20	2	1	1.64736e-15	5.55556e-13	2.8044
606666641	0	2	0	1	2	20	20	2	1	1.56816e-15	5.55556e-13	2.7252
643637346	0	2	0	4	0	10	10	2	1	1.64736e-15	2.77778e-13	0.9664
918728477	0	2	0	1	0	1000	1000	2	1	1.56816e-15	2.77778e-11	4.7668
1146288808	0	2	0	2	1	100	100	2	1	1.56816e-15	2.77778e-12	3.7312
1444972920	0	2	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	2.9708
1493603441	0	2	0	2	3	10	10	2	1	1.73056e-15	2.77778e-13	0.8
1735361969	0	2	0	0	4	10	10	2	1	1.73056e-15	2.77778e-13	2.6064
1771568086	0	2	0	4	0	20	20	2	1	1.64736e-15	5.55556e-13	0.9664
2061692099	0	2	0	3	4	10	10	2	1	1.64736e-15	2.77778e-13	2.42
2105150962	0	2	0	0	4	100	100	2	1	1.56816e-15	2.77778e-12	4.5292
2386479733	0	2	0	1	0	10	10	2	1	1.64736e-15	2.77778e-13	1.4932
2509435700	0	2	0	4	2	20	20	2	1	1.73056e-15	5.55556e-13	1.2892
2965207900	0	2	0	0	3	10	10	2	1	1.73056e-15	2.77778e-13	1.7408
2981702680	0	2	0	4	1	10	10	2	1	1.56816e-15	2.77778e-13	1.7804
3216041206	0	2	0	2	4	20	20	2	1	2.56256e-15	5.55556e-13	2.5232
3274264934	0	2	0	0	1	100	100	2	1	1.56816e-15	2.77778e-12	3.9292
3350261578	0	2	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	2.9708
3669929619	0	2	0	4	2	10	10	2	1	1.73056e-15	2.77778e-13	1.2892
3719879691	0	2	0	0	3	20	20	2	1	1.73056e-15	5.55556e-13	1.7408
4102731467	0	2	0	3	1	10	10	2	1	1.64736e-15	2.77778e-13	1.412
4140315631	0	2	0	0	2	5	5	2	1	1.56816e-15	1.38889e-13	0.4772
157189317	0	1	0	0	2	50	50	2	1	1.56816e-15	1.38889e-12	3.3292
216000811	0	1	0	1	2	5	5	2	1	1.56816e-15	1.38889e-13	0.398
277774490	0	1	0	3	1	1000	1000	2	1	1.56816e-15	2.77778e-11	4.7272
596748705	0	1	0	1	4	10	10	2	1	1.56816e-15	2.77778e-13	2.646
866443803	0	1	0	2	1	20	20	2	1	1.64736e-15	5.55556e-13	2.7648
922020646	0	1	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	2.02
926964416	0	1	0	3	2	20	20	2	1	1.56816e-15	5.55556e-13	2.9708
955672303	0	1	0	0	2	10	10	2	1	1.56816e-15	2.77778e-13	0.4772
962605062	0	1	0	3	0	10	10	2	1	1.72656e-15	2.77778e-13	1.5744
1018788787	0	1	0	3	4	100	100	2	1	1.72656e-15	2.77778e-12	4.45
1040233980	0	1	0	4	1	10	10	2	1	1.56816e-15	2.77778e-13	1.7804
1456204505	0	1	0	2	3	1000	1000	2	1	1.56816e-15	2.77778e-11	4.6084
1534885091	0	1	0	1	4	10	10	2	1	1.56816e-15	2.77778e-13	2.646
1567166222	0	1	0	2	0	20	20	2	1	1.64736e-15	5.55556e-13	2.8044
2057991592	0	1	0	2	0	10	10	2	1	1.64736e-15	2.77778e-13	1.616
2118130205	0	1	0	0	2	100	100	2	1	1.56816e-15	2.77778e-12	3.3292
2474918491	0	1	0	0	3	10	10	2	1	1.73056e-15	2.77778e-13	1.7408
2607491937	0	1	0	4	1	100	100	2	1	1.56816e-15	2.77778e-12	3.5728
2863991460	0	1	0	0	3	10	10	2	1	1.73056e-15	2.77778e-13	1.7408
3172778085	0	1	0	0	2	2	2	2	1	1.56816e-15	5.55556e-14	0.2992
3370370065	0	1	0	1	0	20	20	2	1	1.64736e-15	5.55556e-13	1.4932
3461435426	0	1	0	2	4	20	20	2	1	2.56256e-15	5.55556e-13	2.5232
3496591172	0	1	0	4	1	10	10	2	1	1.64736e-15	2.77778e-13	1.822
4114386274	0	1	0	4	1	10	10	2	1	1.64736e-15	2.77778e-13	1.822
4205950855	0	1	0	2	1	20	20	2	1	1.64736e-15	5.55556e-13	2.7648
15154635	0	0	0	0	1	5	5	1	0	4.16e-08	1	0.6376
62808135	0	0	0	0	4	20	20	1	0	4.16e-08	1	2.5648
89125888	0	0	0	1	4	1000	1000	1	0	3.96e-08	1	5.6816
