# 按周期分组聚合的重传次数分布统计
# 每个周期组内，统计各重传次数桶的平均概率和最大概率。
# 最后一个桶统一记为 >=k次，表示保守尾部桶。

period_ms	retry_count	retry_bucket_label	frame_count	avg_probability	max_probability
1	0	0次	5	0.9999999479440014	0.9999999705160004
1	1	1次	5	5.205599074621475e-08	7.387198559540457e-08
1	2	2次	5	7.776270800312441e-15	1.1676058551515113e-14
1	3	>=3次	5	5.609373908961969e-22	7.309242191399472e-22
2	0	0次	2	0.999999910090004	0.9999999154360035
2	1	1次	2	8.990998099753508e-08	9.525597938869928e-08
2	2	2次	2	1.4946267155787743e-14	1.607444371132213e-14
2	3	>=3次	2	3.885064378392778e-21	4.202611937505405e-21
5	0	0次	9	0.9999998464840123	0.9999998918920059
5	1	1次	9	1.5351595951718171e-07	1.9958392478359022e-07
5	2	2次	9	2.8247364349820767e-14	5.52995103425355e-14
5	3	>=3次	7	6.27488505426158e-21	1.3466337134208948e-20
10	0	0次	18	0.9999996396820693	0.9999997891840222
10	1	1次	18	3.603178237246538e-07	4.859996654153587e-07
10	2	2次	18	1.0734130766565214e-13	2.1648658384787029e-13
10	3	3次	13	4.1813399887934336e-20	7.379862022916041e-20
10	4	>=4次	1	2.220446049250313e-16	2.220446049250313e-16
20	0	0次	6	0.999999461494146	0.999999502228124
20	1	1次	6	5.385056992721376e-07	6.309356770486876e-07
20	2	2次	6	1.5474454829158883e-13	2.5793419683145633e-13
20	3	>=3次	2	1.0324683226284367e-19	1.0557972011294775e-19
50	0	0次	10	0.9999993028062437	0.9999993567522069
50	1	1次	10	6.971934972366106e-07	7.49735300528127e-07
50	2	2次	10	2.591221913483265e-13	4.1841973426446274e-13
50	3	3次	5	1.2771349104023942e-19	1.6819598257732212e-19
50	4	>=4次	1	1.1102230246251565e-16	1.1102230246251565e-16
100	0	0次	6	0.9999992140843089	0.9999992390322895
100	1	1次	6	7.8591543527275e-07	8.037354495042174e-07
100	2	2次	6	2.5583549628554983e-13	4.59761978363835e-13
100	3	>=3次	1	2.214130897426638e-19	2.214130897426638e-19
