# Average bandwidth-utilization data used for plotting.

config	ecu_count	signal_count	scheme	avg_bandwidth_utilization
E5S50_5ecu_50signals	5	50	foundation	0.21399992
E5S50_5ecu_50signals	5	50	baseline1	0.22315032
E5S50_5ecu_50signals	5	50	baseline2	0.16164084527831196
E5S80_5ecu_80signals	5	80	foundation	0.2999907999999999
E5S80_5ecu_80signals	5	80	baseline1	0.31380520000000006
E5S80_5ecu_80signals	5	80	baseline2	0.22281623136354964
E5S120_5ecu_120signals	5	120	foundation	0.36642616000000006
E5S120_5ecu_120signals	5	120	baseline1	0.39049736
E5S120_5ecu_120signals	5	120	baseline2	0.266613855465551
E5S150_5ecu_150signals	5	150	foundation	0.44008144000000005
E5S150_5ecu_150signals	5	150	baseline1	0.4876270400000001
E5S150_5ecu_150signals	5	150	baseline2	0.3173097274101048
E5S200_5ecu_200signals	5	200	foundation	0.4905466400000001
E5S200_5ecu_200signals	5	200	baseline1	0.53442024
E5S200_5ecu_200signals	5	200	baseline2	0.33383911324682536
E5S250_5ecu_250signals	5	250	foundation	0.5623700799999998
E5S250_5ecu_250signals	5	250	baseline1	0.6195764799999999
E5S250_5ecu_250signals	5	250	baseline2	0.3607562623270675
E8S50_8ecu_50signals	8	50	foundation	0.22848543999999996
E8S50_8ecu_50signals	8	50	baseline1	0.22888143999999996
E8S50_8ecu_50signals	8	50	baseline2	0.17873206800321678
E8S80_8ecu_80signals	8	80	foundation	0.3115392
E8S80_8ecu_80signals	8	80	baseline1	0.3245424
E8S80_8ecu_80signals	8	80	baseline2	0.24203019934866968
E8S120_8ecu_120signals	8	120	foundation	0.42522023999999997
E8S120_8ecu_120signals	8	120	baseline1	0.4339802400000002
E8S120_8ecu_120signals	8	120	baseline2	0.31943757116281757
E8S150_8ecu_150signals	8	150	foundation	0.5175696
E8S150_8ecu_150signals	8	150	baseline1	0.5484655999999999
E8S150_8ecu_150signals	8	150	baseline2	0.37630971955090387
E8S200_8ecu_200signals	8	200	foundation	0.6036079199999993
E8S200_8ecu_200signals	8	200	baseline1	0.6290423199999998
E8S200_8ecu_200signals	8	200	baseline2	0.4356890162658316
E8S250_8ecu_250signals	8	250	foundation	0.6594488799999991
E8S250_8ecu_250signals	8	250	baseline1	0.7005064799999998
E8S250_8ecu_250signals	8	250	baseline2	0.44837081787603666
E12S50_12ecu_50signals	12	50	foundation	0.24892303999999998
E12S50_12ecu_50signals	12	50	baseline1	0.25486303999999993
E12S50_12ecu_50signals	12	50	baseline2	0.2027336835615506
E12S80_12ecu_80signals	12	80	foundation	0.3577490399999999
E12S80_12ecu_80signals	12	80	baseline1	0.36424424
E12S80_12ecu_80signals	12	80	baseline2	0.2776621642118399
E12S120_12ecu_120signals	12	120	foundation	0.48706879999999975
E12S120_12ecu_120signals	12	120	baseline1	0.4932480000000001
E12S120_12ecu_120signals	12	120	baseline2	0.3661035244493642
E12S150_12ecu_150signals	12	150	foundation	0.5894700799999991
E12S150_12ecu_150signals	12	150	baseline1	0.6036580799999995
E12S150_12ecu_150signals	12	150	baseline2	0.43776653601595816
E12S200_12ecu_200signals	12	200	foundation	0.6912411199999984
E12S200_12ecu_200signals	12	200	baseline1	0.7050731199999987
E12S200_12ecu_200signals	12	200	baseline2	0.5220631893129024
E12S250_12ecu_250signals	12	250	foundation	0.7997059199999976
E12S250_12ecu_250signals	12	250	baseline1	0.8275931199999981
E12S250_12ecu_250signals	12	250	baseline2	0.5737812289743064
